#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
0,,,0,0,0,0,0,0,0,0
1,Pom Fire,"Deals UNKNOWN damage to a target in front of you.
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",20,0,15,30,3,1,1,1
2,Pom Starstorm,"Deals UNKNOWN damage to all enemies in an area centered UNKNOWN squares in front of you.
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",10,8,25,40,4,3,3,2
3,Pom Meteor,"Deals UNKNOWN damage to all enemies.
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",15,0,50,80,10,0,0,3
4,Pom Cure,"Restores UNKNOWN HP.
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",50,0,0,10,1,0,0,4
5,Pom Esuna,"Removes all detrimental effects except for Doom.
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",0,0,0,20,3,0,0,5
6,Pom Ward,"Erects a protective barrier around you.
Effect Turns: UNKNOWN
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",0,0,0,30,3,0,0,6
7,Pom Levitation,"Grants invulnerability to floor effects.
Effect Turns: UNKNOWN
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",0,0,0,20,3,0,0,7
8,Pom Reraise,"Grants automatic revival upon KO for the duration of the effect.
MP Cost: UNKNOWN   Recast Turns: UNKNOWN",0,0,0,50,99,0,0,8
9,,,100,0,0,0,0,0,0,0
10,,,100,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,100,0,0,0,0,0,7,0
14,,,10,2,0,0,0,0,1,0
15,,,100,0,0,0,0,0,1,0
16,,,0,0,0,0,0,0,0,0
17,,,0,0,0,0,0,0,0,0
18,,,9999,0,0,0,0,0,0,0
