#,Masculine,Feminine,IsPrefix,Order
0,,,False,0
1,The Insatiable,The Insatiable,False,1
2,The True,The True,False,2
3,Coeurlfist,Coeurlfist,True,3
4,Ironeater,Ironeater,True,4
5,Of the Vengeful Lance,Of the Vengeful Lance,False,5
6,The Godsbow,The Godsbow,False,6
7,The White,The White,False,7
8,Starcaller,Starcaller,True,8
9,The Exterminator,The Exterminator,False,50
10,Notorious Monster Hunter,Notorious Monster Hunter,True,60
11,Honest Gillionaire,Honest Gillionaire,True,80
12,Ruthless Gillionaire,Ruthless Gillionaire,True,80
13,Warmonger,Warmonger,True,100
14,Archmage,Archmage,True,101
15,Builder of the Realm,Builder of the Realm,False,102
16,Provider of the Realm,Provider of the Realm,False,103
17,Of the Golden Saw,Of the Golden Saw,False,150
18,Of the Golden Anvil,Of the Golden Anvil,False,151
19,Of the Golden Hammer,Of the Golden Hammer,False,152
20,Of the Golden Leaf,Of the Golden Leaf,False,153
21,Of the Golden Hide,Of the Golden Hide,False,154
22,Of the Golden Needle,Of the Golden Needle,False,155
23,Of the Golden Lead,Of the Golden Lead,False,156
24,Of the Golden Ladle,Of the Golden Ladle,False,157
25,Meadowbreaker,Meadowbreaker,True,200
26,Forestbreaker,Forestbreaker,True,201
27,Desertbreaker,Desertbreaker,True,202
28,Of the Meadow Mines,Of the Meadow Mines,False,203
29,Of the Forest Mines,Of the Forest Mines,False,204
30,Of the Desert Mines,Of the Desert Mines,False,205
31,Meadowreaper,Meadowreaper,True,206
32,Forestreaper,Forestreaper,True,207
33,Desertreaper,Desertreaper,True,208
34,Of the Meadow Grasses,Of the Meadow Grasses,False,209
35,Of the Forest Grasses,Of the Forest Grasses,False,210
36,Of the Desert Grasses,Of the Desert Grasses,False,211
37,Meadowcaster,Meadowcaster,True,212
38,Forestcaster,Forestcaster,True,213
39,Desertcaster,Desertcaster,True,214
40,Of the Meadow Pools,Of the Meadow Pools,False,215
41,Of the Forest Pools,Of the Forest Pools,False,216
42,Of the Desert Pools,Of the Desert Pools,False,217
43,Carrier of the Cauldron,Carrier of the Cauldron,False,250
44,The Assimilator,The Assimilator,False,251
45,Seeker of Blood,Seeker of Blood,False,300
46,Seeker of Truth,Seeker of Truth,False,301
47,Seeker of Skill,Seeker of Skill,False,302
48,Seeker of Bounty,Seeker of Bounty,False,303
49,Sidestepper,Sidestepper,True,350
50,Lord Protector,Lady Protector,True,351
