#,Text,GridText,Unknown0,Unknown5,Unknown1,Image,Unknown2,Unknown3,Unknown4,Unknown6
0,None,,0,0,0,0,0,0,0,10
1,★ Picture Frame,,0,0,3,0,12,0,2,10
2,★ Instant Camera,,0,0,3,0,22,0,4,10
3,★ Cinema,,0,0,3,0,32,0,6,10
4,★ Ukiyo-e,,0,0,3,0,18,0,100,10
5,★ Ornamental Border 1,,0,0,3,0,30,0,101,10
6,★ Ornamental Border 2,,0,0,3,0,31,0,102,10
7,★ Wall Frame,,0,0,3,0,29,0,103,10
8,★ Torn,,0,0,3,0,13,0,104,10
9,,,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,0,0,0,0,0,0,0,0
14,,,0,0,0,0,0,0,0,0
15,,,0,0,0,0,0,0,0,0
16,,,0,0,0,0,0,0,0,0
17,◆ Simple 1,,0,0,1,230001,0,0,10,10
18,◆ Journal,,255,0,1,230002,0,0,50,10
19,◆ Eternal Bond,,255,0,1,230003,0,0,51,10
20,◆ Elite Mark 1,,255,0,1,230004,0,0,52,10
21,◆ Picture Frame,GroupPoseFrame9grid001,255,0,2,0,0,0,1,10
22,◆ Instant Camera,GroupPoseFrame9grid002,255,0,2,0,0,0,3,10
23,◆ Cinema,GroupPoseFrame9grid003,255,0,2,0,0,0,5,10
24,◆ Elite Mark 2,,255,0,1,230005,0,0,53,10
25,◆ Triple Triad Card 1,,2069202175,0,1,230006,0,0,54,10
26,◆ Triple Triad Card 2,,2069202175,0,1,230007,0,0,55,10
27,◆ Simple 2,,255,0,1,230008,0,0,11,10
28,◆ Lominsan Interior Wall,,255,0,1,230011,0,0,56,10
29,◆ Gridanian Interior Wall,,255,0,1,230009,0,0,57,10
30,◆ Ul'dahn Interior Wall,,255,0,1,230010,0,0,58,10
31,◆  Fan Festival 1,,255,0,1,231009,0,120,180,10
32,◆  Fan Festival 2,,255,0,1,231010,0,120,181,10
33,◆  Fan Festival 3,,255,0,1,231011,0,120,182,10
34,◆  Fan Festival 4,,255,0,1,231012,0,120,183,10
35,◆  Fan Festival 5,,255,0,1,231013,0,120,184,10
36,◆  Fan Festival 6,,255,0,1,231014,0,120,185,10
37,◆  Fan Festival 7,,255,0,1,231015,0,120,186,10
38,◆ Simple 3,,255,0,1,230012,0,0,12,10
39,,,0,0,0,0,0,0,0,0
40,,,0,0,0,0,0,0,0,0
41,,,0,0,0,0,0,0,0,0
42,,,0,0,0,0,0,0,0,0
43,,,0,0,0,0,0,0,0,0
44,,,0,0,0,0,0,0,0,0
45,,,0,0,0,0,0,0,0,0
46,,,0,0,0,0,0,0,0,0
47,,,0,0,0,0,0,0,0,0
48,,,0,0,0,0,0,0,0,0
49,,,0,0,0,0,0,0,0,0
50,,,0,0,0,0,0,0,0,0
51,,,0,0,0,0,0,0,0,0
52,,,0,0,0,0,0,0,0,0
53,◆ Music,,255,0,1,230013,0,0,63,10
54,◆ Island Sanctuary 1,,2058672639,0,1,230014,0,0,59,10
55,◆ Island Sanctuary 2,,2058672639,0,1,230015,0,0,60,10
56,,,0,0,0,0,0,0,0,0
57,,,0,0,0,0,0,0,0,0
58,,,0,0,0,0,0,0,0,0
59,,,0,0,0,0,0,0,0,0
60,,,0,0,0,0,0,0,0,0
61,,,0,0,0,0,0,0,0,0
62,,,0,0,0,0,0,0,0,0
63,,,0,0,0,0,0,0,0,0
64,,,0,0,0,0,0,0,0,0
65,,,0,0,0,0,0,0,0,0
66,◆ Patch Logo,,255,0,1,127961,0,0,255,10
67,◆ White Lace,,255,0,1,230016,0,0,15,10
68,◆ Black Lace,,255,0,1,230017,0,0,16,10
69,◆ Solid 1,,255,0,1,230018,0,0,13,10
70,◆ Solid 2,,255,0,1,230019,0,0,14,10
71,◆ Embellished Corners 1,,255,0,1,230020,0,0,17,10
72,◆ Embellished Corners 2,,255,0,1,230021,0,0,18,10
73,◆ Neon Frame 1,,255,0,1,230022,0,0,22,10
74,◆ Neon Frame 2,,255,0,1,230023,0,0,23,10
75,◆ Birthday,,255,0,1,230024,0,0,21,10
76,◆ Aether,,255,0,1,230025,0,0,64,10
77,◆ Screen,,255,0,1,230026,0,0,20,10
78,◆ Exotablet,,255,0,1,230027,0,0,61,10
79,◆ Cosmic Fortune,,255,0,1,230028,0,0,62,10
