key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,,sgb[0],,,sgb[1],,sgb[2],,sgb[3],,sgb[4],,,,,,,,,Material[0],Material[1],Material[2],Material[3],Material[4],Amount[0],Amount[1],Amount[2],Amount[3],Amount[4],Name,,Icon
int32,byte,ExportedSG,byte,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,byte,byte,byte,byte,byte,byte,byte,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,byte,byte,byte,byte,byte,MJIText,uint32,Image
0.0,1,29953,24,0,29954,0,0,0,0,0,0,0,0,0,0,0,0,0,255,10,0,11,3,8,10,10,5,5,5,2,47,53919
0.1,4,29955,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,10,11,14,0,13,15,10,10,5,5,3,48,53920
0.2,7,29788,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,9,14,17,18,19,15,10,10,10,5,4,49,53921
0.3,13,32165,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,10,21,76,82,7,15,15,10,10,10,73,74,53928
0.4,17,33368,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,96,93,80,19,23,15,15,15,15,10,87,88,53936
1.0,1,29945,6,72,29948,2,29947,3,29946,4,29945,5,3,2,1,0,3,2,6,9,0,14,11,8,10,10,10,5,5,5,50,53916
1.1,6,29871,9,73,29922,0,29922,0,29922,7,29871,8,255,255,7,0,7,2,8,9,14,18,19,13,15,15,10,5,5,6,51,53917
1.2,8,30186,12,74,30185,0,30185,0,30185,10,30186,11,255,255,12,0,12,2,14,21,23,9,18,28,15,15,10,10,3,7,52,53918
1.3,14,32250,112,113,32290,0,32290,0,32290,109,32250,110,255,255,12,0,12,2,19,79,76,21,9,82,15,15,10,10,10,75,76,53929
1.4,19,32697,134,135,32935,0,32935,0,32935,132,32697,133,255,255,12,0,12,2,255,96,93,80,19,28,15,15,10,10,5,89,90,53937
2.0,5,29949,17,0,29952,13,29951,14,29950,15,29949,16,3,2,1,0,3,2,6,10,9,19,13,11,10,10,10,10,5,8,53,53922
2.1,6,29936,20,0,29937,0,29937,0,29937,18,29936,19,255,255,7,0,7,2,8,10,9,18,19,20,15,15,10,5,5,9,54,53923
2.2,8,30163,23,0,30162,0,30162,0,30162,21,30163,22,255,255,12,0,12,2,13,9,21,23,19,29,15,15,10,10,3,10,55,53924
2.3,13,32569,117,0,32571,0,32571,0,32571,114,32569,115,255,255,12,0,12,2,18,10,76,80,79,82,15,15,10,10,10,69,72,53930
2.4,18,33015,138,0,33389,0,33389,0,33389,136,33015,137,255,255,12,0,12,2,255,96,93,23,19,29,15,15,10,10,5,70,86,53938
