#,Text,LogKind,DisplayFlags,Unknown1,Duration,Unknown2
0,,0,0,0,0,False
1,You invite you to a party.,57,1,0,0,False
2,The party invite from you was canceled.,57,1,0,0,False
3,you invites you to a party.,57,33,0,0,False
4,You leave the party.,57,1,0,0,False
5,The party disbands.,57,1,0,0,False
6,,0,0,0,0,False
7,,0,0,0,0,False
8,You are now blacklisted.,57,1,0,0,False
9,you removed from blacklist.,57,1,0,0,False
10,You send a friend request to you.,57,33,0,0,False
11,you has sent you a friend request.,57,33,0,0,False
12,you removed from friend list.,57,1,0,0,False
13,Linkshell invite sent to you.,57,1,0,0,False
14,you invites you to join “.”,57,33,0,0,False
15,You are now a leader of “.”,57,1,0,0,False
16,You are no longer a leader of “.”,57,1,0,0,False
17,You leave “.”,57,1,0,0,False
18,You leave “.”,57,33,0,0,False
19,You were kicked from “.”,57,1,0,0,False
20,You have been kicked from “.”,57,1,0,0,False
21,Master privileges for “” have been granted to you.,57,1,0,0,False
22,Master privileges for “” have been granted to you.,57,33,0,0,False
23,You are now a leader of “.”,57,33,0,0,False
24,You are no longer a leader of “.”,57,1,0,0,False
25,Message sent.,57,33,0,0,False
26,Message deleted.,57,1,0,0,False
27,UNKNOWN  are taken from the message.,57,1,0,0,False
28,0 gil taken from message.,57,1,0,0,False
29,"You have reached the maximum capacity for messages with attachments.
You will not receive any new deliveries from friends until you claim your items.",60,9,0,0,False
30, are unable to trade at this time.,60,8,0,0,False
31,That item cannot be traded.,60,8,0,0,False
32,Trade request sent to .,57,1,0,0,False
33,Awaiting trade confirmation from ...,57,1,0,0,False
34, wishes to trade with you.,57,1,0,0,False
35,Trade opened.,57,1,0,0,False
36,Trade canceled.,57,1,0,0,False
37,Trade items have changed.,57,1,0,0,False
38,Trade complete.,57,33,0,0,False
39,Trade not complete. Insufficient inventory space.,60,8,0,0,False
40,Trade not complete.  do not have sufficient inventory space.,60,8,0,0,False
41,Only items in perfect condition can be traded.,60,8,0,0,False
42,Trade not complete. You already have one of the proposed unique items.,60,8,0,0,False
43,Trade not complete.  already have one of the proposed unique items.,60,8,0,0,False
44,The trade will be canceled if you move too far away from the target.,57,8,0,0,False
45,You have exceeded the character limit.,60,8,0,0,False
46,Trade canceled. You cannot carry any more gil.,60,8,0,0,False
47,Trade canceled.  cannot carry any more gil.,60,8,0,0,False
48,Unable to send trade request. Player's online status is set to Busy.,60,8,0,0,False
49,Unable to send tell. UNKNOWN's online status is set to Busy.,60,1,0,0,False
50,Message to UNKNOWN could not be sent.,60,1,0,0,False
51,Unable to find PC.,60,8,0,0,False
52,Following .,57,33,0,0,False
53,No longer following a target.,57,33,0,0,False
54,Trade could not be completed.,60,8,0,0,False
55,Unable to send tell. That player is on your blacklist.,60,8,0,0,False
56,Unable to initiate trade. That player is on your blacklist.,60,8,0,0,False
57,Unable to invite to party. That player is on your blacklist.,60,8,0,0,False
58,Unable to invite to linkshell. That player is on your blacklist.,60,8,0,0,False
59,UNKNOWN slot remaining in your inventory.,60,8,0,0,False
60,You join the party.,57,33,1,0,False
61,You join you's party.,57,33,1,0,False
62,You decline the party invite.,57,1,0,0,False
63,You decline you's party invite.,57,1,0,0,False
64,You are now the party leader.,57,1,1,0,False
65,you has promoted you to party leader.,57,33,1,0,False
66,You are the new party leader.,57,33,1,0,False
67,You were removed from the party.,57,1,1,0,False
68,You leave you's party.,57,1,1,0,False
69,You have left the party.,57,33,1,0,False
70,You leave your party.,57,33,1,0,False
71,You have left the party.  are promoted to party leader.,57,33,1,0,False
72,You dissolve the party.,57,33,1,0,False
73,The party has been disbanded.,57,33,1,0,False
74,You join “.”,57,33,0,0,False
75,You have joined “.”,57,33,1,0,False
76,You decline the linkshell invite to “.”,57,1,0,0,False
77,You have left “.”,57,33,1,0,False
78,you is now on your friend list.,57,33,1,0,False
79,You decline you's friend request.,57,1,0,0,False
80,Your search info has been updated.,57,32,0,0,False
81,List updated.,57,32,0,0,False
82,Friend request to you canceled.,57,1,0,0,False
83,Friend request from you was canceled.,57,1,1,0,False
84,You have gone offline.,57,33,1,0,False
85,You have returned to the party.,57,33,1,0,False
86,Unable to accept materia meld request. That player is on your blacklist.,60,8,0,0,False
87,Unable to accept materia meld request. You are not a Disciple of the Land.,60,8,0,0,False
88,You discover a new location!,57,33,1,0,False
89,"Unable to update the character list. Please try another data center, or try again later.",60,8,0,0,False
90,You have declined the linkshell invite to “.”,57,1,1,0,False
91,You's linkshell invite to “” has been withdrawn.,57,33,0,0,False
92,The linkshell invite to “” has been withdrawn.,57,33,1,0,False
93,Retrieving letter. Please wait.,60,8,0,0,False
94,The only party currently recruiting does not match your search conditions.,72,1,0,0,False
95,You have canceled all party invitations.,57,1,1,0,False
96,Unable to use aesthetician-exclusive hairstyles or face paint. Reverting to default.,60,8,0,0,False
97,Updating online status to Away from Keyboard.,57,1,0,0,False
98,Updating online status. No longer away from keyboard.,57,1,0,0,False
99,Unable to join party. The player seeking recruits is on your blacklist.,60,8,0,0,False
100,You look at  in surprise.,29,1,0,0,False
101,You are frustrated with .,29,1,0,0,False
102,You motion angrily at .,29,1,0,0,False
103,You see  and blush with embarrassment.,29,1,0,0,False
104,You bow courteously to .,29,1,0,0,False
105,You cheer  on!,29,1,0,0,False
106,You clap for .,29,1,0,0,False
107,You beckon to .,29,1,0,0,False
108,You console .,29,1,0,0,False
109,You weep in sorrow before .,29,1,0,0,False
110,You dance sprightly for .,29,1,0,0,False
111,You question .,29,1,0,0,False
112,You fall asleep beside .,29,1,0,0,False
113,You express your annoyance with .,29,1,0,0,False
114,You bid farewell to .,29,1,0,0,False
115,You wave to .,29,1,0,0,False
116,You fail to understand .,29,1,0,0,False
117,You motion joyfully to .,29,1,0,0,False
118,You kneel before .,29,1,0,0,False
119,You laugh at .,29,1,0,0,False
120,You burst out laughing at .,29,1,0,0,False
121,You scan the area around .,29,1,0,0,False
122,You motion to yourself.,29,1,0,0,False
123,You disagree with .,29,1,0,0,False
124,You disagree vehemently with .,29,1,0,0,False
125,You look at  and panic!,29,1,0,0,False
126,You point at .,29,1,0,0,False
127,You poke .,29,1,0,0,False
128,You congratulate .,29,1,0,0,False
129,You psych yourself up alongside !,29,1,0,0,False
130,You salute .,29,1,0,0,False
131,You look at  in shock!,29,1,0,0,False
132,You shrug at .,29,1,0,0,False
133,You try to cheer  up.,29,1,0,0,False
134,You try to comfort .,29,1,0,0,False
135,You stagger before .,29,1,0,0,False
136,You stretch next to .,29,1,0,0,False
137,"You look away from , sulking.",29,1,0,0,False
