#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
0,,,,,,0,0,0,1,0,0,0,0,0
1,belt of constitution,belts of constitution,Belt of Constitution,Maximum HP +20%,Increases maximum HP.,0,0,0,1,0,0,243001,98,1
2,ring of sacrifice,rings of sacrifice,Ring of Sacrifice,"Revives beastmaster upon KO by sacrificing the summoned familiar.
Ineffective if a familiar is not summoned.",Sacrifices familiar to revive beastmaster.,0,0,0,1,0,0,243002,35,1
3,ring of curing,rings of curing,Ring of Curing,Recovers 25% of maximum HP at the end of battles.,Recovers HP after battles.,0,0,0,1,0,0,243003,175,1
4,chemist's satchel,chemist's satchels,Chemist's Satchel,Procures one random beast potion upon resting at campsites.,Grants beast potions at campsites.,0,0,0,1,0,0,243004,35,1
5,hexed hat,hexed hats,Hexed Hat,Magic Vulnerability -10%,Reduces magic damage taken.,0,0,0,1,0,0,243005,56,1
6,suit of steel armor,suits of steel armor,Steel Armor,Physical Vulnerability -15%,Reduces physical damage taken.,0,0,0,1,0,0,243006,63,1
7,crown of the wild,crowns of the wild,Crown of the Wild,"Physical Damage Dealt +10%
Critical Hit Rate +3%
※Effects also apply to summoned familiar.",Increases physical damage dealt and critical hit rate. Familiar-friendly.,0,0,0,1,0,0,243007,190,1
8,staff of the wise,staves of the wise,Staff of the Wise,"Magic Damage Dealt +20%
※Effects also apply to summoned familiar.",Increases magic damage dealt. Familiar-friendly.,0,0,0,1,0,0,243008,190,1
9,power armlet,power armlets,Power Armlet,"Physical Damage Dealt +12%
Evasion +3%",Increases physical damage dealt and evasion.,0,0,0,1,0,0,243009,174,1
10,twisted headband,twisted headbands,Twisted Headband,"Physical Damage Dealt +5%
Physical Vulnerability -5%",Increases physical damage dealt. Reduces physical damage taken.,0,0,0,1,0,0,243010,84,1
11,green beret,green berets,Green Beret,"Critical Hit Power +35
Damage Dealt +3%
Maximum HP +7%","Increases critical hit power, damage dealt, and maximum HP.",0,0,0,1,0,0,243011,174,1
12,pair of mystic boots,pairs of mystic boots,Mystic Boots,"Evasion +8%
Movement Speed +50%
Increases HP recovery via actions and crucible items by 15%.","Increases evasion, movement speed, and HP recovery.",0,0,0,1,0,0,243012,91,1
13,ring of protection,rings of protection,Ring of Protection,"Damage Taken -10%
Maximum HP +7%",Reduces damage taken. Increases maximum HP.,0,0,0,1,0,0,243013,104,1
14,ice shield,ice shields,Ice Shield,"Damage Taken -30%
**Slow** +10%
30% chance to absorb ice damage as HP.",Reduces damage taken. Inflicts Slow on self. May absorb ice damage. ,0,0,1,1,0,0,243014,140,1
15,earth shield,earth shields,Earth Shield,"30% chance to absorb earth damage as HP.
10% chance to grant **Stoneskin** upon blocking with shield.
**Stoneskin Effect:** Absorbs damage totaling 15% of maximum HP
**Duration:** 60s",May absorb earth damage. May grant Stoneskin upon shield block.,0,0,1,1,0,0,243015,266,1
