#,Path,PathAlly,Type,Unknown0,RestrictYScale,LargeScale
0,,,0,0,True,False
1,general_1bf,general_1bpf,0,0,True,False
2,general02f,general02_pf,0,0,True,False
3,gl_fan060_1bf,gl_fan060_1bpf,0,0,True,False
4,gl_fan090_1bf,gl_fan090_1bpf,0,0,True,False
5,gl_fan120_1bf,gl_fan120_1bpf,0,0,True,False
6,m0096sp_05c1s,,0,0,True,False
7,m0096sp_06c2s,,0,0,True,False
8,m0098sp04cx0t,,0,0,True,False
9,m0098sp07cx0t,,0,0,True,False
10,m0077sp03o0m,,0,0,True,False
11,m0077sp03o1m,,0,0,True,False
12,gl_sircle_1907af,,0,0,True,False
13,gl_sircle_3004af,,0,0,True,False
14,gl_sircle_5003af,,0,0,True,False
15,gl_fan270_0100af,,0,0,True,False
16,gl_fan270_1005af,,0,0,True,False
17,gl_fan270_1510af,,0,0,True,False
18,sandpilr1o0c,,0,0,True,False
19,m0063gt_loop_0m,,0,0,True,False
20,m0057sp09cx0s,,0,0,True,False
21,m0062sp_03o0s,,0,0,False,False
22,taihuunome0m,,0,0,True,False
23,tatumaki0m,,0,0,True,False
24,m063sp019o0c,,0,0,True,False
25,m0031sp03o0c,,0,0,True,False
26,m0099sp_03o0t,,0,0,True,False
27,gl_shipimpact0f,,0,0,True,False
28,gl_fan150_1bf,gl_fan150_1bpf,0,0,True,False
29,d1006_meteo1m,,0,0,True,False
30,d1006_sp04o1m,,0,0,True,False
31,m0172sp05o0c,,0,0,True,False
32,m0095sp16o0c,,0,0,True,False
33,m0073_mijingiri1m,,0,0,True,False
34,m0073_wagiri1m,,0,0,True,False
35,m0073_wagiri2m,,0,0,True,False
36,m0073_wagiri3m,,0,0,True,False
37,m0073_wagiri4m,,0,0,True,False
38,m0073_ougigiri1m,,0,0,True,False
39,m0073_jiraisin1m,,0,0,True,False
40,undeadraise1o0h,,0,4,True,False
41,rinsen_s_omen,,0,0,True,False
42,rinsen_m_omen,,0,0,True,False
43,rinsen_l_omen,,0,0,True,False
44,leviathan_mizubakudan1t0h,,0,0,True,False
45,neil_jiware_o0t,,0,0,True,False
46,bahamut2_bomu_omen0s,,0,0,True,False
47,m0171sp05o0c,,0,0,True,False
48,d1006_delta1m,,0,0,True,False
49,d1006_overpowaer1m,,0,0,True,False
50,m0123_banrai_omen1s,,0,0,True,False
51,m0212sp02o0c,,0,0,True,False
52,kuraken_kanketu_gtkougeki_o0c,,0,0,True,False
53,m0074sp04o0c,,0,0,True,False
54,m7006sp01omen1s,,0,0,True,False
55,m7006sp03omen1s,,0,0,True,False
56,m0125sp05o0h,,0,0,True,False
57,m0125_gardian_enerugihdan_0m,,0,0,True,False
58,shiva_fuyuturara_raka_omen1m,,0,0,True,False
59,shiva_fleezfloa_omen0m,,0,0,True,False
60,m0070_fan120_0h,,0,0,True,False
61,m0070_fan180_0h,,0,0,True,False
62,phoenix_bluefire0t,,0,0,True,False
63,m0118sp05o0t,,0,0,True,False
64,m0117_gtae_01s,,0,0,True,False
65,m0117_trap_01s,,0,0,True,False
66,m0129sp01_omen_m,,0,0,True,False
67,mokuyaku_genryu_bom1m,,0,0,True,False
68,mokuyaku_genryu_bom2m,,0,0,True,False
69,mokuyaku_genryu_bom3m,,0,0,True,False
70,mokuyaku_genryu_o1m,,0,0,True,False
71,mokuyaku_genryu_o2m,,0,0,True,False
72,mokuyaku_genryu_o3m,,0,0,True,False
73,m131om_setu0f,,0,0,True,False
74,m131om_getu0f,,0,2,True,False
75,m131om_hana0f,,0,0,True,False
76,m070_fleezfloa_omen0f,,0,0,True,False
77,m070_meteo1f,,0,0,True,False
78,gl_sircle_1512af,,0,0,True,False
79,m0272sp09o0c,,0,0,True,False
80,m0260sp03o0c,,0,0,True,False
81,m0227_sp03_omen1s,,0,0,True,False
82,d1024_sp03_0s,,0,0,True,False
83,fate_altema_madoufensu1t,,0,0,True,False
84,m0248_freeze_o0c,,0,0,True,False
85,m0248_center_o0c,,0,0,True,False
86,m0248_side_o0c,,0,0,True,False
87,d1015sp11o0c,,0,0,True,False
88,m0244laser_o0t,,0,0,True,False
89,m0244donut_o0t,,0,0,True,False
90,d1025_sp012_bunsan01s,,0,0,True,False
91,c0501_fan240af,,0,0,True,False
92,d1025_sp11_zignzan0c,,0,0,True,False
93,m0103sp03o0t,,0,0,True,False
94,m0244en_o0t,,0,0,True,False
95,m0066tatari_o0c,,0,0,True,False
96,bismarck_mizubakudan1h,,0,0,True,False
97,m0070_taberu0c,,0,0,True,False
98,gl_fan060_1bf,,0,0,True,False
99,gl_fan030_0f,,0,0,True,False
100,gl_fan060_1f,,0,0,True,False
101,gl_fan120_1f,,0,0,True,False
102,general01bf,,0,0,True,False
103,gl_sircle_6008tf,,0,0,True,False
104,m0280sp02o0t,,0,0,True,False
105,gl_fan030_1bf,gl_fan030_1bpf,0,0,True,False
106,manta_mizubakudan1h,,0,0,True,False
107,gl_fan180_1bf,,0,0,True,False
