#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
2000000,,,0,0,0,1,0,0
2000001,透明君※α未使用,,0,0,0,1,0,0
2000002,草むらテスト※α未使用,,0,0,0,1,0,0
2000003,クエストツールテスト※α未使用,,0,0,0,1,0,0
2000004,クエストツールテスト２※α未使用,,0,0,0,1,0,0
2000005,,,0,0,0,0,0,0
2000006,草むら※α未使用,,0,0,0,1,0,0
2000007,草むら※α未使用,,0,0,0,1,0,0
2000008,Hedgetree,Hedgetrees,0,0,0,1,0,0
2000009,destination,destinations,0,0,0,1,0,0
2000010,anole egg,anole eggs,0,0,1,1,0,0
2000011,anole egg,anole eggs,0,0,1,1,0,0
2000012,anole egg,anole eggs,0,0,1,1,0,0
2000013,anole egg,anole eggs,0,0,1,1,0,0
2000014,anole egg,anole eggs,0,0,1,1,0,0
2000015,,,0,0,0,1,0,0
2000016,decaying tree,decaying trees,0,0,0,1,0,0
2000017,decaying tree,decaying trees,0,0,0,1,0,0
2000018,decaying tree,decaying trees,0,0,0,1,0,0
2000019,,,0,0,0,1,0,0
2000020,vegetable offering,vegetable offerings,0,0,0,1,0,0
2000021,vegetable offering,vegetable offerings,0,0,0,1,0,0
2000022,vegetable offering,vegetable offerings,0,0,0,1,0,0
2000023,vegetable offering,vegetable offerings,0,0,0,1,0,0
2000024,vegetable offering,vegetable offerings,0,0,0,1,0,0
2000025,vegetable offering,vegetable offerings,0,0,0,1,0,0
2000026,Azeyma rose hip,Azeyma rose hips,0,0,1,1,0,0
2000027,Azeyma rose hip,Azeyma rose hips,0,0,1,1,0,0
2000028,Azeyma rose hip,Azeyma rose hips,0,0,1,1,0,0
2000029,Azeyma rose hip,Azeyma rose hips,0,0,1,1,0,0
2000030,Azeyma rose hip,Azeyma rose hips,0,0,1,1,0,0
2000031,Azeyma rose hip,Azeyma rose hips,0,0,1,1,0,0
2000032,,,0,0,0,1,0,0
2000033,埋門,,0,0,0,1,0,0
2000034,,,0,0,0,1,0,0
2000035,,,0,0,0,1,0,0
2000036,,,0,0,0,0,0,0
2000037,,,0,0,0,1,0,0
2000038,,,0,0,0,1,0,0
2000039,magitek photocell,magitek photocells,0,0,0,1,0,0
2000040,,,0,0,0,1,0,0
2000041,,,0,0,0,1,0,0
2000042,destination,destinations,0,0,0,1,0,0
2000043,moist depression,moist depressions,0,0,0,1,0,0
2000044,moist depression,moist depressions,0,0,0,1,0,0
2000045,moist depression,moist depressions,0,0,0,1,0,0
2000046,exit,exits,0,0,1,1,0,0
2000047,,,0,0,0,1,0,0
2000048,matter relocation device,matter relocation devices,0,0,0,1,0,0
2000049,,,0,0,0,0,0,0
2000050,,,0,0,0,0,0,0
2000051,,,0,0,0,1,0,0
2000052,,,0,0,0,1,0,0
2000053,warm egg,warm eggs,0,0,0,1,0,0
2000054,,,0,0,0,1,0,0
2000055,cultist rosary,cultist rosaries,0,0,0,1,0,0
2000056,cultist rosary,cultist rosaries,0,0,0,1,0,0
2000057,cultist rosary,cultist rosaries,0,0,0,1,0,0
2000058,sealed barrier,sealed barriers,0,0,0,1,0,0
2000059,sealed barrier,sealed barriers,0,0,0,1,0,0
2000060,sealed barrier,sealed barriers,0,0,0,1,0,0
2000061,cultist orb,cultist orbs,0,0,0,1,0,0
2000062,cultist orb,cultist orbs,0,0,0,1,0,0
2000063,cultist orb,cultist orbs,0,0,0,1,0,0
2000064,abyssal cocoon,,0,0,0,1,0,0
2000065,stone bridge,,0,0,0,1,0,0
2000066,exit,exits,0,0,1,1,0,0
2000067,cultist orb,cultist orbs,0,0,0,1,0,0
2000068,,,0,0,0,1,0,0
2000069,,,0,0,0,1,0,0
2000070,censer,censers,0,0,0,1,0,0
2000071,censer,censers,0,0,0,1,0,0
2000072,summoning bell,summoning bells,0,0,0,1,0,0
2000073,market board,market boards,0,0,0,1,0,0
2000074,,,0,0,0,0,0,0
2000075,destination,destinations,0,0,0,1,0,0
2000076,destination,destinations,0,0,0,1,0,0
2000077,destination,destinations,0,0,0,1,0,0
2000078,destination,destinations,0,0,0,1,0,0
2000079,,,0,0,0,0,0,0
2000080,,,0,0,0,0,0,0
2000081,,,0,0,0,0,0,0
2000082,,,0,0,0,0,0,0
2000083,,,0,0,0,0,0,0
2000084,,,0,0,0,0,0,0
2000085,,,0,0,0,0,0,0
2000086,,,0,0,0,0,0,0
2000087,heavy oaken door,heavy oaken doors,0,0,0,1,0,0
2000088,comfy feather bed,comfy feather beds,0,0,0,1,0,0
2000089,trampled earth,trampled earth,0,0,0,1,0,0
2000090,,,0,0,0,0,0,0
2000091,,,0,0,0,0,0,0
2000092,,,0,0,0,0,0,0
2000093,water-stained note,water-stained notes,0,0,0,1,0,0
2000094,water-stained note,water-stained notes,0,0,0,1,0,0
2000095,water-stained note,water-stained notes,0,0,0,1,0,0
2000096,water-stained note,water-stained notes,0,0,0,1,0,0
2000097,water-stained note,water-stained notes,0,0,0,1,0,0
2000098,water-stained note,water-stained notes,0,0,0,1,0,0
2000099,water-stained note,water-stained notes,0,0,0,1,0,0
2000100,magitek photocell,magitek photocells,0,0,0,1,0,0
2000101,magitek photocell,magitek photocells,0,0,0,1,0,0
2000102,magitek photocell,magitek photocells,0,0,0,1,0,0
2000103,magitek photocell,magitek photocells,0,0,0,1,0,0
2000104,magitek photocell,magitek photocells,0,0,0,1,0,0
2000105,magitek photocell,magitek photocells,0,0,0,1,0,0
2000106,magitek photocell,magitek photocells,0,0,0,1,0,0
2000107,magitek photocell,magitek photocells,0,0,0,1,0,0
2000108,magitek photocell,magitek photocells,0,0,0,1,0,0
2000109,magitek photocell,magitek photocells,0,0,0,1,0,0
2000110,magitek photocell,magitek photocells,0,0,0,1,0,0
2000111,,,0,0,0,1,0,0
2000112,,,0,0,0,1,0,0
2000113,,,0,0,0,1,0,0
2000114,,,0,0,0,1,0,0
2000115,,,0,0,0,1,0,0
2000116,magitek terminal,magitek terminals,0,0,0,1,0,0
2000117,,,0,0,0,1,0,0
2000118,magitek terminal,magitek terminals,0,0,0,1,0,0
2000119,magitek terminal,magitek terminals,0,0,0,1,0,0
2000120,,,0,0,0,1,0,0
2000121,,,0,0,0,1,0,0
2000122,magitek terminal,magitek terminals,0,0,0,1,0,0
2000123,magitek terminal,magitek terminals,0,0,0,1,0,0
2000124,,,0,0,0,1,0,0
2000125,magitek transporter,magitek transporters,0,0,0,1,0,0
2000126,magitek transporter,magitek transporters,0,0,0,1,0,0
2000127,magitek transporter,magitek transporters,0,0,0,1,0,0
2000128,pollen cluster,pollen clusters,0,0,0,1,0,0
2000129,pollen cluster,pollen clusters,0,0,0,1,0,0
2000130,pollen cluster,pollen clusters,0,0,0,1,0,0
2000131,,,0,0,0,1,0,0
2000132,,,0,0,0,1,0,0
2000133,,,0,0,0,1,0,0
2000134,,,0,0,0,1,0,0
2000135,,,0,0,0,1,0,0
2000136,faint footprints,faint footprints,0,0,0,1,0,0
2000137,,,0,0,0,1,0,0
2000138,,,0,0,0,1,0,0
2000139,exit,exits,0,0,1,1,0,0
2000140,tangled undergrowth,tangled undergrowth,0,0,0,1,0,0
2000141,survey records,survey records,0,0,0,1,0,0
2000142,tangled undergrowth,tangled undergrowth,0,0,0,1,0,0
2000143,dusty malmstone,dusty malmstones,0,0,0,1,0,0
2000144,dusty malmstone,dusty malmstones,0,0,0,1,0,0
2000145,glimshroom,glimshrooms,0,0,0,1,0,0
2000146,burlap sacks,burlap sacks,0,0,0,1,0,0
2000147,surveyor's instruments,surveyor's instruments,0,0,0,1,0,0
2000148,surveyor's instruments,surveyor's instruments,0,0,0,1,0,0
2000149,surveyor's rope,surveyor's rope,0,0,0,1,0,0
2000150,anole egg,anole eggs,0,0,1,1,0,0
2000151,Aethernet shard,Aethernet shards,0,0,1,1,0,0
2000152,tiny key,tiny keys,0,0,0,1,0,0
