key,0,1,2,3
#,,,,
int32,str,str,str,str
0,"","","",""
1,"With the bashful batfish caught, you sense further movement in the shadows.","With the bashful batfish caught, the swimming shadows intensify.","With the bashful batfish caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
2,"With the ichthyosaur caught, you sense further movement in the shadows.","With the ichthyosaur caught, the swimming shadows intensify.","With the ichthyosaur caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
3,"With the glaring perch caught, you sense further movement in the shadows.","With the glaring perch caught, the swimming shadows intensify.","With the glaring perch caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
4,"With the mercenary crab caught, you sense further movement in the shadows.","With the mercenary crab caught, the swimming shadows intensify.","With the mercenary crab caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
5,"With the ichimonji caught, you sense further movement in the shadows.","With the ichimonji caught, the swimming shadows intensify.","With the ichimonji caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
6,"With the noblefish caught, you sense further movement in the shadows.","With the noblefish caught, the swimming shadows intensify.","With the noblefish caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
7,"With the Sauldia ruby caught, you sense further movement in the shadows.","With the Sauldia ruby caught, the swimming shadows intensify.","With the Sauldia ruby caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
8,"With the treescale caught, you sense further movement in the shadows.","With the treescale caught, the swimming shadows intensify.","With the treescale caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
9,"With the cloudy cat shark caught, you sense further movement in the shadows.","With the cloudy cat shark caught, the swimming shadows intensify.","With the cloudy cat shark caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
10,"With the hedonfish caught, you sense further movement in the shadows.","With the hedonfish caught, the swimming shadows intensify.","With the hedonfish caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
11,"With the Ligaka blossom caught, you sense further movement in the shadows.","With the Ligaka blossom caught, the swimming shadows intensify.","With the Ligaka blossom caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
12,"With the glistening discus caught, you sense further movement in the shadows.","With the glistening discus caught, the swimming shadows intensify.","With the glistening discus caught, the swimming shadows begin to take shape!","The shadow of an elusive sea creature lurks somewhere nearby!"
