#,VFX[0],VFX[1],VFX[2],VFX[3],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
0,0,0,0,0,0,0,0,2,False,True,False
1,122,0,0,0,0,0,0,2,False,True,False
2,125,0,0,0,0,0,0,2,False,True,False
3,123,0,0,0,0,0,0,2,False,True,False
4,128,0,0,0,0,0,0,2,False,True,False
5,124,0,0,0,0,0,0,2,False,True,False
6,126,0,0,0,0,0,0,2,False,True,False
7,139,0,0,0,0,0,1,1,False,False,False
8,146,0,0,0,0,0,1,2,False,False,False
9,147,0,0,0,0,0,1,2,False,False,False
10,148,0,0,0,0,0,1,2,False,False,False
11,140,0,0,0,0,0,1,2,False,False,False
12,141,0,0,0,0,0,1,2,False,False,False
13,142,0,0,0,0,0,1,2,False,False,False
14,143,0,0,0,0,0,1,2,False,False,False
15,144,0,0,0,0,0,1,2,False,False,False
16,145,0,0,0,0,0,1,2,False,False,False
17,129,0,0,0,0,0,0,3,False,True,False
18,127,0,0,0,0,0,0,3,False,True,False
19,130,0,0,0,0,0,0,3,False,True,False
20,131,0,0,0,0,0,0,3,False,True,False
21,210,0,0,0,0,0,1,2,False,False,False
22,211,0,0,0,0,0,1,2,False,False,False
23,132,0,0,0,0,0,0,3,False,True,False
24,133,0,0,0,0,0,0,3,False,True,False
25,134,0,0,0,0,0,0,3,False,True,False
26,502,0,0,0,0,0,1,3,False,False,False
27,150,0,0,0,0,0,0,2,False,True,False
28,0,0,0,0,0,0,1,2,False,False,False
29,135,0,0,0,0,0,1,3,False,False,False
30,495,0,0,0,0,0,0,2,False,True,False
31,497,0,0,0,0,0,0,2,False,True,False
32,500,0,0,0,0,0,0,2,False,True,False
33,151,0,0,0,0,0,0,2,False,True,False
34,516,0,0,0,0,0,1,2,False,False,False
35,509,0,0,0,0,0,0,2,False,True,False
36,520,0,0,0,0,0,1,2,False,False,False
37,0,538,539,0,4,7,0,2,False,True,False
38,539,0,0,0,0,0,0,2,False,True,False
39,540,0,0,0,0,0,0,2,False,True,False
40,542,0,0,0,0,0,0,2,False,True,False
41,543,0,0,0,0,0,0,2,False,True,False
42,544,0,0,0,0,0,0,2,False,True,False
43,546,0,0,0,0,0,0,2,False,True,False
44,551,0,0,0,0,0,0,3,False,True,False
45,552,0,0,0,0,0,0,2,False,True,False
46,553,0,0,0,0,0,0,3,False,True,False
47,554,0,0,0,0,0,0,1,False,True,False
48,555,0,0,0,0,0,0,2,False,True,False
49,556,0,0,0,0,0,0,2,False,True,False
50,557,0,0,0,0,0,0,2,False,True,False
51,558,0,0,0,0,0,0,2,False,True,False
52,563,0,0,0,0,0,0,2,False,True,False
53,564,0,0,0,0,0,0,2,False,True,False
54,573,0,0,0,0,0,0,2,False,True,False
55,574,0,0,0,0,0,0,2,False,True,False
56,575,0,0,0,0,0,0,2,False,True,False
57,576,0,0,0,0,0,0,2,False,True,False
58,578,0,0,0,0,0,0,2,False,True,False
59,579,0,0,0,0,0,0,2,False,True,False
60,584,0,0,0,0,0,0,2,True,True,False
61,585,0,0,0,0,0,0,2,True,True,False
62,587,588,589,0,3,5,0,2,True,True,False
63,590,591,592,0,3,5,0,2,True,True,False
64,599,0,0,0,0,0,0,2,False,True,False
65,600,0,0,0,0,0,0,2,False,True,False
66,601,0,0,0,0,0,0,2,False,True,False
67,602,0,0,0,0,0,0,2,False,True,False
68,593,0,0,0,0,0,0,2,False,True,False
69,594,0,0,0,0,0,0,2,False,True,False
70,596,0,0,0,0,0,0,2,False,True,False
71,597,0,0,0,0,0,0,2,False,True,False
72,603,0,0,0,0,0,0,2,False,True,False
73,151,0,0,0,0,0,0,1,True,True,False
74,615,0,0,0,0,0,0,2,False,True,False
75,620,0,0,0,0,0,0,2,False,True,False
76,621,0,0,0,0,0,0,2,False,True,False
77,622,0,0,0,0,0,0,2,False,True,False
78,625,0,0,0,0,0,0,2,False,True,False
79,626,0,0,0,0,0,0,2,False,True,False
80,627,0,0,0,0,0,0,2,False,True,False
81,632,0,0,0,0,0,0,2,False,True,False
82,633,0,0,0,0,0,0,2,False,True,False
83,636,0,0,0,0,0,0,2,False,True,False
84,644,0,0,0,0,0,1,3,False,False,False
85,645,0,0,0,0,0,1,3,False,False,False
86,646,0,0,0,0,0,0,2,False,True,False
87,647,0,0,0,0,0,0,2,False,True,False
88,648,0,0,0,0,0,0,2,False,True,False
89,649,0,0,0,0,0,0,2,False,True,False
90,650,0,0,0,0,0,0,2,False,True,False
91,652,0,0,0,0,0,0,2,True,True,False
