key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,,,,,,,,,,,,,,,,,,
int32,uint16,uint16,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,byte,byte,bit&01,uint16,uint16
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
1,18,588,50,100,0,0,0,0,0,0,0,0,0,1,8,False,0,0
2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
6,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
10,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
