#,BNpcName,BNpcBase,Unknown0,Rank
0,0,0,0,1
1,2919,3175,0,1
2,2936,3192,0,2
3,2953,3209,0,3
4,2920,3176,0,1
5,2937,3193,0,2
6,2954,3210,0,3
7,2921,3177,0,1
8,2938,3194,0,2
9,2955,3211,0,3
10,2922,3178,0,1
11,2939,3195,0,2
12,2956,3212,0,3
13,2923,3179,0,1
14,2940,3196,0,2
15,2957,3213,0,3
16,2924,3180,0,1
17,2941,3197,0,2
18,2958,3214,0,3
19,2925,3181,0,1
20,2942,3198,0,2
21,2959,3215,0,3
22,2926,3182,0,1
23,2943,3199,0,2
24,2960,3216,0,3
25,2927,3183,0,1
26,2944,3200,0,2
27,2961,3217,0,3
28,2928,3184,0,1
29,2945,3201,0,2
30,2962,3218,0,3
31,2929,3185,0,1
32,2946,3202,0,2
33,2963,3219,0,3
34,2930,3186,0,1
35,2947,3203,0,2
36,2964,3220,0,3
37,2931,3187,0,1
38,2948,3204,0,2
39,2965,3221,0,3
40,2932,3188,0,1
41,2949,3205,0,2
42,2966,3222,0,3
43,2933,3189,0,1
44,2950,3206,0,2
45,2967,3223,0,3
46,2934,3190,0,1
47,2951,3207,0,2
48,2968,3224,0,3
49,2935,3191,0,1
50,2952,3208,0,2
51,2969,3225,0,3
52,4350,4527,0,1
53,4351,4528,0,1
54,4362,4539,0,2
55,4363,4540,0,2
56,4374,4551,0,3
57,4352,4529,0,1
58,4353,4530,0,1
59,4364,4541,0,2
60,4365,4542,0,2
61,4375,4552,0,3
62,4354,4531,0,1
63,4355,4532,0,1
64,4366,4543,0,2
65,4367,4544,0,2
66,4376,4553,0,3
67,4356,4533,0,1
68,4357,4534,0,1
69,4368,4545,0,2
70,4369,4546,0,2
71,4377,4554,0,3
72,4358,4535,0,1
73,4359,4536,0,1
74,4370,4547,0,2
75,4371,4548,0,2
76,4378,4555,0,3
77,4360,4537,0,1
78,4361,4538,0,1
79,4372,4549,0,2
80,4373,4550,0,2
81,4380,4556,0,3
82,6002,6851,0,1
83,6003,6852,0,1
84,5996,6845,0,2
85,5997,6846,0,2
86,5984,6833,220,3
87,6004,6853,0,1
88,6005,6854,0,1
89,5998,6847,0,2
90,5999,6848,0,2
91,5985,6834,221,3
92,6006,6855,0,1
93,6007,6856,0,1
94,6000,6849,0,2
95,6001,6850,0,2
96,5986,6835,222,3
97,6008,6857,0,1
98,6009,6858,0,1
99,5990,6839,0,2
100,5991,6840,0,2
101,5987,6836,223,3
102,6010,6859,0,1
103,6011,6860,0,1
104,5992,6841,0,2
105,5993,6842,0,2
106,5988,6837,224,3
107,6012,6861,0,1
108,6013,6862,0,1
109,5994,6843,0,2
110,5995,6844,0,2
111,5989,6838,225,3
112,8908,10385,0,1
113,8909,10386,0,1
114,8906,10383,0,2
115,8907,10384,0,2
116,8905,10382,398,3
117,8913,10418,0,1
118,8914,10419,0,1
119,8911,10420,0,2
120,8912,10421,0,2
121,8910,10634,403,3
122,8903,10358,0,1
123,8904,10359,0,1
124,8901,10356,0,2
125,8902,10357,0,2
126,8900,10355,404,3
127,8656,10273,0,1
128,8657,10327,0,1
129,8654,10271,0,2
130,8655,10272,0,2
131,8653,10270,408,3
132,8893,10299,0,1
133,8894,10300,0,1
134,8891,10297,0,2
135,8892,10298,0,2
136,8890,10296,407,3
137,8898,10325,0,1
138,8899,10326,0,1
139,8896,10323,0,2
140,8897,10324,0,2
141,8895,10322,406,3
142,8916,10755,0,1
143,8916,10755,0,1
144,8916,10755,0,1
145,8916,10755,0,1
146,8915,10422,400,3
147,8916,10755,0,1
148,8916,10755,0,1
149,8916,10755,0,1
150,8916,10755,0,1
151,8915,10422,400,3
152,8916,10755,0,1
153,8916,10755,0,1
154,8916,10755,0,1
155,8916,10755,0,1
156,8915,10422,400,3
157,8916,10755,0,1
158,8916,10755,0,1
159,8916,10755,0,1
160,8916,10755,0,1
161,8915,10422,400,3
162,8916,10755,0,1
163,8916,10755,0,1
164,8916,10755,0,1
165,8916,10755,0,1
166,8915,10422,400,3
167,8916,10755,0,1
168,8916,10755,0,1
169,8916,10755,0,1
170,8916,10755,0,1
171,8915,10422,400,3
172,10635,13968,0,1
173,10636,13969,0,1
174,10624,13789,0,2
175,10623,13790,0,2
176,10617,13834,583,3
177,10616,13938,0,1
178,10616,13938,0,1
179,10616,13938,0,1
180,10616,13938,0,1
181,10615,13775,597,3
182,10637,13970,0,1
183,10638,13971,0,1
184,10625,13759,0,2
185,10626,13820,0,2
186,10618,13936,574,3
187,10616,13938,0,1
188,10616,13938,0,1
189,10616,13938,0,1
190,10616,13938,0,1
191,10615,13775,597,3
192,10639,13972,0,1
193,10640,13973,0,1
194,10627,13833,0,2
195,10628,13937,0,2
196,10619,13758,571,3
197,10616,13938,0,1
198,10616,13938,0,1
199,10616,13938,0,1
200,10616,13938,0,1
201,10615,13775,597,3
