#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,0,0,0,0,0,False
1,0,1,0,1,0,False
2,0,2,5,1,0,False
3,0,2,10,1,0,False
4,0,2,15,1,0,False
5,0,2,30,1,0,False
6,1800,1,0,1,2,False
7,1800,0,0,1,1,False
8,0,1,0,2,0,False
9,0,2,1,1,0,False
10,0,2,6,1,0,False
11,900,0,0,1,2,False
12,900,0,0,1,1,False
13,1800,1,0,1,1,False
14,1800,0,0,1,2,False
15,600,0,0,1,2,False
16,600,0,0,1,1,False
17,450,0,0,1,2,False
18,450,0,0,1,1,False
19,0,3,10,1,0,False
20,1800,1,0,2,2,False
21,0,1,0,2,0,False
22,1200,1,0,2,2,False
23,1200,1,0,2,1,False
24,900,1,0,2,2,False
25,900,1,0,2,1,False
26,600,1,0,2,2,False
27,600,1,0,2,1,False
28,0,1,0,3,0,False
29,0,2,20,1,0,False
30,0,1,0,1,0,True
31,0,2,5,1,0,True
32,0,2,10,1,0,True
33,0,2,14,1,0,True
34,0,2,15,1,0,True
35,0,2,30,1,0,True
36,0,3,40,1,0,False
37,1800,3,20,2,2,False
38,990,0,0,1,2,False
39,270,1,0,2,1,False
40,1260,0,0,1,2,False
41,540,1,0,2,1,False
42,1530,0,0,1,2,False
43,810,1,0,2,1,False
44,1060,0,0,1,2,False
45,340,1,0,2,1,False
46,0,4,18,1,0,False
47,0,5,18,1,0,False
48,0,2,18,1,0,False
49,0,3,18,2,0,False
50,0,3,15,1,0,False
51,1480,1,0,2,2,False
52,2130,1,0,2,2,False
53,1490,1,0,2,2,False
54,1490,1,0,2,1,False
55,420,1,0,2,2,False
56,1380,1,0,2,2,False
57,420,1,0,2,1,False
58,1380,1,0,2,1,False
59,0,6,0,1,0,False
60,0,6,0,2,0,False
61,0,1,0,4,0,False
62,900,4,18,1,1,False
63,900,5,18,1,2,False
64,0,7,0,1,0,False
65,2700,0,0,1,2,False
66,1800,1,0,2,1,False
67,0,3,160,2,0,False
68,0,1,0,2,0,False
69,0,8,0,2,0,False
70,900,0,0,2,2,False
71,1800,0,0,2,2,False
72,900,0,0,2,1,False
73,0,2,25,1,0,True
74,0,2,40,1,0,True
75,1800,3,15,1,1,False
76,900,4,15,1,1,False
77,2700,5,15,1,1,False
78,1500,1,0,2,2,False
79,1500,1,0,2,1,False
80,0,4,10,1,0,False
81,0,5,10,1,0,False
82,0,2,16,1,0,False
83,140,0,0,1,2,False
84,140,0,0,1,1,False
85,0,4,10,2,0,False
86,0,5,10,2,0,False
87,1800,3,15,2,2,False
88,225,0,0,1,2,False
89,225,0,0,1,1,False
90,0,3,15,1,0,True
91,0,3,35,1,0,False
92,300,1,0,2,2,False
93,300,1,0,2,1,False
94,0,6,0,2,0,False
95,1200,0,0,1,2,False
96,1500,0,0,1,2,False
97,900,8,0,4,2,False
98,900,8,0,4,1,False
99,1800,8,0,4,2,False
100,1800,8,0,4,1,False
101,1450,0,0,1,2,False
102,100,0,0,1,2,False
103,1299,0,0,1,2,False
104,93,0,0,1,2,False
105,129,0,0,1,2,False
106,168,0,0,1,2,False
107,220,0,0,1,2,False
108,1424,0,0,1,2,False
109,85,0,0,1,2,False
110,102,0,0,1,2,False
111,116,0,0,1,2,False
112,142,0,0,1,2,False
113,0,3,25,1,0,False
114,1350,0,0,1,2,False
115,2250,0,0,1,2,False
116,3150,0,0,1,2,False
117,1350,1,0,2,1,False
118,900,8,0,2,1,False
119,2700,8,0,4,1,False
120,0,3,14,1,0,False
121,1500,0,0,1,1,False
122,2700,1,0,2,1,False
123,2700,0,0,1,1,False
124,3150,1,0,2,1,False
125,1425,8,0,4,2,False
126,1500,8,0,4,2,False
127,1575,8,0,4,2,False
128,1650,8,0,4,2,False
129,1425,8,0,4,1,False
130,1500,8,0,4,1,False
131,1575,8,0,4,1,False
132,1650,8,0,4,1,False
133,3150,8,0,4,1,False
134,1350,8,0,4,1,False
135,300,8,0,4,2,False
136,450,8,0,2,1,False
137,2250,8,0,2,1,False
138,0,0,0,0,0,False
