#,Filename,BlendGroup,Unknown_70_1,Unknown_70_2,IsLoop,IsBlinkEnable,IsLipEnable,Unknown0
0,,0,0,0,False,False,False,False
1,cbna_add_dmg_f,4,0,0,False,False,False,False
2,cbnm_01b_lp0,0,0,0,True,False,False,False
3,cbnm_01f_lp0,0,0,0,True,False,False,False
4,cbnm_01l_lp0,0,0,0,True,False,False,False
5,cbnm_01r_lp0,0,0,0,True,False,False,False
6,cbnm_02f_f,8,0,0,False,False,False,False
7,cbnm_02f_lp0,9,0,0,True,False,False,False
8,cbnm_02l_lp0,12,0,0,True,False,False,False
9,cbnm_02r_lp0,12,0,0,True,False,False,False
10,cbnm_aettch_2lp,0,0,0,True,False,False,False
11,cbnm_aettch_3,20,0,0,False,False,False,False
12,cbnm_drink,20,0,0,False,False,False,False
13,cbnm_eat,20,0,0,False,False,False,False
14,cbnm_event_2lp,0,0,0,True,False,False,False
15,cbnm_event_3,20,0,0,False,False,False,False
16,cbnm_id0,7,0,0,True,False,False,False
17,cbnm_itm_2lp,0,0,0,True,False,False,False
18,cbnm_itm_3,20,0,0,False,False,False,False
19,cbnm_jump_1,14,0,0,False,False,False,False
20,cbnm_jump_2,15,0,0,False,False,False,False
21,cbnm_jump_3,16,0,0,False,False,False,False
22,cbnm_mgc_cmn_2lp,0,0,0,True,False,False,False
23,cbnm_mgc_cmn_3b,20,0,0,False,False,False,False
24,cbnm_revive,5,0,0,False,False,False,False
25,cbnm_sprint_lp0,32,0,0,True,False,False,False
26,cbnm_trn_l_lp,0,0,0,True,False,False,False
27,cbnm_trn_r_lp,0,0,0,True,False,False,False
28,cbna_add_brt_lp,3,0,0,True,False,False,False
29,cbnm_mt_02f_lp0,23,0,0,True,False,False,False
30,cbnm_mt_id0,22,0,0,True,False,False,False
31,cbbm_abl_3,20,0,0,False,False,False,False
32,cbbm_abl_bene,20,0,0,False,False,False,False
33,cbbm_abl_conv,20,0,0,False,False,False,False
34,cbbm_abl_crusade,20,0,0,False,False,False,False
35,cbbm_abl_divin,20,0,0,False,False,False,False
36,cbbm_abl_excruciate,20,0,0,False,False,False,False
37,cbbm_abl_guren,20,0,0,False,False,False,False
38,cbbm_abl_hagane,20,0,0,False,False,False,False
39,cbbm_abl_illusive,20,0,0,False,False,False,False
40,cbbm_abl_invi,20,0,0,False,False,False,False
41,cbbm_abl_kabau,20,0,0,False,False,False,False
42,cbbm_abl_keenflurry,20,0,0,False,False,False,False
43,cbbm_abl_kong,20,0,0,False,False,False,False
44,cbbm_abl_kumei,20,0,0,False,False,False,False
45,cbbm_abl_midare,20,0,0,False,False,False,False
46,cbbm_abl_mosa,20,0,0,False,False,False,False
47,cbbm_abl_naita,20,0,0,False,False,False,False
48,cbbm_abl_rampart,20,0,0,False,False,False,False
49,cbbm_abl_ryuken,20,0,0,False,False,False,False
50,cbbm_abl_ryusou,20,0,0,False,False,False,False
51,cbbm_abl_seijya,20,0,0,False,False,False,False
52,cbbm_abl_sinsoku,20,0,0,False,False,False,False
53,cbbm_abl_sipu,20,0,0,False,False,False,False
54,cbbm_abl_sutemi,20,0,0,False,False,False,False
