#,SelectImage[0],SelectImage[1],SelectImage[2],SelectImage[3],PortraitImage[0],PortraitImage[1],PortraitImage[2],PortraitImage[3],Class
0,72621,72630,72638,72652,72681,72690,72698,72712,1
1,72622,72631,72639,72653,72682,72691,72699,72713,2
2,72623,72632,72640,72654,72683,72692,72700,72714,3
3,72625,72633,72641,72655,72685,72693,72701,72715,5
4,72626,72634,72642,72656,72686,72694,72702,72716,6
5,72627,72635,0,0,72687,72695,0,0,7
6,72621,72630,72638,72652,72681,72690,72698,72712,11
7,72644,72645,72646,72657,72704,72705,72706,72717,12
8,72637,72629,72643,72658,72697,72689,72703,72718,10
9,72637,72629,72643,72658,72697,72689,72703,72718,10
10,72637,72629,72643,72658,72697,72689,72703,72718,10
11,72659,0,0,72660,72719,0,0,72720,60
100,72637,72629,72643,72658,72697,72689,72703,72718,10
101,72637,72629,72643,72658,72697,72689,72703,72718,10
102,72637,72629,72643,72658,72697,72689,72703,72718,10
103,72651,0,0,0,72711,0,0,0,41
