#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
0,leather saddle,leather saddles,Leather Saddle,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Lominsan saddle,Lominsan saddles,Lominsan Saddle,0,0,0,1,0,0,65538,65541,65538,58549,58553,58551,1,1
2,set of Lominsan half barding,sets of Lominsan half barding,Lominsan Half Barding,0,0,0,1,0,0,65542,65542,65542,58501,58502,58503,1,2
3,set of Lominsan barding,sets of Lominsan barding,Lominsan Barding,0,0,0,1,0,0,131078,131078,131078,58504,58505,58506,1,3
4,set of Lominsan crested barding,sets of Lominsan crested barding,Lominsan Crested Barding,0,0,0,1,0,0,196614,196614,196614,58507,58508,58509,1,4
5,Gridanian saddle,Gridanian saddles,Gridanian Saddle,0,0,0,1,0,0,65538,131077,65538,58549,58556,58551,2,5
6,set of Gridanian half barding,sets of Gridanian half barding,Gridanian Half Barding,0,0,0,1,0,0,65543,65543,65543,58510,58511,58512,2,6
7,set of Gridanian barding,sets of Gridanian barding,Gridanian Barding,0,0,0,1,0,0,131079,131079,131079,58513,58514,58515,2,7
8,set of Gridanian crested barding,sets of Gridanian crested barding,Gridanian Crested Barding,0,0,0,1,0,0,196615,196615,196615,58516,58517,58518,2,8
9,Ul'dahn saddle,Ul'dahn saddles,Ul'dahn Saddle,0,0,1,1,0,0,65538,196613,65538,58549,58559,58551,3,9
10,set of Ul'dahn half barding,sets of Ul'dahn half barding,Ul'dahn Half Barding,0,0,0,1,0,0,65544,65544,65544,58519,58520,58521,3,10
11,set of Ul'dahn barding,sets of Ul'dahn barding,Ul'dahn Barding,0,0,0,1,0,0,131080,131080,131080,58522,58523,58524,3,11
12,set of Ul'dahn crested barding,sets of Ul'dahn crested barding,Ul'dahn Crested Barding,0,0,0,1,0,0,196616,196616,196616,58525,58526,58527,3,12
13,set of paladin barding,sets of paladin barding,Paladin Barding,0,0,0,1,0,0,65546,65546,65546,58528,58529,58530,0,13
14,set of dragoon barding,sets of dragoon barding,Dragoon Barding,0,0,0,1,0,0,65547,65547,65547,58531,58532,58533,0,14
15,set of white mage barding,sets of white mage barding,White Mage Barding,0,0,0,1,0,0,65549,65549,65549,58534,58535,58536,0,15
16,set of Sleipnir barding,sets of Sleipnir barding,Sleipnir Barding,0,0,0,1,0,0,65550,65550,65550,58537,58538,58539,0,171
17,set of behemoth barding,sets of behemoth barding,Behemoth Barding,0,0,0,1,0,0,65551,65551,65551,58540,58541,58542,0,172
18,flyer shaffron,flyer shaffrons,Flyer Shaffron,0,0,0,1,0,0,65555,0,0,58543,0,0,0,51
19,set of black mage barding,sets of black mage barding,Black Mage Barding,0,0,0,1,0,0,65548,65548,65548,58546,58547,58548,0,21
20,set of sovereign barding,sets of sovereign barding,Sovereign Barding,0,0,0,1,0,0,65553,0,0,58561,0,0,0,52
21,set of Starlight barding,sets of Starlight barding,Starlight Barding,0,0,0,1,0,0,65540,65540,65540,58564,58565,58566,0,101
22,set of tidal barding,sets of tidal barding,Tidal Barding,0,0,0,1,0,0,65556,65556,65556,58567,58568,58569,0,125
23,set of Barding of Light,sets of Barding of Light,Barding of Light,0,0,0,1,0,0,65557,65557,65557,58570,58571,58572,0,41
24,set of egg barding,sets of egg barding,Egg Barding,0,0,0,1,0,0,65558,0,0,58573,0,0,0,102
25,set of Levin barding,sets of Levin barding,Levin Barding,0,0,0,1,0,0,65560,65560,65560,58576,58577,58578,0,126
26,set of plumed barding,sets of plumed barding,Plumed Barding,0,0,0,1,0,0,65559,0,0,58579,0,0,0,53
27,set of eerie barding,sets of eerie barding,Eerie Barding,0,0,0,1,0,0,65561,65561,65561,58582,58583,58584,0,103
28,set of ice barding,sets of ice barding,Ice Barding,0,0,0,1,0,0,65562,65562,65562,58585,58586,58587,0,127
29,set of gambler barding,sets of gambler barding,Gambler Barding,0,0,0,1,0,0,65565,65565,65565,58591,58592,58593,0,42
30,set of paramour barding,sets of paramour barding,Paramour Barding,0,0,0,1,0,0,65566,65566,65566,58588,58589,58590,0,104
31,set of Ishgardian half barding,sets of Ishgardian half barding,Ishgardian Half Barding,0,0,0,1,0,0,65567,65567,65567,58594,58595,58596,0,54
32,set of Ishgardian barding,sets of Ishgardian barding,Ishgardian Barding,0,0,0,1,0,0,131103,131103,131103,58597,58598,58599,0,55
33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,set of Expanse barding,sets of Expanse barding,Expanse Barding,0,0,0,1,0,0,65568,65568,65568,58603,58604,58605,0,128
35,set of Hive barding,sets of Hive barding,Hive Barding,0,0,0,1,0,0,65569,65569,65569,58606,58607,58608,0,129
36,set of noble barding,sets of noble barding,Noble Barding,0,0,0,1,0,0,65570,65570,65570,58609,58610,58611,0,57
37,set of Orthodox barding,sets of Orthodox barding,Orthodox Barding,0,0,0,1,0,0,131106,131106,131106,58612,58613,58614,0,58
38,set of highland barding,sets of highland barding,Highland Barding,0,0,0,1,0,0,65571,65571,65571,58615,58616,58617,0,59
39,set of wild rose barding,sets of wild rose barding,Wild Rose Barding,0,0,0,1,0,0,65573,65573,65573,58618,58619,58620,0,43
40,set of round table barding,sets of round table barding,Round Table Barding,0,0,0,1,0,0,65574,65574,65574,58621,58622,58623,0,130
41,set of Sephirotic barding,sets of Sephirotic barding,Sephirotic Barding,0,0,0,1,0,0,65572,65572,65572,58624,58626,58625,0,131
42,set of egg hunter barding,sets of egg hunter barding,Egg Hunter Barding,0,0,0,1,0,0,65575,65575,65575,58627,58629,58628,0,105
43,set of Far Eastern barding,sets of Far Eastern barding,Far Eastern Barding,0,0,0,1,0,0,65577,65577,65577,58630,58632,58631,0,60
44,set of race barding,sets of race barding,Race Barding,0,0,0,1,0,0,65579,65579,65579,58633,58635,58634,0,61
45,set of Horde barding,sets of Horde barding,Horde Barding,0,0,0,1,0,0,65578,65578,65578,58636,58638,58637,0,132
46,set of butlery barding,sets of butlery barding,Butlery Barding,0,0,0,1,0,0,65580,65580,65580,58639,58641,58640,0,62
47,set of Sophic barding,sets of Sophic barding,Sophic Barding,0,0,0,1,0,0,65576,65576,65576,58642,58644,58643,0,133
48,set of abigail barding,sets of abigail barding,Abigail Barding,0,0,0,1,0,0,65581,65581,65581,58645,58647,58646,0,63
49,set of Mandervillian barding,sets of Mandervillian barding,Mandervillian Barding,0,0,0,1,0,0,131117,131117,131117,58648,58650,58649,0,64
50,set of angelic barding,sets of angelic barding,Angelic Barding,0,0,0,1,0,0,65583,65583,65583,58651,58653,58652,0,65
51,set of demonic barding,sets of demonic barding,Demonic Barding,0,0,0,1,0,0,65584,65584,65584,58654,58656,58655,0,66
52,set of Zurvanite barding,sets of Zurvanite barding,Zurvanite Barding,0,0,0,1,0,0,65582,65582,65582,58657,58659,58658,0,134
53,set of reveler's barding,sets of reveler's barding,Reveler's Barding,0,0,0,1,0,0,65585,65585,65585,58660,58662,58661,0,135
54,set of Ala Mhigan barding,sets of Ala Mhigan barding,Ala Mhigan Barding,0,0,0,1,0,0,65586,65586,65586,58663,58665,58664,0,67
55,set of blissful barding,sets of blissful barding,Blissful Barding,0,0,0,1,0,0,65587,65587,65587,58666,58668,58667,0,136
56,set of Hingan barding,sets of Hingan barding,Hingan Barding,0,0,0,1,0,0,65588,65588,65588,58669,58671,58670,0,68
57,set of Oriental barding,sets of Oriental barding,Oriental Barding,0,0,0,1,0,0,131124,131124,131124,58672,58674,58673,0,69
58,set of Nezha barding,sets of Nezha barding,Nezha Barding,0,0,0,1,0,0,65589,65589,65589,58675,58677,58676,0,70
59,set of Shinryu barding,sets of Shinryu barding,Shinryu Barding,0,0,0,1,0,0,65590,65590,65590,58678,58680,58679,0,137
60,set of Ixion barding,sets of Ixion barding,Ixion Barding,0,0,0,1,0,0,65591,65591,65591,58681,58683,58682,0,173
61,set of red mage barding,sets of red mage barding,Red Mage Barding,0,0,0,1,0,0,65592,65592,65592,58684,58686,58685,0,22
62,set of Byakko barding,sets of Byakko barding,Byakko Barding,0,0,0,1,0,0,65593,65593,65593,58687,58689,58688,0,138
63,chocobo raincoat,chocobo raincoats,Chocobo Raincoat,0,0,0,1,0,0,65594,65594,65594,58690,58692,58691,0,71
64,set of lunar barding,sets of lunar barding,Lunar Barding,0,0,0,1,0,0,65595,65595,65595,58693,58695,58694,0,139
65,set of Suzaku barding,sets of Suzaku barding,Suzaku Barding,0,0,0,1,0,0,65596,65596,65596,58696,58698,58697,0,140
66,set of samurai barding,sets of samurai barding,Samurai Barding,0,0,0,1,0,0,65597,65597,65597,58699,58701,58700,0,23
67,set of Seiryu barding,sets of Seiryu barding,Seiryu Barding,0,0,0,1,0,0,65598,65598,65598,58702,58704,58703,0,141
68,set of Yojimbo barding,sets of Yojimbo barding,Yojimbo Barding,0,0,0,1,0,0,65599,65599,65599,58705,58707,58706,0,174
69,set of Titania barding,sets of Titania barding,Titania Barding,0,0,0,1,0,0,65600,65600,65600,58708,58710,58709,0,142
70,set of Innocence barding,sets of Innocence barding,Innocence Barding,0,0,0,1,0,0,65601,65601,65601,58711,58713,58712,0,143
71,set of dancer barding,sets of dancer barding,Dancer Barding,0,0,0,1,0,0,65602,65602,65602,58714,58716,58715,0,24
72,set of deepshadow barding,sets of deepshadow barding,Deepshadow Barding,0,0,0,1,0,0,65603,65603,65603,58717,58719,58718,0,72
73,set of Hades barding,sets of Hades barding,Hades Barding,0,0,0,1,0,0,65604,65604,65604,58720,58722,58721,0,144
74,set of saintly barding,sets of saintly barding,Saintly Barding,0,0,0,1,0,0,65605,65605,65605,58723,58725,58724,0,106
75,set of Ruby barding,sets of Ruby barding,Ruby Barding,0,0,0,1,0,0,65606,65606,65606,58726,58728,58727,0,145
76,set of machinist barding,sets of machinist barding,Machinist Barding,0,0,0,1,0,0,65607,65607,65607,58729,58731,58730,0,25
77,set of True Barding of Light,sets of True Barding of Light,True Barding of Light,0,0,0,1,0,0,65608,65608,65608,58732,58734,58733,0,146
