#,Name,Abilities[0],Abilities[1],Abilities[2],Abilities[3],AutoAction,SmallScalePercentage,MediumScalePercentage,LargeScalePercentage,AllowedPetMirage[0],AllowedPetMirage[1],AllowedPetMirage[2],AllowedPetMirage[3],AllowedPetMirage[4],AllowedPetMirage[5],Unknown18,Unknown14,AutoDespawn,NonCombatSummon,ShowPetActionBar
0,,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
1,Emerald Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
2,Topaz Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
3,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,0,False,True,True
4,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,1,False,True,True
5,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,2,False,True,True
6,Eos,803,805,7438,16544,802,100,100,100,1,2,3,4,8,0,0,-1,False,True,True
7,Selene,803,805,7438,16544,0,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
8,Rook Autoturret,0,0,7416,0,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
9,Bishop Autoturret,0,0,7417,0,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
10,Demi-Bahamut,7428,0,7449,0,0,10,20,30,0,0,0,0,0,0,0,-1,False,False,True
11,,0,0,7440,7441,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
12,Demi-Bahamut,29676,0,29677,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
13,,0,0,17801,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
14,Demi-Phoenix,16519,0,16518,0,0,33,66,100,0,0,0,0,0,0,0,-1,False,False,True
15,Seraph,16550,16551,16547,0,16548,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
16,Moonstone Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
17,Esteem,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
18,Automaton Queen,0,0,16503,25787,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
19,Bunshin,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
20,Demi-Phoenix,29681,0,29682,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
21,Seraph,29240,0,29241,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
22,Bunshin,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
23,Carbuncle,25841,25842,0,0,0,100,100,100,1,2,3,5,6,7,0,-1,False,True,True
24,Ruby Carbuncle,0,0,25843,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,True
25,Topaz Carbuncle,0,0,25844,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,True
26,Emerald Carbuncle,0,0,25845,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,True
27,Ifrit-Egi,0,0,25846,25849,0,100,100,100,1,2,3,4,0,0,0,-1,False,False,True
28,Titan-Egi,0,0,25847,25850,0,100,100,100,1,2,3,4,0,0,0,-1,False,False,True
29,Garuda-Egi,0,0,25848,25851,0,100,100,100,1,2,3,4,0,0,0,-1,False,False,True
30,Ruby Ifrit,0,0,25852,0,0,25,50,75,0,0,0,0,0,0,0,-1,False,False,True
31,Topaz Titan,0,0,25853,0,0,33,66,100,0,0,0,0,0,0,0,-1,False,False,True
32,Emerald Garuda,0,0,25854,0,0,33,66,100,0,0,0,0,0,0,0,-1,False,False,True
33,,0,0,25863,25864,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
34,Amber Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
35,Bishop Autoturret,29413,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
36,Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
37,Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
38,Ruby Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
39,Ruby Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
40,Obsidian Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
