#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
0,,,,0,0,0,0
1,,,,150011,0,0,0
2,,,,150012,0,0,0
3,,,,0,0,0,0
4,,,,0,0,0,0
5,Non-player characters (NPCs) offering quests can be recognized by the **exclamation marks** above their heads. Right-click the mark to bring up the quest window.,Non-player characters (NPCs) offering quests can be recognized by the **exclamation marks** above their heads. Right-click the mark to bring up the quest window.,Non-player characters (NPCs) offering quests can be recognized by the **exclamation marks** above their heads. Right-click the mark to bring up the quest window.,150021,1,1,1
6,"Non-player characters (NPCs) offering quests can be recognized by the **exclamation marks** above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the **confirm** button.","Non-player characters (NPCs) offering quests can be recognized by the **exclamation marks** above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the **confirm** button.","Non-player characters (NPCs) offering quests can be recognized by the **exclamation marks** above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the **confirm** button.",150022,1,1,1
7,,,,0,0,0,0
8,,,,0,0,0,0
9,,,,0,0,0,0
10,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Click on the **Accept** button in the lower left to add the quest to your list of current duties.",,,150121,1,1,0
11,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Press the **Accept** button in the lower left to add the quest to your list of current duties.",,,150121,1,1,0
12,,,,0,0,0,0
13,,,,0,0,0,0
14,,,,0,0,0,0
15,"Complete a quest by right-clicking the NPC with a **check mark** displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a **check mark** displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a **check mark** displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.",150811,1,1,1
16,"Complete a quest by speaking to the NPC with a **check mark** displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a **check mark** displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a **check mark** displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.",150812,1,1,1
17,,,,0,0,0,0
18,,,,0,0,0,0
19,,,,0,0,0,0
20,"The **main menu** grants quick and easy access to most of the game's main features. For example, selecting Character under **Character** opens a window containing your character's various attributes and currently equipped gear. Selecting Journal under **Duty** displays a list of current and completed quests and levequests.",,,150141,1,0,0
21,"If you wish to customize the game's various settings, including **key binding**, **HUD layout**, and **system configuration**, they all can be accessed via **System**.

Select **Active Help** to redisplay these tutorial messages.",,,150142,1,0,0
22,"Game progress is saved automatically, so there are no in-game save or load functions. However, to prevent data from being lost or corrupted, it is strongly recommended that you end each playing session by selecting **Log Out** or **Exit Game** from the System menu.",,,150143,1,0,0
23,,,,0,0,0,0
24,,,,0,0,0,0
25,The spell **Return** can be used to instantly travel back to the aetheryte set as your **home point**. Casting the spell does not require any **MP** and can be accessed by selecting Return under **Travel** from the **main menu**. The sole limitation of the spell is that it can only be cast once every **15 minutes** (Earth time).,,,150131,1,0,0
26,"Only one home point may be set at any time. To make an aetheryte your new home point, right-click on the crystal to bring up the aetheryte menu.",,,150132,1,0,0
27,The spell **Return** can be used to instantly travel back to the aetheryte set as your **home point**. Casting the spell does not require any **MP** and can be accessed by selecting **Return** under **Travel** from the **main menu**. The sole limitation of the spell is that it can only be cast once every **15 minutes** (Earth time).,,,150131,1,0,0
28,"Only one home point may be set at any time. To make an aetheryte your new home point, target and select the crystal to bring up the aetheryte menu.",,,150133,1,0,0
29,,,,0,0,0,0
30,"Pressing **M** on your keyboard, selecting the minimap, or selecting **Map** under **Travel** from the **main menu** in the lower right-hand corner of your screen will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.",,,150041,1,1,0
31,The location of quest objectives can also be confirmed by clicking on the objective in the **duty list**. ,,,150042,1,1,0
32,"Selecting **Map** from under **Travel** in the **main menu** or pressing  on the controller will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.",,,150041,1,1,0
33,The location of quest objectives can also be confirmed by selecting the objective in the **duty list**. ,,,150042,1,1,0
34,,,,0,0,0,0
35,"You can view, equip, and remove gear by either selecting Character under **Character** from the **main menu**, or by pressing **C** on your keyboard.",,,150181,1,0,0
36,"To equip an item, first select the desired slot. This will open your **Armoury Chest**, from which you can select the item you wish to equip. Finally, from the subcommand menu, select **Equip** to put on the gear.",,,150182,1,0,0
37,"You can view, equip, and remove gear by selecting Character under **Character** from the **main menu**.",,,150181,1,0,0
38,,,,0,0,0,0
39,,,,0,0,0,0
40,"The **moogle delivery service** can be accessed by speaking with one of the many **delivery moogles** stationed throughout Eorzea, or by clicking on a **moogle letter box**. The service can be used to send messages, items, and gil to anyone on your **friend list**.",,,150221,1,0,0
41,"Clicking the **New** button located in the upper right-hand corner of the moogle delivery service window will open the **Letter Editor**. In addition to composing your message, this interface can be used to specify a recipient, as well as attach **gil** and **items**.",,,150222,1,0,0
42,"Pressing the **New** button located in the upper right-hand corner of the moogle delivery service window will open the **Letter Editor**. In addition to composing your message, this interface can be used to specify a recipient, as well as attach **gil** and **items**.",,,150222,1,0,0
43,,,,0,0,0,0
44,,,,0,0,0,0
45,Attuning with the shard has granted you access to this city–state's **Aethernet**. The Aethernet can be used for quick intra-city travel.,,,150191,1,0,0
46,,,,0,0,0,0
47,,,,0,0,0,0
48,,,,0,0,0,0
49,,,,0,0,0,0
50,"By learning the spell **Teleport**, you are now able to travel instantly between aetherytes to which you are attuned. Access the teleportation menu by selecting Teleport under **Travel** from the **main menu**.",,,150151,1,0,0
51,"Unlike other spells, Teleport does not require MP to cast, and instead uses a type of naturally regenerating spiritual energy. A small fee of gil, however, must be paid to the keepers of the aetheryte so that they can maintain the crystals and defend them from those who would see them destroyed. The fee varies depending on travel distance and remoteness of aetheryte location.",,,150152,1,0,0
52,Registering an aetheryte as a **favored destination** will reduce the amount of gil required to travel there. Up to three favored destinations can be registered at any one time.,,,150153,1,0,0
53,,,,0,0,0,0
54,,,,0,0,0,0
55,,,,0,0,0,0
56,,,,0,0,0,0
57,,,,0,0,0,0
58,,,,0,0,0,0
59,,,,0,0,0,0
60,"Upon accepting a quest, the current objectives will appear under the quest title in the **duty list** on the right side of the screen. A maximum of five quests can be displayed at once.",,,150031,1,1,0
61,"Clicking on the title will open the quest in your **journal**, allowing you to review objectives and rewards.",,,150032,1,1,0
