#,Name,Description,Icon,MKDSupportJob,LevelUnlock
0,,,-1,0,0
1,Enhanced Phantom Guard,Improves **Phantom Guard**'s damage reduction effect to 90%.,82201,1,4
2,Enhanced Pray,"Increases the healing potency of **Pray** to 5,000.",82202,1,5
3,Enhanced Rage,"Grants the effect of **Pent-up Rage**, increasing the potency of **Deadly Blow** based on the amount of damage you have taken while the effect is active.
**Duration: **15s",82203,2,3
4,Enhanced Phantom Kick,Improves **Phantom Kick**'s damage increase to 7%.,82204,3,4
5,Enhanced Phantom Kick II,Improves **Phantom Kick**'s damage increase to 9%.,82205,3,6
6,Enhanced Phantom Aim,"Improves **Phantom Aim**'s critical hit rate and direct hit rate increase to 30%, and guarantees all attacks land.",82206,4,3
7,Enhanced Phantom Aim II,"Improves **Phantom Aim**'s critical hit rate and direct hit rate increase to 50%, and guarantees all attacks land.",82207,4,5
8,Enhanced Iainuki,"Increases the potency of **Iainuki** to 500, and increases chance to instantly kill target to 10%.",82208,5,5
9,Enhanced Vocals,Increases the effectiveness of songs in accordance with your Phantom Bard level.,82209,6,2
10,Lockpicker,Allows you to open locked doors in dungeons.,82212,12,6
11,Enhanced Phantom Fire,"Grants a 5% chance to instantly kill targets when executing **Phantom Fire**, with some exceptions.",82211,9,5
12,Enhanced Bell,"Increases the effectiveness of **Battle Bell** to 5%, and increases the healing potency of **Ringing Respite** to 3,000.",82210,7,5
13,First Strike,"Grants **First Strike** when entering combat.
**First Strike Effect: **Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are reduced
**Duration: **25s",82213,16,5
14,Enhanced Occult Jump,"Increases potency of **Occult Jump** to 500, and increases potency of reduced damage taken effect to 90%.",82214,19,4
15,Occult Learning I,"**Occult Missile** and **Occult Aqua Breath** are now learnable actions.
**Missile Effect: **Delivers an attack with a 35% chance to deal damage equal to 75% of target's current HP, with some exceptions
**Occult Aqua Breath Effect: **Deals unaspected damage to target and all enemies nearby it",82215,21,1
16,Occult Learning II,"**Occult Aero II** and **Occult Mighty Guard** are now learnable actions.
**Occult Aero II Effect: **Deals wind damage to target
**Occult Mighty Guard Effect: **Reduces damage taken by self and nearby party members by 20%",82216,21,2
17,Occult Learning III,"**Occult White Wind** is now a learnable action.
**Occult White Wind Effect: **Restores own HP and the HP of all nearby party members by an amount equal to your current HP
If **Occult Aero II** has already been learned, **Occult Aero III** can also be learned.
**Occult Aero III Effect: **Deals wind damage to target and all enemies nearby it",82217,21,3
18,Dualcast,"Grants the effect of **Dualcast** upon casting any spell with a cast time. While under the effect of **Dualcast**, your next spell will require no time to cast. Effect is canceled upon execution of any action other than an ability. Auto-attacks do not cancel effect.
**Duration: **15s",82218,22,6
19,Adaptable,"Allows the changing of phantom jobs when normally prohibited, as well as during combat.",82219,0,24
