#,DefaultTalkParams[0].ActionTimelinePose,DefaultTalkParams[0].Unknown0,DefaultTalkParams[0].Unknown1,DefaultTalkParams[0].Unknown2,DefaultTalkParams[0].Unknown3,DefaultTalkParams[0].Unknown4,DefaultTalkParams[1].ActionTimelinePose,DefaultTalkParams[1].Unknown0,DefaultTalkParams[1].Unknown1,DefaultTalkParams[1].Unknown2,DefaultTalkParams[1].Unknown3,DefaultTalkParams[1].Unknown4,DefaultTalkParams[2].ActionTimelinePose,DefaultTalkParams[2].Unknown0,DefaultTalkParams[2].Unknown1,DefaultTalkParams[2].Unknown2,DefaultTalkParams[2].Unknown3,DefaultTalkParams[2].Unknown4,Text[0],Text[1],Text[2],Unknown0,Unknown1
589824,799,0,1,1,3,False,796,0,0,1,4,False,854,0,0,1,5,False,"Emphatic talk shape, conversation motion.","Document talk shape, looped behavior gestures.","Eerie talk shape, looped angry gestures.",0,1
589825,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589826,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Y!,R!,P!,0,1
589827,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Ahhh, that was grrreat! <burp>","I tell ye, ain't no place what serves tastier meals than here!",0,0,1
589828,755,0,2,1,0,True,755,0,2,1,0,True,0,0,0,1,0,False,Basic stance and standing reaction test. (Handing over item.),Shifting to “behavior reaction greeting.”,0,0,1
589829,755,0,2,1,0,True,755,0,2,1,0,True,0,0,0,1,0,False,Basic stance and standing reaction test. (Receiving item.),Shifting to “behavior reaction thinking.”,0,0,1
589830,755,0,2,1,0,True,763,0,2,1,0,True,0,0,0,1,0,False,Basic stance and standing reaction test. (Conversation item.),Shifting to “behavior reaction anger.”,0,0,1
589831,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Basic stance and standing reaction test.
Normal seated → normal stance → standing reaction.",0,0,0,1
589832,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Basic stance and standing reaction test.
Flashy stance → normal stance → standing reaction.",0,0,0,1
589833,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Basic stance and standing reaction test.
Flashy seated → normal seated → normal stance → standing reaction.",0,0,0,1
589834,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Basic stance and standing reaction test.
Unique → normal stance → standing reaction.",0,0,0,1
589835,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,I can see the sky! Wonderful!,0,0,0,1
589836,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"As you can see, I am a minstrel.",Mayhap I can play for you a sweet lullaby?,0,0,1
589837,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"I am a giver of quests, nothing more and nothing less.",0,0,0,1
589838,784,0,1,1,0,False,809,0,2,1,0,False,786,0,2,1,0,False,"Page break test, here we go! Page ONE!",Page TWO!,Page THREE!,0,1
589839,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Line break test, are you ready!?
Bam! It is done!",0,0,0,1
589840,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Hey, did you know? There's a place in Meguro where you can gorge yourself on meat of unrivaled epicness.",0,0,0,1
589841,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Just testing some default talk. Nothing to see here.,0,0,0,1
589842,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,I'm testing some default talk! Don't bother me!,0,0,0,1
589843,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,It is a default talk test.,0,0,0,1
589844,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"I don't believe I've seen your face before. New to Gridania, I take it?",Then you're required to register at the Carline Canopy. Don't let me catch you strolling about until you've done so.,0,0,1
589845,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Make yourself known at the Carline Canopy, where the local Adventurers' Guild is headquartered. Speak to Mother Miounne within, and she will take you in hand.","So long as you are within Gridanian territory, you must abide by Gridanian laws. Go now, and do as I have instructed.",0,0,1
589846,755,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Yer one o' them adventurers, ain't ye? Gridania fair swarms with outsiders o' late. Can't walk ten bloody yalms without bumpin' into one o' ye.","Don't be takin' this the wrong way─we appreciate the hard work ye do, an' all─but 'tis hard to be at ease when scores o' strangers walk through yer home every day.",0,0,1
589847,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"It is by the blessing of the elementals that we Gridanians dwell in the Twelveswood. As you go about your business, be ever mindful of their presence and respectful of their will.",0,0,0,1
589848,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,It is by the blessing of the elementals that we Gridanians dwell in the Twelveswood.,See to it that you do naught which brings our people to grief.,0,0,1
589849,755,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"I don't understand these Gridanians. They make a great show of doubting us adventurers, yet place their trust in beings they can't even see. Where is the reason in that, I ask you?",0,0,0,1
589850,755,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"I heard that the elementals show themselves when enraged. Call me reckless, but I'd *love* to see one in the flesh...or whatever the hells it is they're made of.",0,0,0,1
589851,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Welcome to the Carline Canopy, a place of respite for adventurers like yourself.","As you may imagine, the Twelveswood has scarcely begun to recover from the devastation wrought by the Calamity, and Gridania wants for all the help it can get. I hope we can count on yours.","Though I will not deny there are those among us who view outsiders with suspicion, if you play your part, they will come to see that adventurers are the very salve our nation so sorely needs.",0,1
589852,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589853,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589854,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589855,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"You stand before the Adders' Nest, the headquarters of the Order of the Twin Adder, Gridania's own Grand Company. It is here that our nation draws together its military, economic, and technological resources that we may bring their combined might to bear against our foes.",0,0,0,1
589856,755,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589857,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589858,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Though our trials and tribulations be endless, never must we allow ourselves to become lost to hope.","For as the Elder Seedseer teaches, ever do the elementals watch over us. So long as we trust to them and each do our part, all shall be well.",0,0,1
589859,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589860,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,I was told playing with the younglings would make me a better carpenter. I...I don't think it's working.,0,0,0,1
589861,0,0,2,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,1
589862,0,0,0,0,0,False,757,0,0,1,0,False,0,0,0,0,0,False,...,Mummy told me to wait here until she gets back.,0,0,1
