#,Unknown0,Unknown1,Unknown2
0,Willing Sacrifice I,Clear the board with 3 incapacitated familiars.,True
1,Willing Sacrifice II,Clear the board with 2 incapacitated familiars.,True
2,Willing Sacrifice III,Clear the board with 1 incapacitated familiar.,True
3,No Beast Left Behind,Clear the board with no incapacitated familiars.,True
4,Beast Squad I,Clear the board with a team of 6 or 7 familiars.,True
5,Beast Squad II,Clear the board with a team of 4 or 5 familiars.,True
6,Beast Squad III,Clear the board with a team of 1 to 3 familiars.,True
7,Self-preservation,Clear the board with beastmaster HP at 100%.,True
8,Selfless,Clear the board with all familiar HP at 100%.,True
9,Infinity and Beyond I,Perform Universality at least 5 times.,False
10,Infinity and Beyond II,Perform Universality at least 10 times.,False
11,Infinity and Beyond III,Perform Universality at least 15 times.,False
12,Unbeastable,Clear the board without being afflicted by Damage Down or Vulnerability Up.,True
13,Nameday Attire,Clear the board without acquiring any beast gear.,True
14,Walking Armory,Clear the board in possession of 10 pieces of beast gear.,True
15,Economic Ethos,Clear the board without using crucible items.,True
16,Habitual Hoarder,Clear the board in possession of 10 crucible items.,True
17,Starve the Fever,Clear the board without feeding any familiars.,True
18,Feed the Bold,Clear the board having fed your familiars at least 20 times.,True
19,Coin Clutcher,Clear the board without spending territory tokens.,True
20,Rolling in Riches,"Clear the board in possession of at least 2,000 territory tokens.",True
21,Sleepless Survival,Clear the board without resting at a campsite.,True
22,Beastkin Gambit,Clear the board with a team of only beastkin.,True
23,Vilekin Gambit,Clear the board with a team of only vilekin.,True
24,Cloudkin Gambit,Clear the board with a team of only cloudkin.,True
25,Seedkin Gambit,Clear the board with a team of only seedkin.,True
26,Wavekin Gambit,Clear the board with a team of only wavekin.,True
27,Scalekin Gambit,Clear the board with a team of only scalekin.,True
28,Soulkin Gambit,Clear the board with a team of only soulkin.,True
29,Ashkin Gambit,Clear the board with a team of only ashkin.,True
30,First Degree,Clear the board under the first degree.,False
31,Second Degree,Clear the board under the second degree.,False
32,Third Degree,Clear the board under the third degree.,False
