#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-785,516,-463,-467,-611,0,0,349,543,434,0,0,3,2,1,0,0
2,420,-908,317,533,331,0,0,-664,-620,-740,0,0,2,1,1,0,0
3,577,-781,525,453,582,0,0,-499,-610,-591,0,0,2,1,1,0,0
4,869,-154,655,727,596,0,0,-264,-105,-528,0,0,2,1,1,0,0
5,25,749,123,200,-4,0,0,532,494,652,0,0,2,3,1,0,0
6,758,375,485,373,517,0,0,439,469,362,0,0,2,2,1,0,0
7,-4,-766,87,-3,-154,0,0,-566,-543,-522,0,0,2,1,1,0,0
8,-448,-674,-322,-165,-289,0,0,-393,-313,-466,0,0,2,3,1,0,0
9,-710,-311,-447,-475,-253,0,0,-310,-204,-330,0,0,1,1,1,0,0
10,-785,516,-566,-454,-490,-342,0,474,444,357,459,0,1,1,2,3,0
11,420,-908,337,561,303,583,0,-748,-610,-640,-557,0,1,1,3,3,0
12,577,-781,453,303,531,255,0,-610,-737,-621,-751,0,1,2,1,1,0
13,869,-154,673,727,670,522,0,-246,-105,-158,-507,0,3,2,1,1,0
14,25,749,-31,117,-1,251,0,659,516,589,549,0,1,2,1,2,0
15,758,375,430,598,517,436,0,375,360,362,459,0,1,1,1,3,0
16,-4,-766,87,-2,-159,-117,0,-566,-543,-477,-545,0,3,1,2,1,0
17,-448,-674,-196,-164,-289,-265,0,-424,-311,-464,-404,0,1,3,2,1,0
18,-710,-311,-474,-449,-333,-254,0,-265,-152,-331,-332,0,1,3,1,2,0
19,-785,516,-620,-476,-466,-333,0,420,350,445,417,0,2,3,2,2,0
20,420,-908,532,457,297,314,0,-622,-616,-733,-649,0,1,1,3,2,0
21,577,-781,544,599,692,529,0,-651,-531,-293,-509,0,1,1,1,2,0
22,869,-154,676,673,605,730,0,-159,-246,-574,-105,0,1,1,2,1,0
23,25,749,-3,138,189,-6,0,591,516,585,655,0,2,3,1,1,0
24,758,375,521,430,435,259,0,355,375,459,513,0,1,1,1,1,0
25,-4,-766,-136,-2,-117,91,0,-641,-540,-546,-563,0,1,1,1,2,0
26,-448,-674,-289,-196,-227,-265,0,-464,-424,-511,-404,0,2,1,2,1,0
27,-710,-311,-475,-448,-333,-355,0,-202,-300,-329,-421,0,2,2,2,1,0
