#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown22[0],Unknown22[1],Unknown22[2],Unknown22[3],Unknown22[4],Unknown22[5],Unknown22[6],Unknown22[7],Unknown22[8],Unknown22[9],Unknown22[10],Unknown22[11],Unknown22[12],Unknown22[13],Unknown22[14],Unknown22[15],Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21
0,2213,9281,0,0,0,0,90,6603,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,0,0,0,0,0,0,0,0,0,False,False,False,True
1,2213,585415,0,0,0,3356,90,6604,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,1,1,0,0,0,0,0,0,0,False,True,False,True
2,2213,657270971,0,0,0,0,90,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,1,1,0,0,0,0,0,0,0,True,False,False,False
3,570426,8617,40307846,0,0,990,90,2840,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,1,2,0,0,0,0,0,0,0,False,True,False,True
4,38519,9430,152487,0,0,2340,90,5380,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,1,1,0,0,0,0,0,0,0,False,True,False,True
5,38519,9430,155619,0,0,0,90,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,1,1,0,0,0,0,0,0,0,True,True,False,False
6,38519,9430,9528,0,0,0,90,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,0,0,0,0,0,0,0,0,0,True,True,False,False
7,2213,38118,0,0,0,0,90,6690,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,2,1,2,0,0,0,0,0,0,False,False,False,True
8,2213,2311538,2291752,0,0,3400,90,6691,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,1,1,0,0,0,0,0,0,0,False,True,False,True
9,2213,2311538,648040,0,0,3401,90,6692,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,1,1,0,0,0,0,0,0,0,False,True,False,True
10,2213,2311538,39230,0,0,3402,90,6693,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,3,1,1,2,0,0,0,0,0,False,True,False,True
11,2213,2311538,40919835,0,0,3407,90,6694,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,0,0,0,0,0,0,0,0,0,False,True,False,True
12,2213,2311538,2270447,0,0,3403,90,6695,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,3,1,1,2,0,0,0,0,0,False,True,False,True
13,2213,2311538,9379,0,0,3404,90,6696,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,3,1,1,1,0,0,0,0,0,False,True,False,True
14,2213,2311538,9649,0,0,3405,90,6697,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,0,0,0,0,0,0,0,0,0,False,True,False,True
15,2213,2311538,9528,0,0,3406,90,6698,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,0,0,0,0,0,0,0,0,0,False,True,False,True
16,10062818,9095638257,0,0,0,0,90,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,0,0,0,0,0,0,0,0,0,True,True,False,False
17,155849350,0,0,0,0,3500,90,314,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,1,1,1,0,0,0,0,0,0,0,False,True,False,True
18,583810695,2134553316,0,0,0,3501,90,1450,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,1,1,0,0,0,0,0,0,0,False,True,False,True
19,583810695,39151,0,0,0,3502,90,1451,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,1,1,0,0,0,0,0,0,0,False,True,False,True
20,583810695,38577677288,0,0,0,3503,90,1452,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,0,0,0,0,0,0,0,0,0,False,True,False,True
21,583810695,145031,0,0,0,0,90,1453,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2,0,0,0,0,0,0,0,0,0,False,False,False,True
22,2387,160508673,648040,0,0,0,90,6940,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,0,0,0,0,0,0,0,0,0,False,False,False,True
23,2387,160508673,9480,0,0,0,90,6941,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,0,0,0,0,0,0,0,0,0,False,False,False,True
24,571188,40124422,8992291,0,0,1190,90,3090,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,3,1,1,1,0,0,0,0,0,False,True,False,True
25,571188,9901993,37539,0,0,0,90,3091,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,3,2,1,1,0,0,0,0,0,0,False,False,False,True
