key,0,1,2,3
#,Name,Description,Icon,FCRank
int32,str,str,Image,FCRank
0,"","",0,0
1,"Company Chest","Unlocks the company chest.",64301,1
2,"Crest Customization","Enables company crest customization.",64302,2
3,"Gear Customization","Enables personal gear to be customized with the company crest.",64303,4
4,"Company Actions","Enables execution of company actions.",64304,5
5,"Chest Expansion","Increases the number of company chest compartments to three.",64305,3
6,"Crest Expansion","Increases the variety of company crest designs.",64306,7
7,"Action Expansion","Increases the maximum number of inactive and active company actions.",64307,8
8,"Land Acquisition","Enables the acquisition of land in residential districts.",64308,6
9,"Chest Expansion","Increases the number of company chest compartments to four.",64305,9
10,"Action Expansion","Increases the maximum number of inactive company actions.",64307,10
11,"Chest Expansion","Increases the number of company chest compartments to five.",64305,11
12,"Action Expansion","Increases the maximum number of inactive company actions.",64307,12
13,"Action Expansion","Increases the maximum number of inactive company actions.",64307,13
