#,Weather[0],Weather[1],Weather[2],Weather[3],Weather[4],Weather[5],Weather[6],Weather[7],Rate[0],Rate[1],Rate[2],Rate[3],Rate[4],Rate[5],Rate[6],Rate[7]
0,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
1,7,7,4,3,2,1,2,0,5,15,10,10,15,30,15,0
2,7,7,4,3,2,1,2,0,5,15,10,10,15,30,15,0
3,9,7,4,3,2,1,2,0,5,15,10,10,15,30,15,0
4,9,7,4,3,2,1,2,0,5,15,10,10,15,30,15,0
5,4,10,9,4,3,2,1,0,5,5,15,5,10,30,30,0
6,4,8,7,4,3,2,1,0,5,5,15,5,10,30,30,0
7,1,2,3,4,7,0,0,0,40,20,25,10,5,0,0,0
8,1,2,3,4,7,0,0,0,40,20,25,10,5,0,0,0
9,1,2,3,4,7,0,0,0,40,20,25,10,5,0,0,0
10,11,1,2,3,4,7,0,0,15,40,20,10,10,5,0,0
11,1,2,3,4,7,8,0,0,40,20,10,10,5,15,0,0
12,14,1,2,3,4,0,0,0,20,40,20,10,10,0,0,0
13,1,2,3,4,0,0,0,0,5,15,30,50,0,0,0,0
14,3,1,2,4,7,0,0,0,20,30,30,10,10,0,0,0
15,3,1,2,4,7,0,0,0,20,30,30,10,10,0,0,0
16,3,1,2,5,4,7,0,0,20,30,20,10,10,10,0,0
17,3,1,2,5,4,7,0,0,20,30,20,10,10,10,0,0
18,4,1,2,3,7,8,0,0,5,45,30,10,5,5,0,0
19,4,1,2,3,5,6,0,0,10,30,20,20,10,10,0,0
20,1,2,3,4,9,10,0,0,30,20,20,10,10,10,0,0
21,16,15,2,1,3,4,0,0,20,40,10,5,15,10,0,0
22,3,4,17,1,2,0,0,0,15,15,30,15,25,0,0,0
23,29,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
24,1,2,3,4,7,0,0,0,30,20,20,15,15,0,0,0
25,26,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
26,28,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
27,15,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
29,3,1,2,4,10,0,0,0,20,30,30,10,10,0,0,0
30,27,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
31,25,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
32,3,1,2,2,4,7,0,0,20,30,20,10,10,10,0,0
33,1,2,3,4,7,0,0,0,40,20,25,10,5,0,0,0
34,3,7,4,3,2,1,2,0,5,15,10,10,15,30,15,0
35,15,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
36,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
37,9,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
38,23,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
39,24,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
40,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
41,11,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
42,16,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
43,22,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
44,36,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
45,20,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
46,35,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
47,15,2,1,3,4,0,0,0,60,10,5,15,10,0,0,0
48,15,2,1,3,4,0,0,0,60,10,5,15,10,0,0,0
49,16,15,2,1,3,4,0,0,20,40,10,5,15,10,0,0
50,3,4,9,11,1,2,0,0,10,10,10,10,30,30,0,0
51,3,4,7,8,1,2,0,0,10,10,10,10,30,30,0,0
52,3,6,50,1,2,0,0,0,10,10,20,30,30,0,0,0
53,1,2,3,4,5,49,0,0,30,30,10,10,10,10,0,0
54,2,3,9,0,0,0,0,0,35,35,30,0,0,0,0,0
55,3,4,7,8,1,2,0,0,10,10,10,10,30,30,0,0
56,44,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
57,51,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
58,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
59,4,7,2,0,0,0,0,0,15,25,60,0,0,0,0,0
60,2,4,5,49,54,0,0,0,40,35,20,4,1,0,0,0
61,2,4,5,49,54,0,0,0,40,20,35,4,1,0,0,0
62,2,4,5,49,54,0,0,0,40,25,25,8,2,0,0,0
63,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
64,2,7,0,0,0,0,0,0,60,40,0,0,0,0,0,0
65,2,7,0,0,0,0,0,0,50,50,0,0,0,0,0,0
66,60,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
67,2,15,16,4,0,0,0,0,35,30,20,15,0,0,0,0
68,14,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
69,69,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
70,54,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
71,2,4,5,49,0,0,0,0,30,30,30,10,0,0,0,0
72,2,7,0,0,0,0,0,0,65,35,0,0,0,0,0,0
73,2,7,0,0,0,0,0,0,65,35,0,0,0,0,0,0
74,17,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
75,74,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
76,84,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
77,80,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
78,1,2,3,4,9,0,0,0,15,45,20,10,10,0,0,0
79,1,2,3,4,9,0,0,0,15,45,20,10,10,0,0,0
80,1,2,3,4,5,11,0,0,10,50,15,10,10,5,0,0
81,1,2,3,4,10,0,0,0,20,40,20,10,10,0,0,0
82,7,4,3,2,1,0,0,0,10,10,20,40,20,0,0,0
83,9,5,3,2,1,0,0,0,10,10,15,40,25,0,0,0
84,8,7,4,3,2,1,0,0,5,10,10,15,40,20,0,0
85,6,5,7,4,3,2,1,0,5,5,7,8,10,40,25,0
86,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
87,82,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
88,79,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
89,88,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
90,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
91,2,6,8,15,0,0,0,0,30,30,30,10,0,0,0,0
92,77,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
93,92,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
94,2,4,14,15,9,16,0,0,10,18,18,18,18,18,0,0
95,101,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
96,2,14,9,16,49,15,0,0,10,18,18,18,18,18,0,0
97,12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
98,102,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
99,113,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
100,2,8,17,10,15,0,0,0,12,22,22,22,22,0,0,0
101,119,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
102,118,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
103,122,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
104,125,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
105,120,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
106,1,2,3,4,7,10,0,0,20,40,15,10,10,5,0,0
107,6,7,4,3,2,1,0,0,10,10,10,15,40,15,0,0
108,2,3,11,14,1,0,0,0,45,15,10,10,20,0,0,0
109,7,4,3,10,1,2,0,0,10,10,15,10,15,40,0,0
110,4,7,49,1,2,3,0,0,10,10,10,15,40,15,0,0
111,3,2,1,0,0,0,0,0,20,60,20,0,0,0,0,0
112,1,2,3,4,7,10,0,0,20,40,15,10,10,5,0,0
113,6,7,4,3,2,1,0,0,10,10,10,15,40,15,0,0
114,105,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
115,10,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
116,127,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
117,2,5,7,6,4,0,0,0,50,30,10,5,5,0,0,0
118,1,2,0,0,0,0,0,0,50,50,0,0,0,0,0,0
119,2,3,4,7,8,0,0,0,45,18,17,15,5,0,0,0
120,2,3,4,5,6,0,0,0,40,15,15,25,5,0,0,0
121,2,3,4,15,16,0,0,0,35,15,15,20,15,0,0,0
122,2,3,4,11,14,0,0,0,82,5,5,5,3,0,0,0
123,138,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
124,2,7,5,9,11,0,0,0,52,12,12,12,12,0,0,0
125,137,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
126,147,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
127,2,3,4,9,10,0,0,0,50,15,15,15,5,0,0,0
128,2,3,4,7,8,0,0,0,40,18,17,18,7,0,0,0
129,2,3,4,9,10,0,0,0,44,15,14,20,7,0,0,0
130,2,7,5,9,15,0,0,0,60,10,10,10,10,0,0,0
131,1,2,3,7,0,0,0,0,15,45,25,15,0,0,0,0
132,4,7,8,1,2,3,0,0,10,10,5,15,40,20,0,0
133,15,9,7,4,3,2,1,0,45,5,5,5,25,10,5,0
134,3,49,2,1,0,0,0,0,25,15,45,15,0,0,0,0
135,49,148,2,0,0,0,0,0,15,15,70,0,0,0,0,0
136,149,2,49,0,0,0,0,0,15,70,15,0,0,0,0,0
137,1,2,3,4,15,0,0,0,10,40,20,15,15,0,0,0
138,4,7,1,2,3,0,0,0,10,15,15,40,20,0,0,0
139,151,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
140,156,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
141,150,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
142,15,2,1,3,4,0,0,0,5,20,40,15,10,0,0,0
143,160,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
144,161,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
145,157,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
146,128,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
147,162,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
148,1,2,3,7,4,8,0,0,25,45,10,10,5,5,0,0
149,171,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
150,77,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
151,2,3,4,7,10,0,0,0,50,15,15,15,5,0,0,0
152,2,3,4,7,8,0,0,0,50,15,15,15,5,0,0,0
153,2,3,4,5,9,0,0,0,40,15,15,20,10,0,0,0
154,2,3,4,7,8,0,0,0,50,15,15,15,5,0,0,0
155,179,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
156,10,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
157,183,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
158,181,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
159,1,2,3,4,7,0,0,0,40,40,5,10,5,0,0,0
160,1,2,3,4,5,15,0,0,20,30,20,10,10,10,0,0
161,1,2,3,4,7,8,0,0,25,35,15,10,10,5,0,0
162,1,2,3,4,7,0,0,0,15,40,15,15,15,0,0,0
163,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
164,1,2,3,11,6,0,0,0,5,45,20,15,15,0,0,0
165,2,3,4,7,10,50,0,0,5,20,15,5,5,50,0,0
166,7,4,3,2,0,0,0,0,10,10,20,60,0,0,0,0
167,193,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
168,1,2,3,7,190,191,0,0,10,45,15,10,15,5,0,0
169,148,2,49,0,0,0,0,0,15,70,15,0,0,0,0,0
170,198,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
171,2,3,7,0,0,0,0,0,60,20,20,0,0,0,0,0
172,3,2,1,0,0,0,0,0,20,60,20,0,0,0,0,0
