key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
#,,,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,single,uint16,str,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16
0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,409,"Emerald Carbuncle",25841,25842,25846,25849,25847,25850,25848,25851,802,803,805,7438,16544,0,0,8,8,10,8,10,8,10,8,0,0,0,0,0,0,0,7191,3230,3221,3224,3210,3214,3217,3219,8585,8586,8587,8589,8588,0,0,0,3270,0,3264,0,3254,3257,3259,1875,5216,7140,1875,7138,0,0
2,1,412,"Topaz Carbuncle",25841,25842,25846,25849,25847,25850,25848,25851,802,803,805,7438,16544,0,0,8,8,10,8,10,8,10,8,0,0,0,0,0,0,0,7191,3230,3221,3224,3210,3214,3217,3219,8585,8586,8587,8589,8588,0,0,0,3270,0,3264,0,3254,3257,3259,1875,5216,7140,1875,7138,0,0
3,1,410,"Ruby Carbuncle",25841,25842,25846,25849,25847,25850,25848,25851,802,803,805,7438,16544,0,0,8,8,10,8,10,8,10,8,0,0,0,0,0,0,0,7191,3230,3221,3224,3210,3214,3217,3219,8585,8586,8587,8589,8588,0,0,0,3270,0,3264,0,3254,3257,3259,1875,5216,7140,1875,7138,0,0
4,1,411,"Carbuncle",25846,25849,25847,25850,25848,25851,802,803,805,7438,16544,0,0,0,0,10,8,10,8,10,8,0,0,0,0,0,0,0,0,0,3221,3224,3210,3214,3217,3219,8585,8586,8587,8589,8588,0,0,0,0,0,3264,0,3254,3257,3259,1875,5216,7140,1875,7138,0,0,0,0
5,0.4,415,"Ifrit-Egi",25841,25842,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8423,8424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.35,416,"Titan-Egi",25841,25842,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8425,8426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4,417,"Garuda-Egi",25841,25842,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8427,8428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,408,"Selene",802,803,805,7438,16544,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,1666,12778,1669,5259,12779,0,0,0,0,0,0,0,0,0,0,1875,5216,7140,1875,7138,0,0,0,0,0,0,0,0,0,0
