#,Type,Data,Unknown2,Icon,Unknown0,Text,ContentCategory
0,0,0,0,0,0,0,0
1,5,49,1,113001,0,1,3
2,1,50,0,113002,0,2,3
3,2,59,51,113003,0,3,3
4,1,60,0,113004,0,4,3
5,0,30001,0,113005,0,0,0
6,0,30011,0,113006,0,0,0
7,0,30020,0,113007,0,0,0
8,0,30029,0,113008,0,0,0
9,0,30021,0,113010,0,0,0
10,0,30022,0,113011,0,0,0
11,0,30023,0,113012,0,0,0
12,0,30024,0,113013,0,0,0
13,0,20010,0,113018,0,0,0
14,0,20009,0,113019,0,0,0
15,0,20008,0,113020,0,0,0
16,0,20012,0,113021,0,0,0
17,0,20018,0,113022,0,0,0
18,0,20023,0,113023,0,0,0
19,0,20025,0,113024,0,0,0
20,0,20013,0,113025,0,0,0
21,0,20027,0,113026,0,0,0
22,0,20034,0,113027,0,0,0
23,0,20032,0,113028,0,0,0
24,0,30002,0,113032,0,0,0
25,0,30003,0,113033,0,0,0
26,0,30004,0,113034,0,0,0
27,0,30005,0,113035,0,0,0
28,0,30006,0,113036,0,0,0
29,0,30007,0,113037,0,0,0
30,0,30008,0,113038,0,0,0
31,0,30009,0,113039,0,0,0
32,0,30010,0,113040,0,0,0
33,0,30016,0,113041,0,0,0
34,0,30017,0,113042,0,0,0
35,0,30018,0,113043,0,0,0
36,0,30019,0,113044,0,0,0
37,0,41001,0,113045,0,0,2
38,0,41003,0,113046,0,0,2
39,0,41004,0,113047,0,0,2
40,0,41005,0,113048,0,0,2
41,0,30038,0,113009,0,0,0
42,0,30030,0,113014,0,0,0
43,0,30031,0,113015,0,0,0
44,0,30032,0,113016,0,0,0
45,0,30033,0,113017,0,0,0
46,3,10,0,113050,0,10,1
47,0,60001,0,113051,0,0,0
48,0,60002,0,113052,0,0,0
49,0,60003,0,113053,0,0,0
50,0,60004,0,113054,0,0,0
51,0,60005,0,113055,0,0,0
52,3,5,0,113122,0,17,2
53,3,9,0,113056,0,12,3
54,3,6,0,113057,0,6,2
55,0,30039,0,113058,0,0,0
56,0,30040,0,113059,0,0,0
57,0,30041,0,113060,0,0,0
58,0,30042,0,113061,0,0,0
59,2,69,61,113062,0,8,3
60,1,70,0,113063,0,9,3
61,0,30047,0,113064,0,0,0
62,0,20036,0,113029,0,0,0
63,0,20038,0,113030,0,0,0
64,0,20040,0,113031,0,0,0
65,0,20042,0,113065,0,0,0
66,0,20044,0,113066,0,0,0
67,3,12,0,113085,0,11,2
68,0,30058,0,113068,0,0,0
69,0,30049,0,113069,0,0,0
70,0,30050,0,113070,0,0,0
71,0,30051,0,113071,0,0,0
72,0,30052,0,113072,0,0,0
73,0,30068,0,113073,0,0,0
74,0,30059,0,113074,0,0,0
75,0,30060,0,113075,0,0,0
76,0,30061,0,113076,0,0,0
77,0,30062,0,113077,0,0,0
78,0,20047,0,113078,0,0,0
79,0,20049,0,113079,0,0,0
80,0,30069,0,113081,0,0,0
81,0,30070,0,113082,0,0,0
82,0,30071,0,113083,0,0,0
83,0,30072,0,113084,0,0,0
