#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
0,,,,0,0,0
1,Start Game,,,0,0,0
2,Configuration,,,0,0,0
3,Opening Movie,,,0,0,0
4,Credits,,,0,0,0
5,,,,0,0,0
6,"Calibrate controller?
※Settings can be changed at any time via the System Configuration menu.",,,0,0,0
7,Yes,,,0,0,0
8,No,,,0,0,0
9,,,,0,0,0
10,Service Account,,,0,0,0
11,Select a service account.,,,0,0,0
12,Version: UNKNOWN(UNKNOWN) - exUNKNOWN : UNKNOWN,,,0,0,0
13,"**Warning!** Screen resolution is set to Low (480p/i 576p/i)
The recommended setting is High (720p).",,,0,0,0
14,,,,0,0,0
15,OK,,,0,0,0
16,Cancel,,,0,0,0
17,Select the features you wish to change from the list on the right. Those marked with ??? have yet to be confirmed.,,,0,0,0
18,Select the features you wish to change from the list on the right and press OK to reflect the changes.,,,0,0,0
19,Select the features you wish to change from the list on the right. Those marked with ??? have yet to be confirmed.,,,0,0,0
20,Delete Character,,,0,0,0
21,"Delete UNKNOWN?
Please be aware that if you delete this character, you will lose all items, gil, and hired retainers in their possession.
If this character is master of a free company for which there is no eligible successor, the free company will be automatically disbanded, causing company estates and all items within the company chest to be deleted as well.",,,0,0,0
22,I understand and wish to delete this character.,,,0,0,0
23,Change Name,,,0,0,0
24,Change Retainer Name,,,0,0,0
25,Log in with UNKNOWN?,,,0,0,0
26,A name change is required to log in with this character.,,,0,0,0
27,Please change your character's name after retrieving character data.,,,0,0,0
28,Change this character's name to UNKNOWN?,,,0,0,0
29,Change this retainer's name to UNKNOWN?,,,0,0,0
30,New Character,,,0,0,0
31,Quit character creation and lose all progress?,,,0,0,0
32,Begin a new game with this character?,,,0,0,0
33,Create a new character?,,,0,0,0
34,,,,0,0,0
35,UNKNOWN/UNKNOWN,,,0,0,0
36,Location,,,0,0,0
37,1st Sun of the 1st Astral Moon,,,0,0,0
38,（UNKNOWN/UNKNOWN）,,,0,0,0
39,,,,0,0,0
40,First Astral Moon,,,0,0,0
41,First Umbral Moon,,,0,0,0
42,Second Astral Moon,,,0,0,0
43,Second Umbral Moon,,,0,0,0
44,Third Astral Moon,,,0,0,0
45,Third Umbral Moon,,,0,0,0
46,Fourth Astral Moon,,,0,0,0
47,Fourth Umbral Moon,,,0,0,0
48,Fifth Astral Moon,,,0,0,0
49,Fifth Umbral Moon,,,0,0,0
50,Sixth Astral Moon,,,0,0,0
51,Sixth Umbral Moon,,,0,0,0
52,,,,0,0,0
53,1st Sun of the 1st Astral Moon,,,0,0,0
54,,,,0,0,0
55,,,,0,0,0
56,UNKNOWN,,,0,0,0
57,Obtaining the World list...,,,0,0,0
58,Unable to obtain the World list.,,,0,0,0
59,Obtain updated World information. This feature can only be used once every one minute.,,,0,0,0
60,"This account has no available character slots. To create a new character, you must first delete an existing one by selecting the “Delete” option from the subcommand menu.",,,0,0,0
61,"You cannot create any more characters. To create a new character, you must first delete an existing one. This can be done by selecting the “Delete” option from the subcommand menu.",,,0,0,0
62,You cannot create any more characters on this World. Please select another.,,,0,0,0
63,"This World is not accepting any more new characters. You may either wait for the restriction to be lifted, or you may select another World.",,,0,0,0
64,You cannot select this character with your current account.,,,0,0,0
65,"You are granted one opportunity to edit your character's race, tribe, gender, appearance, and name.",,,0,0,0
66,Please change your retainer's name after retrieving your character's data.,,,0,0,0
67,"If you wish, you can edit your character's race, sex, and appearance. (UNKNOWN minute remaining)",,,0,0,0
68,To log in with this character you must first install .,,,0,0,0
69,"To edit this character's race, sex, or appearance you must first install .",,,0,0,0
70,"To log in with this character from version 1.0, you must first specify the Disciple of War or Magic class you wish to begin the game as.",,,0,0,0
71,OK,,,0,0,0
72,Cancel,,,0,0,0
