key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,,Tile{Size},Cell{Size},Cell{Height},Agent{Height},Agent{Radius},Agent{MaxClimb},Agent{MaxSlope},,Region{MinSize},Region{MergedSize},,MaxEdgeLength,MaxEdgeError,VertsPerPoly,DetailMesh{SampleDistance},DetailMesh{MaxSampleError},,,,,,,,,,,,,,,,,,
int32,str,single,single,single,single,single,single,single,bit&01,single,single,bit&02,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,bit&04,single,single,single,bit&08
0,"default",160,0.2,0.2,2,0.5,0.6,56,True,8,20,False,12,1.4,6,6,1,0.2,53,2.13,-30,11.6,9,2.8,0.001,0.04,0.01,0.1,3,0.7,True,0.4,2,0,False
11,"navimesh_test",160,0.2,0.2,2,0.5,0.6,56,True,8,20,False,12,1.4,6,6,1,0.2,53,2.13,-30,11.6,5.5,2.8,0.001,0.04,0.01,0.1,3,0.7,True,0.4,2,0,False
12,"w1d1",160,0.2,0.2,2,0.5,1,60,True,8,20,False,12,1.4,6,6,1,0.2,58,2.13,-30,10.4,5,2.8,0.001,0.04,0.01,0.1,3,0.7,False,0.4,2,10,False
13,"l1r2",160,0.2,0.2,2,0.5,1,60,True,8,20,False,12,1.4,6,6,1,0.2,58,2.13,-30,10.4,5,2.8,0.001,0.04,0.01,0.1,3,0.7,False,0.4,2,10,False
14,"r2d1",160,0.2,0.2,2,0.5,1,60,True,8,20,False,12,1.4,6,6,1,0.2,58,2.13,-30,10.4,5,2.8,0.001,0.04,0.01,0.1,3,0.7,False,0.4,2,10,False
15,"d2d4",160,0.2,0.2,2,0.5,0.6,56,True,8,20,False,12,1.4,6,6,1,0.2,53,2.13,-30,11.6,9,2.8,0.001,0.04,0.01,0.1,3,0.7,True,0.4,2,10,False
16,"r2d3",160,0.2,0.2,2,0.5,0.6,56,True,8,20,False,12,1.4,6,6,1,0.2,53,2.13,-30,11.6,9,2.8,0.001,0.04,0.01,0.1,3,0.7,True,0.4,2,10,False
148,"r1f1",160,0.2,0.2,2,0.5,1,60,True,8,20,False,12,1.4,6,6,1,0.2,58,2.13,-30,10.4,5,2.8,0.001,0.04,0.01,0.1,3,0.7,False,0.4,2,0,True
