key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte
0,0,0,0,0,0,0,0,0,0
1,100,100,100,100,100,100,100,100,100
2,100,94,100,100,90,94,100,75,79
3,100,88,96,100,78,88,80,100,100
4,100,80,88,100,68,81,60,75,79
5,100,70,80,96,57,74,100,100,100
6,100,60,72,86,100,66,100,75,79
7,96,50,66,74,90,100,80,100,58
8,90,100,60,100,78,94,100,75,100
9,82,100,100,100,68,88,100,50,79
10,72,94,100,100,57,81,80,0,58
11,60,88,96,100,50,74,100,0,0
12,100,80,88,96,100,66,100,0,0
13,100,70,80,86,90,100,80,0,0
14,100,60,72,74,78,94,0,0,0
15,100,50,66,60,68,88,0,0,0
16,100,100,60,100,57,81,0,0,0
17,100,100,100,100,50,74,0,0,0
18,96,94,100,100,100,66,0,0,0
19,90,88,96,100,90,100,0,0,0
20,82,80,88,96,78,94,0,0,0
21,72,70,80,86,68,88,0,0,0
22,60,60,72,74,57,81,0,0,0
23,100,50,66,60,0,74,0,0,0
24,100,100,60,100,0,66,0,0,0
25,100,100,100,100,0,0,0,0,0
26,100,94,100,100,0,0,0,0,0
27,100,88,96,100,0,0,0,0,0
28,100,80,88,96,0,0,0,0,0
29,96,70,80,86,0,0,0,0,0
30,90,60,72,74,0,0,0,0,0
31,82,50,66,60,0,0,0,0,0
32,72,0,60,0,0,0,0,0,0
33,60,0,54,0,0,0,0,0,0
34,100,0,0,0,0,0,0,0,0
35,100,0,0,0,0,0,0,0,0
36,100,0,0,0,0,0,0,0,0
37,100,0,0,0,0,0,0,0,0
38,100,0,0,0,0,0,0,0,0
39,100,0,0,0,0,0,0,0,0
40,96,0,0,0,0,0,0,0,0
41,90,0,0,0,0,0,0,0,0
42,82,0,0,0,0,0,0,0,0
43,72,0,0,0,0,0,0,0,0
44,60,0,0,0,0,0,0,0,0
