key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,SimulationTime[0],SimulationTime[1],SimulationTime[2],SimulationTime[3],SimulationTime[4],SimulationTime[5],PS3SimulationTime[0],PS3SimulationTime[1],PS3SimulationTime[2],PS3SimulationTime[3],PS3SimulationTime[4],PS3SimulationTime[5],ResetByLookAt,RootFollowingGame,RootFollowingCutScene,ConfigSwitch[0],ConfigSwitch[1],ConfigSwitch[2],ForceAttractByPhysicsOff
int32,single,single,single,single,single,single,single,single,single,single,single,single,bit&01,single,single,sbyte,sbyte,sbyte,bit&02
1,60,60,30,30,60,0,30,30,30,30,60,0,False,0.3,0.3,0,0,0,False
2,60,60,30,30,60,0,0,0,0,0,0,0,False,0.3,0.8,0,2,2,False
3,60,60,30,0,60,0,30,30,0,0,60,0,True,0,0.3,0,0,2,False
4,60,60,30,0,60,0,60,30,0,0,60,0,True,0.4,0.6,0,0,1,True
5,60,60,30,0,60,0,30,30,0,0,60,0,True,0,0.3,0,0,1,True
6,60,60,30,0,60,0,30,30,0,0,60,0,True,0,0.3,0,0,1,True
7,60,60,30,0,60,0,0,0,0,0,0,0,False,0,0.1,0,2,2,False
8,60,60,30,0,60,0,0,0,0,0,0,0,True,0,0,0,2,2,False
9,60,60,30,0,60,0,0,0,0,0,0,0,True,0.1,0.3,0,2,2,False
10,60,60,30,0,60,0,0,0,0,0,0,0,False,0.3,0.3,0,2,2,False
11,60,60,30,30,60,0,30,30,30,30,60,0,False,0.3,0.3,0,0,0,False
12,60,60,30,0,60,0,0,0,0,0,0,0,False,0.3,0.3,0,2,2,False
13,60,60,30,0,60,0,0,0,0,0,0,0,False,0.3,0.3,0,2,2,False
14,60,60,30,0,60,0,0,0,0,0,0,0,False,0,0.3,0,2,2,False
15,60,60,30,0,60,0,30,30,0,0,60,0,True,0.1,0.3,0,1,1,True
16,60,60,30,0,60,0,0,0,0,0,0,0,True,0.1,0.3,0,2,2,False
17,60,60,30,0,60,0,0,0,0,0,0,0,True,0.1,0.3,0,2,2,False
18,60,60,30,0,60,0,0,0,0,0,0,0,True,0.1,0.3,0,2,2,False
19,60,60,30,0,60,0,0,0,0,0,0,0,True,0.1,0.3,0,2,2,False
20,60,60,30,0,60,0,0,0,0,0,0,0,True,0.1,0.3,0,2,2,False
21,60,60,30,0,60,0,0,0,0,0,0,0,False,0.1,0.3,0,0,0,False
22,60,60,30,0,60,0,0,0,0,0,0,0,False,0.1,0.3,0,2,2,False
23,60,60,30,0,60,0,60,30,0,0,60,0,True,0.4,0.6,0,0,3,True
24,60,60,30,0,60,0,30,30,0,0,60,0,True,0,0.3,0,0,3,True
25,60,60,30,0,60,0,30,30,0,0,60,0,True,0,0.3,0,0,3,True
26,60,60,30,0,60,0,30,30,0,0,60,0,True,0.1,0.3,0,3,3,True
