key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
int32,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,77,1,5,1,5,2,1,4,4,1,6,3,1,1,6,3,1,1,1,0,0,0
2,28,7,11,7,11,8,12,10,10,7,11,9,12,7,11,9,12,7,11,0,0,0
3,28,13,18,14,18,15,20,17,17,13,19,16,21,13,19,22,20,13,18,0,0,0
4,28,64,65,66,67,68,69,74,74,70,71,72,73,76,77,78,69,80,81,0,0,0
5,27,32,33,34,33,35,36,41,41,37,38,39,40,42,43,44,36,46,47,0,0,0
6,28,23,28,24,28,25,29,27,27,23,28,26,30,23,28,31,29,23,28,0,0,0
7,27,48,49,50,49,51,52,57,57,53,54,55,56,58,59,60,52,62,63,0,0,0
8,27,82,83,84,83,85,86,91,91,87,88,89,90,92,93,94,86,96,97,0,0,0
9,28,98,103,99,108,100,105,102,102,98,104,101,106,109,104,107,105,98,103,0,0,0
10,77,110,114,110,114,111,110,113,113,110,115,112,110,110,115,112,110,110,110,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
