#,Object,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,0,0,0,0,100,0,-1,False,False
1,47,256,132,0,100,0,-1,False,False
2,50,256,257,0,100,0,-1,False,False
3,53,192,257,0,100,0,-1,False,False
4,53,319,257,0,100,0,-1,False,False
5,48,256,64,0,100,0,-1,False,False
6,49,256,310,0,100,0,-1,False,False
7,51,128,192,0,100,0,-1,False,False
8,52,384,192,0,100,0,-1,False,False
9,54,192,256,0,100,0,-1,False,False
10,55,320,256,0,100,0,-1,False,False
11,56,192,128,0,100,0,-1,False,False
12,57,320,128,0,100,0,-1,False,False
13,48,208,112,0,100,0,-1,False,False
14,49,304,272,0,100,0,-1,False,False
15,51,176,240,0,100,0,-1,False,False
16,52,336,144,0,100,0,-1,False,False
17,54,208,272,0,100,0,-1,False,False
18,55,336,240,0,100,0,-1,False,False
19,56,176,144,0,100,0,-1,False,False
20,57,304,112,0,100,0,-1,False,False
21,4,256,192,0,153,0,-1,False,False
22,60,256,192,0,120,0,-1,False,False
23,62,256,192,0,120,0,-1,False,False
24,64,256,192,0,120,0,-1,False,False
25,8,256,192,0,153,0,-1,False,False
26,79,256,14,0,100,0,-1,False,False
27,80,436,192,0,100,0,-1,False,False
28,81,256,370,0,100,0,-1,False,False
29,82,80,192,0,100,0,-1,False,False
30,83,383,65,0,100,0,-1,False,False
31,84,383,308,0,100,0,-1,False,False
32,85,135,308,0,100,0,-1,False,False
33,86,135,65,0,100,0,-1,False,False
34,83,135,65,0,100,0,-1,False,False
35,84,383,65,0,100,0,-1,False,False
36,85,383,308,0,100,0,-1,False,False
37,86,135,308,0,100,0,-1,False,False
38,48,272,64,0,100,0,-1,False,False
39,49,240,310,0,100,0,-1,False,False
40,51,128,176,0,100,0,-1,False,False
41,52,384,208,0,100,0,-1,False,False
42,54,128,208,0,100,0,-1,False,False
43,55,272,310,0,100,0,-1,False,False
44,56,240,64,0,100,0,-1,False,False
45,57,384,176,0,100,0,-1,False,False
46,48,304,64,0,100,0,-1,False,False
47,49,208,310,0,100,0,-1,False,False
48,51,240,64,0,100,0,-1,False,False
49,52,272,310,0,100,0,-1,False,False
50,54,208,64,0,100,0,-1,False,False
51,55,240,310,0,100,0,-1,False,False
52,56,272,64,0,100,0,-1,False,False
53,57,304,310,0,100,0,-1,False,False
54,48,128,144,0,100,0,-1,False,False
55,49,384,240,0,100,0,-1,False,False
56,51,128,208,0,100,0,-1,False,False
57,52,384,176,0,100,0,-1,False,False
58,54,128,240,0,100,0,-1,False,False
59,55,384,208,0,100,0,-1,False,False
60,56,128,176,0,100,0,-1,False,False
61,57,384,144,0,100,0,-1,False,False
62,83,304,144,0,100,0,-1,False,False
63,84,304,240,0,100,0,-1,False,False
64,85,208,240,0,100,0,-1,False,False
65,86,208,144,0,100,0,-1,False,False
66,84,304,144,0,100,0,-1,False,False
67,85,304,240,0,100,0,-1,False,False
68,86,208,240,0,100,0,-1,False,False
69,83,208,144,0,100,0,-1,False,False
70,79,256,144,0,100,0,-1,False,False
71,80,304,192,0,100,0,-1,False,False
72,81,256,240,0,100,0,-1,False,False
73,82,208,192,0,100,0,-1,False,False
74,83,304,144,0,100,0,-1,False,False
75,84,304,240,0,100,0,-1,False,False
76,85,208,240,0,100,0,-1,False,False
77,86,208,144,0,100,0,-1,False,False
78,79,256,144,0,100,0,-1,False,False
79,80,304,192,0,100,0,-1,False,False
80,81,256,240,0,100,0,-1,False,False
81,82,208,192,0,100,0,-1,False,False
82,84,304,144,0,100,0,-1,False,False
83,85,304,240,0,100,0,-1,False,False
84,86,208,240,0,100,0,-1,False,False
85,83,208,144,0,100,0,-1,False,False
