key,0,1,2,3,4,5,6,7,8,9
#,Masculine,Feminine,Hp,Mp,STR,VIT,DEX,INT,MND,PIE
int32,str,str,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte
0,"","",0,0,0,0,0,0,0,0
1,"Midlander","Midlander",0,0,2,0,-1,3,-1,0
2,"Highlander","Highlander",0,0,3,2,0,-2,0,0
3,"Wildwood","Wildwood",0,0,0,-1,3,2,-1,0
4,"Duskwight","Duskwight",0,0,0,-1,0,3,1,0
5,"Plainsfolk","Plainsfolk",0,0,-1,-1,3,2,0,0
6,"Dunesfolk","Dunesfolk",0,0,-1,-2,1,2,3,0
7,"Seeker of the Sun","Seeker of the Sun",0,0,2,0,3,-1,-1,0
8,"Keeper of the Moon","Keeper of the Moon",0,0,-1,-2,2,1,3,0
9,"Sea Wolf","Sea Wolf",0,0,2,3,-1,-2,1,0
10,"Hellsguard","Hellsguard",0,0,0,3,-2,0,2,0
11,"Raen","Raen",0,0,-1,-1,2,0,3,0
12,"Xaela","Xaela",0,0,3,2,0,0,-2,0
13,"Helions","Helions",0,0,3,3,-3,-3,3,0
14,"The Lost","The Lost",0,0,3,3,-3,-3,3,0
15,"Rava","Rava",0,0,0,-2,3,1,1,0
16,"Veena","Veena",0,0,-1,-1,0,3,2,0
