#,Name,Description,Icon,ParamModifier,VFX,Log,Unknown0,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,PartyListPriority,CanIncreaseRewards,ParamEffect,TargetType,Flags,Flag2,Unknown_70_1,Unknown2,LockMovement,Unknown3,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,NoLogVfx,Unknown5,CanStatusOff,IsFcBuff,Invisibility,Unknown6,Unknown_70_2,Unknown7
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Petrification,Stone-like rigidity is preventing the execution of actions.,215001,0,1,0,85,0,1,2,6,100,0,0,0,32,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,Stun,Unable to execute actions.,215004,0,2,0,0,0,1,2,3,100,0,0,0,0,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,Sleep,Overwhelming drowsiness is preventing the execution of actions.,215013,0,3,0,1,0,1,2,2,100,0,0,0,3,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,Daze,Scattered senses are preventing the execution of actions.,215003,0,0,0,1,0,1,2,8,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Amnesia,Unable to use abilities.,215015,0,0,0,0,0,1,2,15,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,Pacification,Unable to use weaponskills.,215017,0,0,0,0,0,1,2,14,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,Silence,A stifling magic is preventing casts.,215005,0,0,0,2,0,1,2,7,100,0,0,0,22,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,Haste,"Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are reduced.",215008,-15,0,0,5,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Slow,"Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are increased.",215009,15,0,0,5,0,1,2,13,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10,Slow,"Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are increased.",215545,20,0,0,5,0,1,2,13,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
11,Confused,Attacking allies instead of the enemy.,215603,0,0,0,64,0,1,2,17,100,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
12,Levitation,"Floating several ilms off the ground, defying the universal laws of gravity.",215037,0,4,0,0,0,1,1,16,1,0,0,0,49,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
13,Bind,Unable to move.,215003,0,5,0,3,0,1,2,12,100,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
14,Heavy,Movement speed is reduced.,215002,0,6,0,3,0,1,2,4,100,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
