key,0,1,2,3,4,5,6,7,8,9,10
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Description
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,0,"",0,"",0,0,1,0,0,"",""
1,27961,"aetherpool arm",0,"aetherpool arms",0,1,1,0,0,"Aetherpool Arm","A weapon crafted from pure aether. The more it gathers, the more solid it becomes."
2,27962,"suit of aetherpool armor",0,"suits of aetherpool armor",0,0,1,0,0,"Aetherpool Armor","Gear crafted from pure aether. The more it gathers, the more solid it becomes."
3,27961,"empyrean aetherpool arm",0,"empyrean aetherpool arms",0,1,1,0,0,"Empyrean Aetherpool Arm","A weapon crafted from pure aether. The more it gathers, the more solid it becomes."
4,27962,"suit of empyrean aetherpool armor",0,"suits of empyrean aetherpool armor",0,0,1,0,0,"Empyrean Aetherpool Armor","Gear crafted from pure aether. The more it gathers, the more solid it becomes."
5,27961,"Orthos aetherpool arm",0,"Orthos aetherpool arms",0,1,1,0,0,"Orthos Aetherpool Arm","A weapon crafted from pure aether. The more it gathers, the more solid it becomes."
6,27962,"suit of Orthos aetherpool armor",0,"suits of Orthos aetherpool armor",0,0,1,0,0,"Orthos Aetherpool Armor","Gear crafted from pure aether. The more it gathers, the more solid it becomes."
7,27961,"illumed aetherpool arm",0,"illumed aetherpool arms",0,1,1,0,0,"Illumed Aetherpool Arm","A weapon crafted from pure aether. The more it gathers, the more solid it becomes."
8,27962,"suit of illumed aetherpool armor",0,"suits of illumed aetherpool armor",0,0,1,0,0,"Illumed Aetherpool Armor","Gear crafted from pure aether. The more it gathers, the more solid it becomes."
