#,PlaceName,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7]
1179648,Reginald Eventman I,1,0,0,0,0,0,0,0
1179649,Reginald Eventman II,0,0,0,0,0,0,0,0
1179650,Gridania,16,2,4,18,8,12,0,0
1179651,The Hawthorne Hut,6,0,0,0,0,0,0,0
1179652,Buscarron's Druthers,21,24,0,0,0,0,0,0
1179653,Quarrymill,10,25,23,0,0,0,0,0
1179654,Camp Tranquil,14,20,22,108,0,0,0,0
1179655,Hyrstmill,17,27,0,0,0,0,0,0
1179656,Fallgourd Float,19,26,94,0,0,0,0,0
1179657,Bentbranch Meadows,3,0,0,0,0,0,0,0
1179658,Ul'dah,42,32,44,30,48,52,38,28
1179659,Horizon,33,36,34,0,0,0,0,0
1179660,Vesper Bay,31,37,0,0,0,0,0,0
1179661,The Silver Bazaar,29,35,0,0,0,0,0,0
1179662,Black Brush Station,43,0,0,0,0,0,0,0
1179663,Camp Drybone,46,56,110,0,0,0,0,0
1179664,Little Ala Mhigo,50,58,0,0,0,0,0,0
1179665,Forgotten Springs,54,59,0,0,0,0,0,0
1179666,Camp Bluefog,40,60,0,0,0,0,0,0
1179667,The Golden Bazaar,57,0,0,0,0,0,0,0
1179668,Ceruleum Processing Plant,61,0,0,0,0,0,0,0
1179669,Limsa Lominsa,62,88,64,86,68,72,76,82
1179670,Summerford Farms,63,0,0,0,0,0,0,0
1179671,Swiftperch,66,93,0,0,0,0,0,0
1179672,Aleport,70,92,0,0,0,0,0,0
1179673,Wineport,74,0,0,0,0,0,0,0
1179674,Camp Bronze Lake,79,0,0,0,0,0,0,0
1179675,Moraby Drydocks,87,90,0,0,0,0,0,0
1179676,Red Rooster Stead,89,91,0,0,0,0,0,0
1179677,Costa del Sol,84,0,0,0,0,0,0,0
1179678,（空き）,0,0,0,0,0,0,0,0
1179679,The Observatorium,98,0,0,0,0,0,0,0
1179680,Camp Dragonhead,99,101,102,96,0,0,0,0
1179681,Whitebrim,100,0,0,0,0,0,0,0
1179682,Revenant's Toll,104,106,0,0,0,0,0,0
1179683,Saint Coinach's Find,107,0,0,0,0,0,0,0
1179684,Foundation,140,0,0,0,0,0,0,0
1179685,Falcon's Nest,141,112,114,0,0,0,0,0
1179686,The Convictory,113,118,0,0,0,0,0,0
1179687,Tailfeather,116,120,122,124,0,0,0,0
1179688,Anyx Trine,123,128,0,0,0,0,0,0
1179689,Bigwest Shortstop,126,130,0,0,0,0,0,0
1179690,Moghome,132,134,0,0,0,0,0,0
1179691,Asah,135,136,0,0,0,0,0,0
1179692,Zenith,137,133,0,0,0,0,0,0
1179693,Ok' Zundu,138,0,0,0,0,0,0,0
1179694,Camp Cloudtop,139,0,0,0,0,0,0,0
1179695,Rhalgr's Reach,145,148,151,152,0,0,0,0
1179696,Castrum Oriens,146,155,0,0,0,0,0,0
1179697,The Peering Stones,149,156,157,0,0,0,0,0
1179698,Ala Gannha,143,161,163,0,0,0,0,0
1179699,Ala Ghiri,153,159,162,166,0,0,0,0
1179700,Porta Praetoria,165,168,169,0,0,0,0,0
1179701,The Ala Mhigan Mercantile District,170,0,0,0,0,0,0,0
1179702,Kugane,171,174,0,0,0,0,0,0
1179703,Onokoro,172,177,179,195,0,0,0,0
1179704,Tamamizu,175,178,183,0,0,0,0,0
1179705,Namai,181,185,187,0,0,0,0,0
1179706,The House of the Fierce,188,189,201,0,0,0,0,0
1179707,Reunion,191,193,197,206,0,0,0,0
1179708,Mol Iloh,198,203,0,0,0,0,0,0
1179709,The Dawn Throne,199,205,204,0,0,0,0,0
1179710,Tomra,207,212,213,0,0,0,0,0
1179711,Wright,208,209,216,0,0,0,0,0
1179712,Stilltide,210,211,219,0,0,0,0,0
1179713,Eulmore,215,218,221,0,0,0,0,0
1179714,Pla Enni,222,224,0,0,0,0,0,0
1179715,Wolekdorf,223,227,0,0,0,0,0,0
1179716,Lydha Lran,225,226,236,251,0,0,0,0
1179717,Fanow,229,0,0,0,0,0,0,0
1179718,Slitherbough,228,240,255,0,0,0,0,0
1179719,Twine,230,247,262,267,0,0,0,0
1179720,Mord Souq,231,265,0,0,0,0,0,0
1179721,The Crystarium,244,259,0,0,0,0,0,0
1179722,The Ostall Imperative,233,249,253,257,260,0,0,0
1179723,Fort Jobb,232,234,238,242,245,0,0,0
1179724,The Inn at Journey's Head,264,266,0,0,0,0,0,0
1179725,Radz-at-Han,288,291,294,0,0,0,0,0
1179726,Yedlihmad,280,283,286,0,0,0,0,0
1179727,The Great Work,281,285,289,0,0,0,0,0
1179728,Palaka's Stand,282,284,292,0,0,0,0,0
1179729,Camp Broken Glass,295,0,0,0,0,0,0,0
1179730,Tertium,296,0,0,0,0,0,0,0
1179731,The Hall of Artifice,305,308,311,0,0,0,0,0
1179732,The Archeion,297,301,303,0,0,0,0,0
1179733,Sharlayan Hamlet,298,299,306,0,0,0,0,0
1179734,Aporia,302,300,309,0,0,0,0,0
1179735,Tuliyollal,312,315,0,0,0,0,0,0
1179736,Wachunpelo,313,318,0,0,0,0,0,0
1179737,Worlar's Echo,319,0,0,0,0,0,0,0
1179738,Ok'hanu,316,320,322,0,0,0,0,0
1179739,Many Fires,321,324,0,0,0,0,0,0
1179740,Earthenshire,323,325,0,0,0,0,0,0
