#,Distance,Speed,NearDistance,Direction,DirectionArg,Motion,CancelMove
0,0,0,0,0,0,True,True
1,10,20,0,0,0,True,True
2,5,10,0,0,0,True,True
3,20,40,0,0,0,True,True
4,25,50,0,0,0,True,True
5,30,60,0,0,0,True,True
6,50,100,0,0,0,True,True
7,10,20,0,3,0,True,True
8,25,40,0,3,0,True,True
9,15,25,0,0,0,True,True
10,15,20,0,0,0,True,True
11,5,10,0,0,0,True,True
12,5,10,0,0,0,True,True
13,30,30,0,0,0,True,True
14,2,10,0,0,0,True,True
15,30,30,0,0,0,True,True
16,20,25,0,0,0,True,True
17,20,20,0,0,0,True,True
18,20,40,0,0,0,True,True
19,3,20,0,0,0,True,True
20,20,40,0,0,0,True,True
21,5,30,0,0,0,True,True
22,10,30,0,3,0,True,False
23,4,20,0,0,0,True,True
24,15,20,0,0,0,True,True
25,4,6,0,0,0,True,True
26,10,12,0,0,0,True,True
27,25,30,0,0,0,True,True
28,35,40,0,0,0,True,True
29,30,40,0,0,0,True,True
30,4,6,0,0,0,True,True
31,25,10,0,1,0,True,True
32,25,10,0,1,180,True,True
33,20,25,0,0,0,True,True
34,15,20,0,0,0,True,True
35,10,15,0,0,0,True,True
36,30,30,0,0,0,True,True
37,15,25,0,0,0,True,True
38,15,25,0,0,0,True,True
39,8,15,0,0,0,True,True
40,15,25,0,0,0,True,True
41,20,40,0,0,0,True,True
42,10,30,0,0,0,True,True
43,30,15,0,0,0,True,True
44,13,25,0,0,0,True,True
45,30,40,0,0,0,True,True
46,15,25,0,0,0,True,True
47,10,25,0,0,0,True,True
48,15,25,0,0,0,True,True
49,10,25,0,0,0,True,True
50,30,40,0,0,0,True,True
51,8,25,0,0,0,True,True
52,11,20,0,0,0,True,True
53,10,20,0,0,0,True,True
54,5,20,0,0,0,True,True
55,5,5,0,0,0,True,True
56,20,20,0,0,0,True,True
57,30,30,0,0,0,True,True
58,10,20,0,0,0,True,True
59,25,30,0,0,0,True,True
60,20,10,0,1,0,True,True
61,20,10,0,1,180,True,True
62,12,25,0,3,0,True,True
63,7,15,0,0,0,True,True
64,50,100,0,0,0,True,True
65,25,50,0,0,0,True,True
66,10,20,0,0,0,True,True
67,15,20,0,0,0,True,True
68,40,20,0,0,0,True,True
69,10,20,0,3,0,True,True
70,20,40,0,0,0,True,True
71,20,30,0,2,0,True,True
72,13,25,0,0,0,True,True
73,12,25,0,3,0,True,True
74,2,20,0,0,0,True,True
75,3,7,0,0,0,True,True
76,30,30,0,0,0,True,True
77,16,25,0,0,0,True,True
78,20,40,0,3,0,True,True
79,50,50,0,3,0,True,True
80,15,30,0,3,0,True,True
81,5,10,0,3,0,True,True
82,17,40,0,0,0,True,True
83,10,20,0,0,0,True,True
84,3,20,0,0,0,True,True
85,8,20,0,0,0,True,True
86,50,25,0,0,0,True,True
87,19,8,0,3,0,True,False
88,25,12,0,3,0,True,False
89,9,7,0,3,0,True,True
90,15,30,0,4,0,True,True
91,15,30,0,5,0,True,True
92,28,12,0,3,0,True,False
93,37,20,0,3,0,True,False
94,10,20,0,6,0,True,True
95,15,20,0,6,0,True,True
96,20,40,0,6,0,True,True
97,25,50,0,6,0,True,True
98,30,60,0,6,0,True,True
99,10,20,0,3,0,True,False
100,15,30,0,3,0,True,False
101,6,12,0,6,0,True,True
102,30,30,0,0,0,True,False
103,20,20,0,6,0,True,True
104,3,3,0,0,0,True,True
105,6,6,0,0,0,True,True
106,10,10,0,0,0,True,True
107,18,20,0,0,0,True,True
108,20,40,0,3,0,True,True
109,25,50,0,3,0,True,True
110,15,30,0,0,0,True,True
111,50,50,0,0,0,True,True
112,15,20,0,0,0,True,True
113,15,30,0,3,0,True,True
114,35,20,0,3,0,True,True
115,11,20,0,0,0,True,True
116,22,30,0,0,0,True,True
117,24,24,0,0,0,True,True
118,5,10,0,6,0,True,True
119,10,20,0,6,0,True,True
120,15,20,0,6,0,True,True
121,20,40,0,6,0,True,True
122,13,13,0,0,0,True,True
123,20,40,0,0,0,False,True
124,20,20,0,6,0,True,True
125,30,60,0,3,0,True,True
126,15,15,0,6,0,True,True
127,15,15,0,3,0,True,True
128,8,10,0,6,0,True,True
129,10,10,0,6,0,True,True
130,11,20,0,0,0,True,True
131,30,30,0,3,0,True,True
132,35,70,0,3,0,True,True
133,50,50,0,3,0,True,True
134,15,30,0,4,0,True,False
135,15,30,0,5,0,True,False
136,25,25,0,3,0,True,True
137,60,100,0,3,0,True,False
138,18,18,0,3,0,True,True
139,30,60,0,6,0,True,True
140,48,20,0,1,0,True,True
141,21,30,0,0,0,True,True
142,25,25,0,6,0,True,True
143,30,30,0,6,0,True,True
144,30,30,0,4,0,True,True
145,30,30,0,5,0,True,True
146,48,20,0,1,180,True,True
147,48,20,0,4,0,True,True
148,48,20,0,5,0,True,True
149,18,36,0,3,0,True,True
150,15,7,0,3,0,True,True
151,10,30,0,3,0,True,True
152,14,30,0,3,0,True,True
153,8,16,0,4,0,True,True
154,8,16,0,5,0,True,True
155,14,30,0,0,0,True,True
156,12,20,0,0,0,True,True
157,12,20,0,0,0,True,True
158,28,56,0,3,0,True,True
159,18,20,0,0,0,True,True
160,8,20,0,3,0,True,True
161,12,20,0,3,0,True,True
162,12,30,0,0,0,True,True
163,6,6,0,0,0,True,True
164,12,36,0,3,0,True,True
165,20,20,0,4,0,True,True
166,20,20,0,5,0,True,True
167,40,20,0,3,0,True,True
168,30,40,0,6,0,True,True
169,16,20,0,0,0,True,True
170,12,30,0,4,0,True,True
171,12,30,0,5,0,True,True
172,13,20,0,6,0,True,True
173,40,80,0,6,0,True,True
174,4,8,0,6,0,True,True
175,60,100,0,3,0,True,False
176,40,40,0,3,0,True,True
177,10,20,0,0,0,True,True
178,35,60,0,6,0,True,True
179,13,40,0,3,0,True,True
180,9,20,0,4,0,True,True
181,9,20,0,5,0,True,True
182,17,30,0,0,0,True,True
183,9,20,0,3,0,True,True
184,5,5,0,0,0,True,True
185,13,20,0,0,0,True,True
186,16,40,0,0,0,True,True
187,50,50,0,6,0,True,True
188,3,40,0,0,0,True,True
189,3,20,0,3,0,True,True
190,25,50,0,6,0,True,True
191,7,10,0,0,0,True,True
192,50,30,0,0,0,True,True
193,6,12,0,6,0,True,True
194,8,16,0,6,0,True,True
195,10,30,0,4,0,True,True
196,10,30,0,5,0,True,True
197,28,60,0,6,0,True,True
198,33,40,0,3,0,True,True
199,22,50,0,6,0,True,True
200,13,20,0,6,0,True,True
201,21,40,0,0,0,True,True
202,68,50,0,6,0,True,True
203,25,20,0,3,0,True,True
204,20,20,0,4,0,True,True
205,20,20,0,5,0,True,True
206,4,4,0,0,0,True,True
207,27,30,0,3,0,True,True
208,15,10,0,3,0,True,True
209,17,30,0,0,0,True,True
210,5,10,0,3,0,True,True
211,7,10,0,3,0,True,True
212,24,40,0,3,0,True,True
213,23,35,0,3,0,True,True
214,21,35,0,3,0,True,True
215,25,30,0,3,0,True,True
216,23,40,0,0,0,True,True
217,15,30,0,6,0,True,True
218,23,40,0,6,0,True,True
219,50,50,0,0,0,True,True
220,19,40,0,6,0,True,True
221,30,30,0,3,0,True,True
222,8,16,0,0,0,True,True
223,18,40,0,6,0,True,True
224,22,40,0,6,0,True,True
225,24,40,0,6,0,True,True
226,7,10,0,6,0,True,True
227,25,30,0,4,0,True,True
228,25,30,0,5,0,True,True
229,25,10,0,3,0,True,True
230,0,0,0,0,0,True,True
231,0,0,0,0,0,True,True
