#,NameAction,Icon,Addon,Unknown0,QuickChatTransient
0,Deleted Message,783,0,0,0
1,Hello,9901,11030,1,1
2,Good Match,9902,11031,2,2
3,Thank You,9903,11032,3,3
4,Nice Job,9904,11033,4,5
5,Additional Action 1,9927,11034,0,6
6,Limit Break,9906,11035,6,23
7,Offensive Supplies,9907,11036,0,10
8,Defensive Supplies,9908,11037,0,11
9,Adrenaline Supplies,9909,11038,0,12
10,Wolf's Heart,9910,11039,0,13
11,Attacking Tank,9911,11040,0,14
12,Attacking Healer,9912,11041,0,15
13,Attacking Melee DPS,9913,11042,0,16
14,Attacking Ranged DPS,9914,11043,0,17
15,Stopping Tank,9915,11044,0,19
16,Stopping Healer,9916,11045,0,20
17,Stopping Melee DPS,9917,11046,0,21
18,Stopping Ranged DPS,9918,11047,0,22
19,Collecting Medals,9919,11048,0,24
20,Get Medals,9920,11049,0,25
21,Charge,9921,11050,21,53
22,Retreat,9922,11051,22,55
23,MP,9923,11052,23,22
24,TP,9924,11053,0,9
25,Attacking Target,9925,11054,25,50
26,Blocking Target,9926,11055,26,51
27,Additional Action 2,9928,11056,0,7
28,Focus Attack,9935,11057,0,28
29,End Focused Attack,9936,11058,0,29
30,Sorry,9965,11713,30,4
31,Going Ahead,9966,11714,31,40
32,Falling Back,9967,11715,32,41
33,Moving Crystal,9968,11716,33,56
34,Push Crystal,9969,11717,34,57
35,Covering Target,9964,11718,35,52
36,Executing Limit Break,9970,14904,36,24
37,Group Up,9971,14905,37,54
38,Purify,9905,11034,0,20
39,Guard,9972,11034,39,21
