#,Name,WKSMissionText,ClassJobCategory[0],ClassJobCategory[1],MissionTime,MissionReward,SilverStarRequirement,GoldStarRequirement,MissionToDo[0],MissionToDo[1],MissionToDo[2],LockedBehind,WKSMissionSupplyItem,WKSMissionRecipe,PlaceName,SortKey,WKSFunction,LevelGroup,Unknown0,WKSMissionLotterySpecialCond,IsSynced,IsSpecialQuest,Unknown1,Unknown2
0,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1, Multi-purpose Fiberboard,1200,2400,17,9,0,100,0,1,143,0,0,0,50,2,0,0,0,1,0,0,1,False,False
2, Fieldwork Fuel,1200,2400,20,9,0,100,0,2,144,0,0,0,51,3,0,0,0,1,0,0,1,False,False
3, Gathering Miscellany,1200,2400,22,9,0,100,0,3,145,0,0,0,52,4,0,0,0,1,0,0,1,False,False
4, Essential Research Materials,1200,2400,29,9,0,100,0,4,146,0,0,0,53,5,0,0,0,1,0,0,1,False,False
5, Charcoal Longevity Testing,1200,2400,20,9,0,100,0,5,147,0,0,0,54,6,0,0,0,1,0,0,1,False,False
6, General-purpose Bedding,1200,2400,19,9,0,100,0,6,148,0,0,0,55,7,0,0,0,1,0,0,1,False,False
7, Thin Fiberboard,1200,2400,17,9,0,100,0,7,149,0,0,0,56,8,0,0,0,2,0,0,1,False,False
8, Carpentry Provisions,1200,2400,20,9,0,100,0,8,150,0,0,0,57,9,0,0,0,2,0,0,1,False,False
9, Worker's Weaving Tools,1300,3000,26,9,0,100,0,9,151,0,0,0,58,10,0,0,3,2,0,0,1,False,False
10, Data Entry Paper,700,1500,18,9,0,100,0,10,152,0,0,0,59,11,0,0,3,2,0,0,1,False,False
11, Interior Insulation Materials,1100,2500,19,9,0,100,0,11,153,0,0,0,60,12,0,0,3,2,0,0,1,False,False
12, Cosmoliner Supplies,1200,2250,28,9,0,100,0,12,154,0,0,0,61,13,0,0,3,2,0,0,1,False,False
13, New Material Earrings,700,1500,22,9,0,100,0,13,155,0,0,0,62,14,0,0,3,2,0,0,1,False,False
14, Resupplying Containers,1600,2400,20,9,0,100,0,14,156,0,0,0,63,15,0,0,0,3,0,0,1,False,False
15, Thick Fiberboard,1600,2400,17,9,0,100,0,15,157,0,0,0,64,16,0,0,0,3,0,0,1,False,False
16, High-quality Insulation Materials,1700,2000,19,9,0,100,0,16,158,0,0,0,65,17,0,0,3,3,0,0,1,False,False
17, Heat-resistant Resin,2700,3000,31,9,0,100,0,17,159,0,0,0,66,18,0,0,3,3,0,0,1,False,False
