#,UsageParameter,CustomTalk,Item,ModelKey,HousingItemCategory,UsageType,Placement,AquariumTier,Unknown1,Unplacement,UnplacementStorage,DestroyOnRemoval,Unknown4,Unknown5,Unknown6
196608,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196609,0,0,6601,1,13,0,0,0,0,0,0,False,False,True,False
196610,0,0,6602,2,13,0,0,0,0,0,0,False,False,True,False
196611,0,0,6603,3,13,0,0,0,0,0,0,False,False,True,False
196612,0,0,6513,4,12,0,0,0,0,0,0,False,False,True,False
196613,0,0,6515,5,12,0,0,0,0,0,0,False,False,True,False
196614,0,0,6514,6,12,0,0,0,0,0,0,False,False,True,False
196615,0,0,6548,7,13,0,0,0,0,0,0,False,False,True,False
196616,0,0,6613,8,13,0,0,0,0,0,0,False,False,True,False
196617,0,0,6621,9,13,0,0,0,0,0,0,False,False,True,False
196618,0,721373,6541,10,14,14,77,0,0,0,0,False,False,True,True
196619,0,0,6635,11,14,0,0,0,0,0,0,False,False,True,False
196620,0,0,6657,12,15,0,0,0,0,0,0,False,False,True,False
196621,0,0,6524,13,12,0,0,0,0,0,0,False,False,True,False
196622,0,0,6659,14,15,0,0,0,0,0,0,False,False,True,False
196623,0,0,6544,15,12,0,0,0,0,0,0,False,False,True,False
196624,0,0,6594,16,12,0,0,0,0,0,0,False,False,True,False
196625,0,0,6595,17,12,0,0,0,0,0,0,False,False,True,False
196626,0,0,6542,18,12,0,0,0,0,0,0,False,False,True,False
196627,0,720995,6559,19,12,0,3,0,0,0,0,False,True,True,False
196628,0,0,6656,20,15,0,0,0,0,0,0,False,False,True,False
196629,0,0,6658,21,15,0,0,0,0,0,0,False,False,True,False
196630,0,721440,7064,22,12,0,25,0,0,0,0,False,False,True,False
196631,8,721048,7065,23,12,4,22,0,0,0,0,False,False,True,False
196632,9,721048,7066,24,12,4,22,0,0,0,0,False,False,True,False
196633,0,0,6674,25,16,0,0,0,0,0,0,False,False,True,False
196634,0,0,6675,26,16,0,0,0,0,0,0,False,False,True,False
196635,0,0,6682,27,16,0,0,0,0,0,0,False,False,True,False
196636,0,0,6573,28,12,0,0,0,0,0,0,False,False,True,False
