key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
#,HyurMidlander[Male],HyurMidlander[Female],HyurMidlander[LastName],HyurHighlander[Male],HyurHighlander[Female],HyurHighlander[LastName],Elezen[Male],Elezen[Female],ElezenWildwood[LastName],ElezenDuskwight[LastName],MiqoteSun[Male],MiqoteSun[Female],MiqoteSun[MaleLastName],MiqoteSun[FemaleLastName],MiqoteMoon[Male],MiqoteMoon[Female],MiqoteMoon[Lastname],LalafellPlainsfolk[FirstNameStart],LalafellPlainsfolk[LastNameStart],LalafellPlainsfolk[EndOfNames],LalafellDunesfolk[Male],LalafellDunesfolk[MaleLastName],LalafellDunesfolk[Female],LalafellDunesfolk[FemaleLastName],RoegadynSeaWolf[Male],RoegadynSeaWolf[MaleLastName],RoegadynSeaWolf[Female],RoegadynSeaWolf[FemaleLastName],RoegadynHellsguard[FirstName],RoegadynHellsguard[MaleLastName],RoegadynHellsguard[FemaleLastName],AuRaRaen[Male],AuRaRaen[Female],AuRaRaen[LastName],AuRaXaela[Male],AuRaXaela[Female],AuRaXaela[LastName],HrothgarHellions[FirstName],HrothgarHellions[LastName],HrothgarLost[FirstName],HrothgarLost[LastName],,,,,,,Viera[FirstName],VieraRava[LastName],VieraVeena[LastName]
int32,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
0,"Anselmet","Hemin","Abbey","Willahelm","Adala","Alvey","Aibertain","Alboise","Alamenain","Alambertel","A'tiqa","A'linhbo","Tia","Taqa","Nheu'a","Nheu","Jawantal","A","An","aka","Bibi","an","Ba","ba","Ahlduwil","Lonwoerdsyn","Ahldswys","Lonwoerdwyn","Dancing","Coeurl","Herring","Akagi","Aoi","Kaneuchi","Abaka","Bagurchi","Adarkim","Ivica","Amira","Davor","Zlatasch","Ziva","Amira","Zlatasch","Bilga","Rehw-Nong","Sjadarwesfv","Krjn","Hyskaris","Roda"
1,"Clerebold","Alicen","Abel","Willamar","Adalberta","Archer","Alderique","Amandine","Arscelin","Alboichamps","L'tiqa","B'nimuili","Tia","Dhen","Miah'to","Miah","Molkot","Aby","Aro","bas","Bubu","beta","Bi","cha","Ahtund","Wastwebbsyn","Arenswys","Wastwebbwyn","Wandering","Buffalo","Salmon","Isse","Azami","Akiudo","Agasiletai","Barghujin","Angura","Matija","Azora","Tikhomir","Liubasch","Vesna","Azora","Brankasch","Idga","Djt-Nong","Jgnewesfv","Ktjn","Eryut","Lesrekta"
2,"Lodewicus","Geva","Ackerman","Willelm","Adalind","Ashdale","Alexois","Ameline","Asturmaux","Archevauliere","Y'rhika","C'ranmaia","Tia","Rhiki","Masha'to","Masha","Mhakaracca","Apa","Ato","cho","Chacha","doa","Bu","da","Firkmann","Wistweinsyn","Beraswys","Wistweinwyn","Spiraling","Chocobo","Trout","Ugan","Ajisai","Oshidari","Agsaldai","Barqujin","Arulaq","Osorio","Avesna","Lirim","Brankasch","Zorya","Avesna","Tirasch","Jusel","Rehw-Marouc","Monnawesfv","Alys","Camoa","Arda"
3,"Talan","Gylda","Addock","Winebaud","Adelena","Ashe","Antoinaut","Amenie","Aubaints","Auberlaint","T'rhika","D'wonjhali","Tia","Rhof","Rubh'a","Rubh","Epocan","Ba","Bu","gin","Cheche","fono","Cha","i","Aismurl","Wuntwilfsyn","Bleiswys","Wuntwilfwyn","Burrowing","Aurochs","Whale","Ukyo","Atori","Gakuto","Agujam","Baugurchi","Avagnar","Vladithgar","Azorya","Kresimir","Tirasch","Rodica","Azorya","Ratyasch","Kelta","Djt-Marouc","Huorlwesfv","Veis","Muscadet","Ymir"
4,"Aldous","Motte","Arkwright","Wiscard","Aebbe","Ayers","Arismont","Amianne","Aubierault","Aucheforne","I'raht","E'nibnpha","Tia","Rahz","Rhaq'a","Rhaq","Nelhah","Cha","Buli","guda","Coco","issa","Chu","ka","Broenfarr","Untawhasyn","Bhaldswys","Untawhawyn","Rolling","Bull","Dolphin","Ugetsu","Ayame","Ushikai","Yabuqa","Berude","Bairon","Nenad","Astana","Dob","Ratyasch","Lubov","Astana","Slanasch","Loija","Rehw-Bidit","Ornedwesfv","Ruuj","Atoel","Bosco"
5,"Abraham","Cecilia","Aubrey","Withekind","Aelina","Bailey","Armantel","Astrelle","Aubrenard","Bamponcet","B'raht","F'mallibo","Tia","Hena","Nhagi'li","Nhagi","Amariyo","Du","Buoy","hoy","Dada","joni","Da","ke","Broenfohc","Ubyltusyn","Broenswys","Ubyltuwyn","Rising","Buck","Clam","Usefushi","Awayuki","Kataribe","Ligdan","Boljigchi","Bayaqud","Zlatan","Arodica","Desimir","Slanasch","Mirka","Arodica","Enyasch","Nirli","Djt-Bidit","Qufiswesfv","Shara","Bysnoe","Gucuma"
6,"Mansel","Amice","Bagley","Wracwulf","Aenor","Baines","Arthurioux","Atelloune","Aurifort","Bardelaurain","O'tyada","G'konnala","Tia","Tyata","Kiht'a","Kiht","Gamduhla","E","Dala","ipo","Didi","lai","De","ki","Broenwyrn","Sykursyn","Caerswys","Sykurwyn","Yawning","Antelope","Wave","Udoku","Anzu","Bakuro","Luvsan","Boroqcin","Bolir","Toplica","Amilan","Slathac","Enyasch","Lanya","Amilan","Natasch","Teeja","Rehw-Dvre","Foixewesfv","Rena","Dei-Ijla","Kisne"
7,"Werner","Everill","Ballard","Wultgar","Ahelissa","Barrett","Artoirel","Aurelle","Beltardois","Barnabontant","P'tyada","H'alabali","Tia","Bamu","Qahs'a","Qahs","Chalahko","Fe","Du","jika","Fafa","lan","Di","ku","Elilwaen","Swarsweigsyn","Dyrfswys","Swarsweigwyn","Laughing","Wolf","Ocean","Unzan","Izayoi","Urabe","Adarkidai","Botokhui","Borlaaq","Zhdan","Amirka","Matej","Natasch","Redna","Amirka","Svenach","Vodjs","Djt-Dvre","Ubmuawesfv","Rael","Fyth","Tehp"
