#,Name,Description,Icon,Territory
0,,,0,1
1,Riviera Style,This Lominsan cottage design is well equipped to weather the briny sea gales of coastal climes.,82107,282
2,Riviera Style,This Lominsan house design is well equipped to weather the briny sea gales of coastal climes.,82108,283
3,Riviera Style,This Lominsan mansion design is well equipped to weather the briny sea gales of coastal climes.,82109,284
4,Glade Style,This quaint Gridanian cottage design has been expertly crafted utilizing resources procured from the Twelveswood.,82104,342
5,Glade Style,This quaint Gridanian house design has been expertly crafted utilizing resources procured from the Twelveswood.,82105,343
6,Glade Style,This quaint Gridanian mansion design has been expertly crafted utilizing resources procured from the Twelveswood.,82106,344
7,Oasis Style,No expense was spared to ensure this Ul'dahn cottage interior remains comfortable in various climes─an essentiality given the extreme variance in Thanalan's day and night temperatures.,82101,345
8,Oasis Style,No expense was spared to ensure this Ul'dahn house interior remains comfortable in various climes─an essentiality given the extreme variance in Thanalan's day and night temperatures.,82102,346
9,Oasis Style,No expense was spared to ensure this Ul'dahn mansion interior remains comfortable in various climes─an essentiality given the extreme variance in Thanalan's day and night temperatures.,82103,347
10,Far Eastern Style,Those who would experience the four seasons in both comfort and style will feel at home in this Hingan cottage interior.,82113,649
11,Far Eastern Style,Those who would experience the four seasons in both comfort and style will feel at home in this Hingan house interior.,82114,650
12,Far Eastern Style,Those who would experience the four seasons in both comfort and style will feel at home in this Hingan mansion interior.,82115,651
13,Highland Style,"One shall not want for warmth in this Coerthan cottage interior, designed as it is to withstand the biting cold of even the most frigid northern climes.",82110,980
14,Highland Style,"One shall not want for warmth in this Coerthan house interior, designed as it is to withstand the biting cold of even the most frigid northern climes.",82111,981
15,Highland Style,"One shall not want for warmth in this Coerthan mansion interior, designed as it is to withstand the biting cold of even the most frigid northern climes.",82112,982
16,Minimalist Style,"Designed with fewer beams and posts, this modest cottage interior is suited for those with a preference for simpler styles.",82116,1249
17,Minimalist Style,"Designed with fewer beams and posts, this modest house interior is suited for those with a preference for simpler styles.",82117,1250
18,Minimalist Style,"Designed with fewer beams and posts, this modest mansion interior is suited for those with a preference for simpler styles.",82118,1251
