key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
#,ShortCode,TerritoryType,ContentLinkType,Content,PvP,,,,,AcceptClassJobCategory,ContentMemberType,,,,UnlockQuest,,,ClassJobLevel{Required},ClassJobLevel{Sync},ItemLevel{Required},ItemLevel{Sync},,AllowUndersized,,,AllowReplacement,,AllowExplorerMode,,,,,HighEndDuty,,,,,,DutyRecorderAllowed,,,,,Name,NameShort,ContentType,TransientKey,,Transient,SortKey,Image,Icon,,,,,,LevelingRoulette,HighLevelRoulette,MSQRoulette,GuildHestRoulette,ExpertRoulette,TrialRoulette,DailyFrontlineChallenge,LevelCapRoulette,MentorRoulette,,,,,,AllianceRoulette,FeastTeamRoulette,NormalRaidRoulette,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,TerritoryType,byte,Row,bit&01,bit&02,byte,uint32,uint32,ClassJobCategory,ContentMemberType,byte,byte,byte,Quest,byte,uint32,byte,byte,uint16,uint16,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,byte,bit&08,bit&10,bit&20,bit&40,byte,bit&80,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,str,str,ContentType,byte,uint32,Row,uint16,Image,Image,sbyte,int32,bit&40,bit&80,int32,byte,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool
0,"",0,0,0,False,False,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,0,False,False,False,False,0,False,False,False,True,False,False,False,"","",0,0,0,0,0,0,0,-1,0,True,True,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,"f1r1_re",1039,1,1,False,False,0,0,0,108,2,0,0,0,0,0,0,24,27,0,0,False,True,True,False,True,True,True,False,False,1,True,True,False,True,0,False,False,False,True,False,False,False,"the Thousand Maws of Toto–Rak","",2,6,284,1,5,112005,0,-1,0,True,True,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"f1d1_re",1037,1,2,False,False,0,0,0,108,2,0,0,0,0,0,0,16,19,0,0,False,True,True,False,True,True,True,False,False,1,True,True,False,True,0,False,False,False,True,False,False,False,"the Tam–Tara Deepcroft","",2,6,284,2,2,112002,0,-1,0,True,True,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"w1d1_re",1038,1,3,False,False,0,0,0,108,2,0,0,0,0,0,0,17,20,0,0,False,True,True,False,True,True,True,False,False,1,True,True,False,True,0,False,False,False,True,False,False,False,"Copperbell Mines","",2,6,284,3,3,112003,0,-1,0,True,True,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"s1d1_re",1036,1,4,False,False,0,0,0,108,2,0,0,0,0,0,0,15,18,0,0,False,True,True,False,True,True,True,False,False,1,True,True,False,True,0,False,False,False,True,False,False,False,"Sastasha","",2,6,284,4,1,112001,0,-1,0,True,True,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"r1r2_re",1331,1,5,False,False,0,0,0,108,2,0,0,0,0,0,0,47,49,0,0,False,True,True,False,True,True,True,False,False,1,True,True,False,True,0,False,False,False,True,False,False,False,"the Aurum Vale","",2,6,284,5,12,112014,0,-1,0,True,True,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"f1d2_re",1040,1,6,False,False,0,0,0,108,2,0,0,0,0,0,0,28,31,0,0,False,True,True,False,True,True,True,False,False,1,True,True,False,True,0,False,False,False,True,False,False,False,"Haukke Manor","",2,6,284,6,6,112006,0,-1,0,True,True,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"w1d2_re",1245,1,7,False,False,0,0,0,108,2,0,0,0,0,0,0,20,23,0,0,False,True,True,False,True,True,True,False,False,1,True,True,False,True,0,False,False,False,True,False,False,False,"Halatali","",2,6,284,7,4,112004,0,-1,0,True,True,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
