#,GatheringPointBase,GatheringPointBonus[0],GatheringPointBonus[1],TerritoryType,PlaceName,GatheringSubCategory,Type,Unknown0,Count,Unknown1
30000,0,0,0,1,0,0,1,0,0,False
30001,153,0,0,1,0,0,1,0,4,False
30002,154,0,0,1,0,0,1,0,4,False
30003,155,0,0,1,0,0,1,0,4,False
30004,159,0,0,1,0,0,1,0,4,False
30005,11,1,0,1,0,0,1,0,4,False
30006,51,0,0,1,0,0,3,0,6,False
30007,52,0,0,1,0,0,3,0,6,False
30008,19,2,0,1,0,0,1,0,4,False
30009,21,3,0,1,0,0,1,0,4,False
30010,30,4,0,1,0,0,1,0,4,False
30011,10,6,0,135,165,0,1,0,4,False
30012,11,5,0,148,68,0,1,0,4,False
30013,11,0,0,148,68,0,1,0,4,False
30014,11,15,0,148,68,0,1,0,4,False
30015,11,0,0,148,68,0,1,0,4,False
30016,12,5,0,154,83,0,1,0,4,False
30017,12,0,0,154,83,0,1,0,4,False
30018,12,15,0,154,83,0,1,0,4,False
30019,13,5,0,154,83,0,1,0,4,False
30020,13,0,0,154,83,0,1,0,4,False
30021,13,15,0,154,83,0,1,0,4,False
30022,10,0,0,135,165,0,1,0,4,False
30023,10,16,0,135,165,0,1,0,4,False
30024,15,6,0,154,83,0,1,0,4,False
30025,15,0,0,154,83,0,1,0,4,False
30026,15,16,0,154,83,0,1,0,4,False
30027,16,6,0,148,69,0,1,0,4,False
30028,16,0,0,148,69,0,1,0,4,False
30029,16,16,0,148,69,0,1,0,4,False
30030,16,0,0,148,69,0,1,0,4,False
30031,17,7,0,148,70,0,1,0,4,False
30032,17,17,0,148,70,0,1,0,4,False
30033,17,0,0,148,70,0,1,0,4,False
30034,19,7,0,148,70,0,1,0,4,False
30035,19,0,0,148,70,0,1,0,4,False
30036,19,17,0,148,70,0,1,0,4,False
30037,21,0,0,148,70,0,1,0,4,False
30038,36,11,0,146,256,0,1,0,4,False
30039,21,7,0,148,70,0,1,0,4,False
30040,21,0,0,148,70,0,1,0,4,False
30041,21,17,0,148,70,0,1,0,4,False
30042,22,8,0,152,74,0,1,0,4,False
30043,22,0,0,152,74,0,1,0,4,False
30044,22,18,0,152,74,0,1,0,4,False
30045,23,8,0,152,74,0,1,0,4,False
30046,23,0,0,152,74,0,1,0,4,False
30047,23,18,0,152,74,0,1,0,4,False
30048,24,9,0,153,78,0,1,0,4,False
30049,24,0,0,153,78,0,1,0,4,False
30050,24,19,0,153,78,0,1,0,4,False
30051,10,0,0,135,165,0,1,0,4,False
30052,14,7,0,140,244,0,1,0,4,False
30053,14,0,0,140,244,0,1,0,4,False
30054,26,10,0,154,85,0,1,0,4,False
30055,26,0,0,154,85,0,1,0,4,False
30056,26,20,0,154,85,0,1,0,4,False
30057,27,10,0,153,81,0,1,0,4,False
30058,27,0,0,153,81,0,1,0,4,False
30059,27,20,0,153,81,0,1,0,4,False
30060,28,11,0,153,79,0,1,0,4,False
30061,28,0,0,153,79,0,1,0,4,False
30062,28,21,0,153,79,0,1,0,4,False
30063,29,11,0,153,79,0,1,0,4,False
30064,29,0,0,153,79,0,1,0,4,False
30065,29,21,0,153,79,0,1,0,4,False
30066,14,17,0,140,244,0,1,0,4,False
30067,14,0,0,140,244,0,1,0,4,False
30068,18,7,0,140,264,0,1,0,4,False
30069,18,0,0,140,264,0,1,0,4,False
30070,18,17,0,140,264,0,1,0,4,False
30071,18,0,0,140,264,0,1,0,4,False
30072,25,7,0,141,249,0,1,0,4,False
30073,25,0,0,141,249,0,1,0,4,False
30074,25,17,0,141,249,0,1,0,4,False
30075,25,0,0,141,249,0,1,0,4,False
30076,30,7,0,134,162,0,1,0,4,False
30077,30,0,0,134,162,0,1,0,4,False
30078,30,17,0,134,162,0,1,0,4,False
30079,30,0,0,134,162,0,1,0,4,False
30080,31,7,0,135,164,0,1,0,4,False
