#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,5,5,5,2,2,7,5,5,5,5,4,4,4,4,1,7,3,3,3,0,2,0,0,2,0,1,0,2,0,0,0,2,0,0,1,1,0,1,0
2,6,6,6,6,5,5,5,5,7,4,4,6,6,6,3,3,7,7,1,2,0,2,0,0,0,2,0,0,1,2,0,0,1,0,2,0,2,0,1,1
3,3,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,2,1,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0
4,4,4,4,4,4,3,3,2,2,7,4,4,4,4,3,3,1,7,7,7,0,0,1,0,0,2,0,2,0,1,0,2,0,0,2,0,1,0,1,0
5,4,4,7,7,7,3,3,3,3,2,2,4,4,4,1,7,7,7,7,7,2,0,0,1,0,0,2,0,0,2,0,0,1,0,1,0,0,1,0,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8,1,2,2,3,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
9,1,2,2,2,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
10,1,2,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,4,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,1,2,2,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
12,1,7,2,2,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
13,1,2,2,2,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,2,2,4,4,4,4,4,4,3,3,7,7,4,4,4,4,4,4,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0
16,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,2,7,3,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0
19,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
20,7,2,2,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
21,4,4,4,4,1,3,5,5,5,5,7,2,6,6,6,6,6,6,6,6,0,2,0,0,1,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0
22,2,7,3,3,3,3,4,4,4,4,1,5,5,5,5,5,5,5,5,5,1,1,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
23,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
24,2,2,7,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0
25,3,3,7,4,4,1,2,5,5,5,5,5,5,6,6,6,6,6,6,6,2,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0
26,1,1,1,2,2,2,3,3,3,3,7,7,7,3,3,3,3,3,3,3,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,1,1,1,1,3,3,3,3,3,3,7,7,2,2,2,2,3,3,3,3,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0
28,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
29,1,1,1,1,1,7,7,7,7,7,2,2,2,2,2,7,7,7,7,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
30,1,1,1,1,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
31,1,1,1,2,2,2,2,2,2,2,7,7,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0
32,1,2,2,2,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,3,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0
33,1,2,2,2,3,3,3,3,3,3,1,2,2,4,4,4,4,4,4,4,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0
34,5,5,5,5,2,2,7,5,5,5,5,4,4,4,4,1,7,3,3,3,0,2,0,0,2,0,1,0,2,0,0,0,2,0,0,1,1,0,1,0
35,6,6,6,6,5,5,5,5,7,4,4,6,6,6,3,3,7,7,1,2,0,2,0,0,0,2,0,0,1,2,0,0,1,0,2,0,2,0,1,1
36,3,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,2,1,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0
37,4,4,4,4,4,3,3,2,2,7,4,4,4,4,3,3,1,7,7,7,0,0,1,0,0,2,0,2,0,1,0,2,0,0,2,0,1,0,1,0
38,4,4,7,7,7,3,3,3,3,2,2,4,4,4,1,7,7,7,7,7,2,0,0,1,0,0,2,0,0,2,0,0,1,0,1,0,0,1,0,0
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
40,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
41,1,2,2,3,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
42,1,2,2,2,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
43,1,2,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,4,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44,1,2,2,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
45,1,7,2,2,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
46,1,2,2,2,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
47,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,1,2,2,4,4,4,4,4,4,3,3,7,7,4,4,4,4,4,4,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0
49,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,2,7,3,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0
52,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
53,7,2,2,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
54,4,4,4,4,1,3,5,5,5,5,7,2,6,6,6,6,6,6,6,6,0,2,0,0,1,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0
55,2,7,3,3,3,3,4,4,4,4,1,5,5,5,5,5,5,5,5,5,1,1,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
56,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
57,2,2,7,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0
58,3,3,7,4,4,1,2,5,5,5,5,5,5,6,6,6,6,6,6,6,2,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0
59,1,1,1,2,2,2,3,3,3,3,7,7,7,3,3,3,3,3,3,3,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
60,1,1,1,1,3,3,3,3,3,3,7,7,2,2,2,2,3,3,3,3,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0
61,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
62,1,1,1,1,1,7,7,7,7,7,2,2,2,2,2,7,7,7,7,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
63,1,1,1,1,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
64,1,1,1,2,2,2,2,2,2,2,7,7,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0
65,1,2,2,2,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,3,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0
66,1,2,2,2,3,3,3,3,3,3,1,2,2,4,4,4,4,4,4,4,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0
