#,X,Y,Z,Rot,ENPC,Behavior
0.0,0,0,0,0,0,0
1.0,0,0,0,0,0,0
1.1,0,0,0,0,0,0
1.2,0,0,0,0,0,0
2.0,3,0.2,2.19,192,1043467,33402
2.1,-2.19,0.2,-1.79,207.6,1043467,33398
2.2,5.98,0.19,-5.29,90.6,1043468,33394
2.3,-5.83,0.2,4.77,350.4,1043468,33394
3.0,-2.43,1,-4.96,183,1043467,33398
3.1,-3,1,3.28,54,1043471,33401
3.2,4.93,1,3.98,348.6,1043471,33401
3.3,7.31,1,-3.37,169.8,1043467,33396
4.0,-7.96,1.17,-2.14,98.4,1043467,33398
4.1,-4.74,1,1.63,270,1043471,33395
4.2,9.39,1,0.58,0,1043471,33395
4.3,-5.67,1,-6.87,180,1043471,33395
5.0,1.9,8.29,9.67,0,1043467,33403
5.1,9.89,1,6.11,31.5329,1043467,33403
5.2,-9.64,1,7.51,336.726,1043467,33403
5.3,6.63,13.26,-0.36,7.14426,1043467,33403
6.0,7.49,1,-5.75,180,1043467,33397
6.1,4.17,1,-1.1,360,1043467,33397
6.2,-3.72,1,0.98,310,1043467,33398
6.3,-8.81,1,2.5,180,1043467,33396
6.4,-0.2,7.1,-3.6,360,1043467,33396
7.0,0.92,1,5.66,180,1043467,33402
7.1,8.4,1,0.14,90,1043471,33395
7.2,-1.79,1,-5.33,180,1043471,33395
7.3,-6.42,1.11,2.54,270,1043467,33396
7.4,3.45,1,0.44,24,1043467,33398
8.0,-6.46,8.42,5.95,353.324,1043467,33403
8.1,5.48,7.29,5.79,0.64986,1043467,33403
8.2,-4.95,1,6.86,345.267,1043467,33403
8.3,1,16.89,4.62,368.143,1043467,33403
8.4,4.56,2.84,3.84,260.789,1043467,33403
9.0,-0.7,1,0.51,360,1043467,33397
9.1,7.22,1,-4.31,180,1043467,33397
9.2,4.54,2.84,3.82,270,1043467,33396
9.3,-5.36,1,-3.18,222,1043467,33398
9.4,-5.4,7.28,3.88,288,1043467,33396
10.0,1,1,5.66,180,1043471,33401
10.1,4.59,7.26,-1.11,270,1043471,33401
10.2,7.96,0.95,6.04,90,1043471,33395
10.3,-1.91,0.95,-6.93,180,1043467,33396
10.4,-2.03,7.26,5.23,-6,1043467,33398
11.0,10.46,1,4.7,24.0181,1043467,33403
11.1,-6.04,8.22,4.99,364.034,1043467,33403
11.2,-7.86,12.71,7.37,327.695,1043467,33403
11.3,9.95,12.71,6.82,37.9365,1043467,33403
11.4,1.07,19.54,5.95,-7.6101,1043467,33403
12.0,6.44,0.95,-5.5,180,1043467,33397
12.1,-8.57,0.95,3.39,220.8,1043467,33398
12.2,0.96,1.48,-2.14,0,1043467,33396
12.3,-4.53,1,-1.15,271.8,1043467,33396
12.4,-4.74,7.24,3.03,297,1043467,33396
13.0,3,0.2,2.19,192,1043467,33402
13.1,-2.19,0.2,-1.79,207.6,1043467,33398
13.2,5.98,0.19,-5.29,90.6,1043468,33394
13.3,-5.83,0.2,4.77,350.4,1043468,33394
