key,0,1,2,3,4,5,6,7,8,9
#,Slot,Rank,Components,Surveillance,Retrieval,Speed,Range,Favor,Class,RepairMaterials
int32,byte,byte,byte,int16,int16,int16,int16,int16,uint16,byte
0,0,0,0,0,0,0,0,0,0,0
1,0,1,3,0,0,0,80,-10,1,1
2,0,5,6,0,0,0,94,-14,4,2
3,0,15,11,0,0,0,108,-18,2,3
4,0,25,16,0,0,0,122,-22,5,4
5,0,35,21,0,0,0,136,-26,3,5
6,0,45,26,0,0,0,150,-30,6,6
7,1,1,3,0,-10,80,-10,0,1,1
8,1,5,6,0,-14,94,-14,0,4,2
9,1,15,11,0,-18,108,-18,0,2,3
10,1,25,16,0,-22,122,-22,0,5,4
11,1,35,21,0,-26,136,-26,0,3,5
12,1,45,26,0,-30,150,-30,0,6,6
13,2,1,3,80,0,0,0,80,1,1
14,2,5,6,94,0,0,0,94,4,2
15,2,15,11,108,0,0,0,108,2,3
16,2,25,16,122,0,0,0,122,5,4
17,2,35,21,136,0,0,0,136,3,5
18,2,45,26,150,0,0,0,150,6,6
19,3,1,3,-10,80,-10,0,0,1,1
20,3,5,6,-14,94,-14,0,0,4,2
21,3,15,11,-18,108,-18,0,0,2,3
22,3,25,16,-22,122,-22,0,0,5,4
23,3,35,21,-26,136,-26,0,0,3,5
24,3,45,26,-30,150,-30,0,0,6,6
25,0,50,31,0,0,0,164,-34,7,7
26,1,50,31,0,-34,164,-34,0,7,7
27,2,50,31,164,0,0,0,164,7,7
28,3,50,31,-34,164,-34,0,0,7,7
