#,ModelMainHand,ModelOffHand,Unknown0,ENpc,ModelHead,ModelBody,ModelHands,ModelLegs,ModelFeet,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Behavior,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,DyeMainHand,Dye2MainHand,DyeOffHand,Dye2OffHand,DyeHead,DyeBody,DyeHands,DyeLegs,DyeFeet,DyeEars,DyeNeck,DyeWrists,DyeLeftRing,DyeRightRing,Dye2Head,Dye2Body,Dye2Hands,Dye2Legs,Dye2Feet,Dye2Ears,Dye2Neck,Dye2Wrists,Dye2LeftRing,Dye2RightRing,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False
1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,812,31331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False
1.1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,787,31384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False
2.0,4305330985,0,1,0,0,74676,65536,74676,74676,0,0,0,0,0,0,4348,31360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False
2.1,4309066537,0,4,0,0,74676,65536,74676,74676,0,0,0,0,0,0,5565,31363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False
2.2,0,0,5,0,0,74676,65536,74676,74676,0,0,0,0,0,0,784,31373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False
2.3,0,0,8,0,0,74676,65536,74676,74676,0,0,0,0,0,0,4217,31377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False
2.4,0,0,9,0,0,74676,65536,74676,74676,0,0,0,0,0,0,916,31383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False
3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,799,31359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False
3.1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,787,31366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False
