#,Unknown0,Unknown1,Unknown2
0,無効,無効,False
100,Adventure:,Wander whither the winds take thee.,True
101,,Seek out sights thou hast yet to behold.,True
102,,Travel to lands held dear in thy heart.,True
103,,Thou shalt be blessed with the weather.,True
104,,Auspicious encounters await amidst the hustle and bustle of cities.,True
105,,"Forget not to take thy repasts, for thou shalt be blessed with encounters most auspicious.",True
106,,"Shirk not the offers of the august, for proffered hands forge new bonds.",True
200,Relationships:,"Answer the call, and trust and honor accorded to heroes shall be thine.",True
201,,"Cast thy gaze upon bonds eternal, for therein lie great blessings.",True
202,,To thy companions thou shalt be indebted. Forget not to express thine appreciation.,True
203,,A star-guided companion is closer than thou knowest.,True
204,,Fortunate are those who do not stray from their friends.,True
205,,The support of thy companions is unwavering. Venture boldly into the vast unknown.,True
206,,Break bread with peoples diverse and many. A dawn of golden blessings awaits.,True
300,Prosperity:,"Cast aside thy greed, and thou shalt reap the spoils of numbers great.",True
301,,Upon thee luck shall smile. Seek riches in gilded halls.,True
302,,A treasure map thou shouldst unfurl. Unto great fortune it shall lead thee.,True
303,,All shall be to thy desire. Throw open coffers without fear.,True
304,,Profit shall come. Be honest in thy business dealings.,True
305,,From enduring friendships shall great rewards arise.,True
306,,A rare prize shall be thine. Give thanks to thy retainers.,True
400,Conflict:,Take to battle with confidence. Each mighty foe shall see thee grow.,True
401,,Beyond repetition lieth truth. Neglect not thy training.,True
402,,Look to thy comrades-in-arms. Much have they to teach thee.,True
403,,Great opportunities for growth lie in fields yet unexplored.,True
404,,Beyond repetition lieth truth. Neglect not thy training.,True
405,,,False
406,,,False
500,Favor:,"Be fierce like unto the Fury, and victory shall be assured thee.",True
501,,"Be kind like unto the Lover, and thou shalt receive kindness in return.",True
502,,"Be passionate like unto the Warden, and the way shall be illuminated for thee.",True
503,,"Be decisive like unto the Navigator, and serendipitous winds shall bear thee high.",True
504,,"Be inquisitive like unto the Wanderer, and thou shalt find much joy in thy journeys.",True
1100,Adventure:,Hither and thither wander alone. Enjoy moments of respite all thine own.,True
1101,,Embark upon an old journey anew. Further discoveries await.,True
1102,,Participate in festivities and feel the turning of the seasons.,True
1103,,"Heed the voices of the people, for they have tales untold to share.",True
1104,,Unexpected discoveries await in unexplored lands.,True
1105,,"Remain true to thyself, and new encounters shall follow.",True
1106,,Opportunity awaiteth in lands blessed by golden dawn.,True
1200,Relationships:,Be prepared for unexpected encounters.,True
1201,,From an unlikely meeting a relationship shall bloom.,True
1202,,Friendship will bloom. Take the lead and gather comrades.,True
1203,,A friend shall come to thine aid. Neglect not to repay the debt.,True
1204,,"Though slow to ripen, the sweetest of fruits await.",True
1205,,A new love blossoms. Follow thy heart's desires.,True
1206,,Cooperation shall pave the way to the very stars themselves.,True
1300,Prosperity:,Great riches await in gilded halls. Be open-handed.,True
1301,,Sail forth and cast thy nets. A great haul awaits thee.,True
1302,,Invest in thy home. From it fortune shall grow.,True
1303,,Bid farewell to the old; bid welcome to the new.,True
1304,,"Stay alert to opportunity, and thou shalt make thy fortune.",True
1305,,Set forth beneath the moon and stars. In their guidance fortune lies. ,True
1306,,To thy patrons pay visit. Sound profits await thee.,True
1400,Conflict:,Temper thyself in the heat of friendly rivalries.,True
1401,,Thy weapon suiteth thee well. Continue in thine efforts with confidence.,True
1402,,The tiles favor thee. Try thy hand at mahjong.,True
1403,,"In the pursuit of fell fiends far and wide, thou shalt find good fortune.",True
1404,,Thy weapon suiteth thee well. Continue in thine efforts with confidence.,True
1405,,,False
1406,,,False
1500,Favor:,"Be wise like unto the Spinner, and fortune shall favor thee in all its domains. ",True
1501,,"Be bold like unto the Destroyer, and all foes shall fall before thee.",True
1502,,"Be creative like unto the Builder, and a surer hand of craftsmanship shall be thine.",True
1503,,"Be discerning like unto the Traders, and no chance to profit shall pass thee by.",True
1504,,"Be forbearing like unto the Matron, and the seeds of new friendship shall quicken for thee.",True
2100,Adventure:,"Stay true to thyself, and the way shall open for thee.",True
2101,,A case is afoot. Enlist the services of the most gentlemanly of inspectors.,True
2102,,"Look closely at the weave of the lands thou seest, and thou shalt make new discoveries.",True
2103,,"Gather thine allies, and embark upon a journey to remember.",True
2104,,"Place thyself in fate's hand, and thou wilt surely grow.",True
2105,,Heed the whispers of nature. On a faraway island shall you find solace and sanctuary.,True
2106,,"Rejoice in the Twelve, and thy revels shall not go unrewarded.",True
2200,Relationships:,"Be ever grateful, and thou shalt know blessed friendship.",True
2201,,Thy comrades are thy treasures. Cherish them well.,True
2202,,From a foreign land cometh a kindred soul. Embrace them without reserve.,True
2203,,"Where words fail to convey thy feelings, gestures may yet succeed.",True
2204,,Nothing good will come of waiting. Participate in a gathering hosted by adventurers.,True
2205,,Share without reservation. Thy virtues will be rewarded.,True
2206,,"Seek out comrades-in-arms, and thy feats of valor shall reach ever greater heights.",True
2300,Prosperity:,Great success is the accumulation of small efforts. Neglect not thy daily chores.,True
2301,,Now is an auspicious time to find a new home. Seize the opportunity.,True
2302,,Great profits await reaping in the wilderness.,True
2303,,A chance for profit shall come by way of a friend.,True
2304,,Wealth lieth in the seas and skies. Send forth vessels to explore.,True
2305,,Luck shall be thine among wolves. Claim victories to thy name.,True
2306,,Thou shalt accumulate resources. Mark well the tide.,True
2400,Conflict:,"Neglect not thy provisions, and victory shall be thine.",True
2401,,A grueling battle awaiteth. Reassess thine equipment.,True
2402,,"Dwell not overmuch in sweet victory, or bitter defeat shall follow.",True
2403,,For strength thou wantest not. Thou needest but breathe as one with thine allies.,True
2404,,For strength thou wantest not. Thou needest but breathe as one with thine allies.,True
2405,,,False
2406,,,False
2500,Favor:,"Be steadfast like unto the Keeper, and thou shalt not be led astray.",True
2501,,"Be wise like unto the Scholar, and thou shalt find a way to overcome misfortune.",True
2502,,"Be resolute like unto the Fury, and thou shalt know no surrender.",True
2503,,"Be observant like unto the Lover, and thou shalt see all things for what they are.",True
2504,,"Be audacious like unto the Warden, and thy comrades shall follow thee true.",True
3100,Adventure:,Know thy destination before thou embarkest upon thy journey.,True
3101,,"Hearken to the pleas of those in need, no matter their race or creed.",True
3102,,Seek fortune along the byway.,True
3103,,Alone thou shalt struggle. Set forth with allies.,True
3104,,"Behold once more the first city thou didst see. There, good fortune awaiteth thee.",True
3105,,In the land of the fierce shall thine abilities be tested. Bring thy full might to bear.,True
3106,,"Forge thy weapons anew, for thy pursuits shall reveal untold strength.",True
3200,Relationships:,"Neglect not to stay in touch with loved ones, and all shall be well.",True
3201,,A face from thy past shall appear. Rekindle thy friendship.,True
3202,,There shall be a meeting long in the making. Abide in patience.,True
3203,,"Help those in need, and friendship shall bloom.",True
3204,,"Cherish the bonds with which thou art blessed, and strive to strengthen them.",True
3205,,The path of independence is paved with delight. It is up to thee to embrace it.,True
3206,,Hone thy perception and gain insight into the hearts of others.,True
3300,Prosperity:,"Now is the time to sell. The longer thou waitest, the greater thy loss.",True
3301,,Put thy belongings in order.,True
3302,,"If thou fearest not to lose, thou shalt stand to gain.",True
3303,,"Although it be at great expense, thou shalt obtain the object of thy desire.",True
3304,,Thou shalt gain through the help of thy friends.,True
3305,,From small lands great fortunes shall arise.,True
3306,,Rich rewards await in festivals. Attend them with abandon.,True
3400,Conflict:,"Although thou shalt fall, thou shalt rise up stronger each time.",True
3401,,Be not complacent. Remain vigilant from beginning to end.,True
3402,,"Cast aside idle thoughts, and focus wholly on that which requireth thine attention.",True
3403,,Continue honing thyself with thine allies.,True
3404,,Continue honing thyself with thine allies.,True
3405,,,False
3406,,,False
3500,Favor:,"Be boisterous like unto the Navigator, and from fate's tides thou mayest yet break free.",True
3501,,"Be carefree like unto the Wanderer, and some few failures shall not discourage thee.",True
3502,,"Be farsighted like unto the Spinner, and thou shalt rise above the caprices of fortune.",True
3503,,"Be unyielding like unto the Destroyer, and thou shalt break through any hardship.",True
3504,,"Be dextrous like unto the Builder, and thy tools shall never fail thee.",True
4100,Adventure:,Neglect not to lay plans.,True
4101,,Thine excesses shall take their toll. Pay thy health due care on the road.,True
4102,,Whiskered fish shall impede thy steps. Exercise due care.,True
4103,,The way is clear. Forge on with a calm heart.,True
4104,,The future holdeth disaster. Be as a light in the darkness to those around thee.,True
4105,,Thou shalt find repose where rabbits tread.,True
4106,,Renew thy spirit beyond the horizon.,True
4200,Relationships:,An old friend may become a new flame. Handle the fires of passion with care.,True
4201,,Thou shalt waver in the face of affection.,True
4202,,Trust in thy comrades. Heed not gossip and hearsay.,True
4203,,Forget not thy kindness in the midst of conflict.,True
4204,,With sincerity shalt thou allay misunderstanding.,True
4205,,Be not led astray by the clamor and tumult of the world. Remain steadfast in thy beliefs.,True
4206,,Seek encounters in lands distant and unknown.,True
4300,Prosperity:,"Act not with emotion, lest thou misjudge an item's worth.",True
4301,,Games of chance do not favor thee. Abide in patience.,True
4302,,Fret not over excess stock. It shall not go to waste.,True
4303,,Good fortune awaiteth. Outfit thy retainers anew.,True
4304,,"Thy nets shall be empty. If thou wouldst catch fish, watch well the tides.",True
4305,,The storehouse shall overflow. Make thy peace.,True
4306,,With improvidence shalt thou indulge in fashions.,True
