#,Item,Category,Crop,Unknown0
0,37551,1,0,1
1,37552,1,0,11
2,37553,1,0,2
3,37554,1,0,3
4,37555,1,0,4
5,37556,1,0,5
6,37557,1,0,6
7,37558,1,0,7
8,37559,1,0,8
9,37560,1,0,12
10,37561,1,0,13
11,37562,1,0,9
12,37563,1,0,10
13,37564,1,0,14
14,37565,1,0,15
15,37566,1,0,16
16,37567,1,0,19
17,37568,1,0,20
18,37569,1,0,21
19,37570,1,0,17
20,37571,1,0,18
21,37572,1,0,25
22,37573,1,0,26
23,37574,1,0,27
24,37575,1,0,22
25,37576,1,0,23
26,37577,1,0,24
27,37578,1,0,100
28,37579,1,0,101
29,37580,1,0,102
30,37581,1,0,103
31,37582,1,0,104
32,37583,3,1,120
33,37584,3,2,121
34,37585,3,3,122
35,37586,3,4,123
36,37587,3,5,124
37,37588,3,6,125
38,37589,3,7,126
39,37590,3,8,127
40,37591,3,9,128
41,37592,3,10,129
42,37593,4,0,150
43,37594,4,0,151
44,37595,4,0,152
45,37596,4,0,153
46,37597,4,0,154
47,37598,4,0,155
48,37599,4,0,156
49,37600,4,0,157
50,37601,4,0,158
51,37602,4,0,159
52,37603,5,0,200
53,37604,5,0,201
54,37605,5,0,202
55,37606,5,0,203
56,37607,5,0,204
57,37608,5,0,205
58,37609,5,0,206
59,37610,5,0,207
60,37611,5,0,208
61,37612,6,0,209
62,37613,6,0,210
63,37614,6,0,211
64,37615,7,0,212
65,37616,7,0,213
66,37617,7,0,214
67,39224,1,0,29
68,39225,1,0,30
69,39226,1,0,31
70,39227,1,0,32
71,39228,1,0,28
72,39229,3,11,130
73,39230,3,12,131
74,39231,4,0,160
75,39232,4,0,161
76,39887,1,0,33
77,39888,1,0,36
78,39889,1,0,34
79,39890,1,0,37
80,39891,1,0,38
81,39892,1,0,35
82,39893,1,0,39
83,39894,1,0,105
84,39895,3,13,132
85,39896,3,14,133
86,39897,3,15,134
87,39898,3,16,135
88,39899,4,0,162
89,39900,4,0,163
90,39901,4,0,164
91,39902,4,0,165
92,41630,1,0,40
93,41631,1,0,41
94,41632,1,0,42
95,41633,1,0,43
96,41634,1,0,44
97,41639,3,17,136
98,41640,3,18,137
99,41641,3,19,138
100,41642,3,20,139
101,41635,4,0,166
102,41636,4,0,167
103,41637,4,0,168
104,41638,4,0,169
105,41643,7,0,215
106,41644,7,0,216
107,41645,7,0,217
108,41668,10,0,255
