#,MeldFee,ReturnRate,OvermeldNQPercent[0],OvermeldNQPercent[1],OvermeldNQPercent[2],OvermeldNQPercent[3],OvermeldHQPercent[0],OvermeldHQPercent[1],OvermeldHQPercent[2],OvermeldHQPercent[3]
0,50,100,80,40,20,10,90,48,28,16
1,100,100,72,36,18,10,82,44,26,16
2,150,100,60,30,16,8,70,38,22,14
3,300,100,48,24,12,6,58,32,20,12
4,700,100,12,6,3,2,17,10,7,5
5,1200,100,12,0,0,0,17,0,0,0
6,1400,100,12,6,3,2,17,10,7,5
7,1600,100,12,0,0,0,17,0,0,0
8,1700,100,12,6,3,2,17,10,7,5
9,1800,100,12,0,0,0,17,0,0,0
10,1900,80,12,6,3,2,17,10,7,5
11,2000,40,12,0,0,0,17,0,0,0
