#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,0,0,0,False
1,Allagan Tomestone of Lore Exchange.,5,1,50,False
2,Allagan Tomestone of Scripture Exchange.,4,1,50,False
3,Allagan Tomestone of Verity Exchange,4,2,25,False
4,Allagan Tomestone of Creation Exchange,4,2,25,False
5,Allagan Tomestone of Mendacity Exchange,5,1,50,False
6,Allagan Tomestone of Genesis Exchange,4,1,50,False
7,Allagan Tomestones of Goetia Exchange,4,2,25,False
8,Allagan Tomestones of Phantasmagoria Exchange,4,2,25,False
9,Allagan Tomestones of Allegory Exchange.,5,1,50,False
10,Allagan Tomestones of Revelation Exchange.,4,1,50,False
11,Allagan Tomestones of Aphorism Exchange,4,2,25,False
12,Allagan Tomestones of Astronomy Exchange,4,2,25,False
13,Allagan Tomestones of Causality Exchange,5,1,50,False
14,Allagan Tomestones of Comedy Exchange,4,1,50,False
15,Allagan Tomestones of Aesthetics Exchange,4,2,25,False
16,Allagan Tomestones of Heliometry Exchange,4,2,25,True
