#,Quest,EventItem,OrderStart,Type,OrderAmount
0,0,2001361,1,1,50
1,67655,2001700,68,1,10
2,67656,2001701,78,1,10
3,67657,2001702,88,1,18
4,0,2001362,51,2,17
5,67658,2001703,106,2,12
6,68472,2002113,118,1,10
7,68473,2002114,128,1,10
8,68474,2002115,138,1,18
9,68475,2002116,156,2,12
10,69133,2002628,168,1,10
11,69134,2002629,178,1,10
12,69135,2002630,188,1,18
13,69136,2002631,206,2,12
14,69712,2003090,218,1,10
15,69713,2003091,228,1,10
16,69714,2003092,238,1,18
17,69715,2003093,256,2,12
18,70545,2003509,268,1,10
19,70546,2003510,278,1,10
20,70547,2003511,288,1,17
21,70548,2003512,305,2,12
