#,Unknown0,Unknown1,Unknown2,Unknown3,Pet,Action,Location,Unknown7,Unknown8,Unknown9,LocationKey,Unknown11[0],Unknown11[1],Unknown11[2],Unknown11[3],Unknown11[4],Unknown11[5],Unknown11[6],Unknown11[7],Unknown11[8],Unknown11[9],Unknown11[10],Unknown11[11],Unknown11[12],Unknown11[13],Unknown11[14],Unknown11[15]
0,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
1,"Hailing from Ilsabard and once populous in Landis, these carnivorous beasts were driven to near extinction upon Garlean occupation. Most believe the rare sighting to be merely phantoms of the past, but still are Cu Sith remembered as deeply loyal and affectionate companions.",Delivers a slashing physical attack.,Delivers a sixfold slashing physical attack.,242001,47,45187,0,1,42,3,0,100,91,100,79,100,False,False,False,False,False,False,False,False,False,False,False
2,"Squirrels bear overdeveloped incisors and can be found scurrying about every corner of the land. While prolific pests of orchards and grain stores, these rodents are believed to be the fur-bound servants of the Matron, Nophica, and thus are often featured as motifs in art and carvings.",Deals fire-aspected damage.,Hastens allies.,242002,48,48643,54,1,35,3,1,91,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
3,"Sheep were domesticated during the Age of Endless Frost and have since been selectively bred to produce abundant and fluffy wool. While wild sheep are not unheard of, errant specimens with bells affixed to their necks are likely escapees of nearby farms.",Delivers a blunt physical attack.,Puts enemies to sleep and improves sleep resistance of allies.,242003,49,45188,30,1,21,4,1,82,82,82,82,82,False,False,False,False,False,False,False,True,False,False,False
4,"All varieties of pugils possess an ancillary bladder which stores gas generated by the wavekin, allowing limited ""flight"" capabilities when coupled with its large fins. Due to their territorial nature, pugils will not be displaced from any river they claim as hunting grounds, voraciously snapping up fish with their long thin snouts.",Deals water-aspected damage.,Reduces magic vulnerability and improves paralysis resistance of allies.,242004,50,48648,30,5,45,2,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
5,"Opo-opos are forest-dwelling creatures that form colonies of several dozen animals headed by a single, dominant leader. They are social and exceptionally intelligent, making them the bane of farmers targeted by their mischief. However, these selfsame traits make opo-opos stout allies for those clever enough to tame them.",Delivers a blunt physical attack.,Deals unaspected damage that paralyzes enemy.,242005,52,49696,57,1,18,3,1,97,97,97,97,76,False,False,True,False,False,False,False,False,False,False,False
6,"These large, flightless cloudkin originated from the island of Mazlaya, and are now prized as poultry upon the mainland. However, dodos are notorious for spitting caustic secretions in self-defense, requiring venom glands to be removed upon domestication. Wild dodos boast myriad shades of plumage and can be found nearly anywhere.",Deals earth-aspected damage that blinds enemies.,Improves earth resistance and blind resistance of allies.,242006,53,48647,31,3,5,2,1,91,91,100,100,100,False,False,False,False,True,False,False,False,False,False,False
7,"The coblyn is a creature of startling appearance that skitters around in search of ore to strengthen its own shell. As the colors and types of ore vary from region to region, so too does the coblyn's appearance. Furthermore, its tentacle-like appendages are highly poisonous and must not be consumed under any circumstances.",Deals lightning-aspected damage.,Reduces physical vulnerability and improves poison resistance of allies.,242007,54,48645,42,7,43,1,1,100,100,91,100,100,False,False,False,True,False,False,False,False,False,False,False
8,Diremites adhere to a distinct social hierarchy wherein eponymous soldier males protect a small cluster of females tasked with reproduction. The sticky web they produce can be released upon prey to both capture and preserve for future consumption.,Delivers a piercing physical attack that inflicts poison on enemy.,Deals unaspected damage that knocks back and binds enemies.,242008,55,45187,54,2,27,1,1,100,100,100,100,100,False,False,False,False,False,True,False,False,True,False,False
9,"Megalocrabs dwell most notably in the coastal regions of La Noscea and upon the riverbanks of the Velodyna and Hathoeva. Within their unyielding carapaces hides flesh of unparalleled flavor, and dishes stewed within these durable shells have gained particular renown.",Deals water-aspected damage.,Deals water-aspected damage and lowers water resistance of enemies.,242009,56,49695,30,5,8,2,1,97,97,97,97,97,False,False,False,False,False,False,False,False,False,False,False
10,"Native to Tural, wespes were introduced to Eorzea via trade ships. Once released into the realm, these large, swift-breeding vilekin soon began eradicating populations of their indigenous kin. Extermination of this intrusive species must be undertaken with care, as wespes are capable of expelling stingers loaded with deadly venom.",Delivers a piercing physical attack that inflicts poison on enemy.,Delivers a piercing physical attack on enemy. Familiar retreats upon execution.,242010,57,45187,43,2,37,1,1,97,97,97,97,97,False,False,False,False,False,True,False,False,False,False,False
11,"Vultures are ill-omened cloudkin that can be found in every corner of Eorzea. Their taste for carrion often casts them as symbols of impurity in myth and legend. Drawn by the anticipation of death, they are known to tail military contingents, earning the particular hatred of soldiers rattled by their presence.",Deals wind-aspected damage.,Deals wind-aspected damage and dispels one beneficial status from enemies.,242011,58,48646,42,3,5,2,1,100,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
12,"The enigmatic mandragora was first observed after the Seventh Umbral Calamity. This diminutive seedkin seems sentient and capable of advanced communication, and reports in recent years even suggest they actively collude with other vegetable species─though much about these creatures remains a mystery.",Delivers a blunt physical attack.,Deals unaspected damage and inflicts heaviness on enemies.,242012,59,45188,30,4,36,2,1,91,91,100,100,100,False,False,False,False,False,True,False,False,False,True,False
13,"A powerful spirit of the dead said to ride the evening brume in search of prey. A geshunpest bears two faces, atop its head and upon its belly, one of its many similarities with the haunt. As these ashkin frequent battlefields and graveyards, they are believed by many to be fear made manifest.",Deals lightning-aspected damage.,Grants HP absorption to allies.,242013,60,49692,54,8,6,5,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
14,"This small, winged scalekin can oft be seen flitting between trees on the hunt for insect prey. The puk is highly territorial and, due to a testy temperament, will launch itself at intruders many times its own size without hesitation. This fruitless attempt to assert dominance greatly influenced its naming by scornful Gridanians.",Deals fire-aspected damage.,Delivers a slashing physical attack that knocks back enemies.,242014,61,45187,30,6,47,2,1,100,88,91,100,100,False,False,False,False,False,False,False,False,False,False,False
15,"While abundant throughout the world, a snipper crab is rarely sold for culinary purposes due to the pungent aroma of its meat. Occasionally, these wavekin will not molt the protective vessels of their youth, wearing them as one might a helm upon reaching maturity.",Deals water-aspected damage.,Hastens self.,242015,62,48648,42,5,12,2,1,94,94,94,94,94,False,False,False,False,False,False,False,False,False,False,False
16,"Native to the isles of the southern seas, mantises were unintentionally brought to La Noscea upon Plainsfolk emigration. These giant vilekin have since preyed upon native species and unwitting adventurers alike, swiftly proliferating and securing an enduring presence on the mainland.",Delivers a slashing physical attack.,Deals unaspected damage that increases physical vulnerability of enemies.,242016,63,45186,33,2,27,1,1,94,94,94,94,94,False,False,False,False,False,False,False,False,False,False,False
17,"Slimes form when humours, recently voided from a corpse or other impure source, are imbued with earth aether. While most of these semi-arcane entities are birthed by circumstance, some are purposefully created by alchemists or conjurers for twisted ends.",Deals unaspected damage that generates beastmaster HP.,Deals unaspected damage that binds enemies.,242017,64,49689,3,8,40,5,2,97,1,97,97,97,False,False,False,False,False,False,False,False,True,False,False
