#,StartupText,RunningText,Unknown0
0,,,0
1,"Work will soon commence at the Moongate Hub.
Contributors wanted!",“Base Camp Alpha Expansion” has commenced at the Moongate Hub. Contributors wanted!,1978
2,"Work will soon commence at the Moongate Hub.
Contributors wanted!",“Cosmoliner Alpha Construction Support” has commenced at the Moongate Hub. Contributors wanted!,1979
3,"Work will soon commence in the Moongate Hub's southeastern sector.
Contributors wanted!",“Habitation Module Construction Support” has commenced in the Moongate Hub's southeastern sector. Contributors wanted!,1980
4,"Work will soon commence in the Moongate Hub's northwestern sector.
Contributors wanted!",“Cosmoport Alpha Maintenance Support” has commenced in the Moongate Hub's northwestern sector. Contributors wanted!,1981
5,"Work will soon commence in the Moongate Hub's northeastern sector.
Contributors wanted!",“Mech Hangar Alpha Expansion” has commenced in the Moongate Hub's northeastern sector. Contributors wanted!,1982
6,Work in northwest Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.,,0
7,Work in southeast Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.,,0
8,"Work will soon commence in southern Sinus Ardorum.
Contributors wanted!",“Tunnel Project Alpha Excavation” has commenced in southern Sinus Ardorum. Contributors wanted!,1983
9,"Work will soon commence in southern Sinus Ardorum.
Contributors wanted!",“Tunnel Project Beta Excavation” has commenced in southern Sinus Ardorum. Contributors wanted!,1984
10,Work in southwest Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.,,0
11,"Work will soon commence at the Moongate Hub.
Contributors wanted!",“Base Camp Beta Expansion” has commenced at the Moongate Hub. Contributors wanted!,1985
12,"Work will soon commence in the Moongate Hub's southwestern sector.
Contributors wanted!",“Energization Expansion Support” has commenced in the Moongate Hub's southwestern sector. Contributors wanted!,1986
13,"Work will soon commence in the Moongate Hub's western sector.
Contributors wanted!",“Hydrofication Expansion Support” has commenced in the Moongate Hub's western sector. Contributors wanted!,1987
14,Work will soon commence in the Moongate Hub's northeastern sector. Contributors wanted!,“Mech Hangar Beta Construction” has commenced in the Moongate Hub's northeastern sector. Contributors wanted!,1988
15,Work will soon commence in the Moongate Hub's northwestern sector. Contributors wanted!,“Cosmoport Beta Construction” has commenced in the Moongate Hub's northwestern sector. Contributors wanted!,1989
