#,Unknown0,Unknown1,Unknown15,Model,SEPack,Type,Base,Variant,Unknown2,Unknown3,Unknown4,Unknown5,Unknown14,Unknown_70,Unknown6,Unknown7,PapVariation,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
0,0,0,0,0,13001,1,1,1,1,0,100,100,0,80,0,False,False,False,False,False,False,False,False
1,0,2.9,0,1,3073,2,1,1,1,0,100,100,0,60,0,False,False,False,False,False,False,False,False
2,0,4.44452,0,2,3118,2,1,1,1,0,100,100,0,80,0,False,False,False,False,False,False,False,False
3,0,2.95362,1,1001,3070,2,1,1,1,0,100,100,0,70,0,False,False,False,False,False,False,False,False
4,0,2.32606,0.7,1002,3069,2,1,1,1,0,100,100,0,70,0,False,False,False,False,False,False,False,False
5,0,1.21564,0.5,1003,3071,2,1,1,1,0,100,100,0,80,0,False,False,False,False,False,False,False,False
6,0,1.47629,0,1004,3072,2,1,1,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
7,0,1.1676,0,1005,3058,2,1,1,1,0,100,100,0,0,0,False,False,False,False,False,False,False,False
8,0,0.8808,0,1006,3060,2,1,1,1,0,100,100,0,0,0,False,False,False,False,False,False,False,False
9,0,2.1854,0,1007,3119,2,1,1,1,0,100,100,0,80,0,False,False,False,False,False,False,False,False
10,0,2.35663,0.3,1008,3120,2,1,1,1,0,100,100,0,80,0,False,False,False,False,False,False,False,False
11,0,4.3654,0,1009,3121,2,1,1,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
12,0,4.3654,0,1009,3096,2,1,5,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
13,0,4.3654,0,1009,3122,2,7,1,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
14,0,1.50815,0,1012,3074,2,1,1,1,0,100,100,0,80,0,False,False,False,False,False,False,False,False
15,0,2.15376,0,1013,3098,2,1,1,1,0,100,100,0,0,0,False,False,False,False,False,False,False,False
16,0,2.88085,0,1014,3123,2,1,1,1,0,100,100,0,60,0,False,False,False,False,False,False,False,False
17,0,1.79872,0,1015,3017,2,1,1,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
18,0,1.91772,0,1016,3099,2,1,1,1,0,100,100,0,0,0,False,False,False,False,False,False,False,False
19,0,2.5061,0,1017,3092,2,1,1,1,0,100,100,0,80,0,False,False,False,False,False,False,False,False
20,0,1.10924,0,1,3011,3,1,1,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
21,0,1.10924,0,1,3012,3,2,1,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
22,0,1.10924,0,1,3012,3,3,1,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
23,0,1.10924,0,1,3012,3,3,2,1,0,100,100,0,100,0,False,False,False,False,False,False,False,False
24,0,0.522338,0,2,3036,3,1,1,1,0,100,100,0,50,0,False,False,False,False,False,False,False,False
