#,Stats,Description,Icon,RequiredForQuest,PreviousQuest,Location,Number,LocationKey,TargetsEnemy,TargetsSelfOrAlly,CauseSlow,CausePetrify,CauseParalysis,CauseInterrupt,CauseBlind,CauseStun,CauseSleep,CauseBind,CauseHeavy,CauseDeath
0,,,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,"**Type: **Magic
**Aspect: **Wind
**Rank: **★★★★
","Typhon's signature technique produces gale-force winds by propelling concentrated air through the nostrils─though mages recreate the gust externally, for the sake of nasal integrity. In addition to buffeting foes backward, it appears to have a detrimental effect on its target's mental state.",72201,0,0,81,25,4,True,False,False,False,False,False,False,False,False,False,False,False
2,"**Type: **Physical
**Damage: **Blunt
**Rank: **★★★★
","Employed to great effect by Ultros, this technique crushes adversaries beneath a phantom weight. Due to reticence in the scholastic community regarding certain forms of testing, whether the weight applied feels like that of four full tonzes is a question that remains unanswered. ",72202,0,0,81,26,4,True,False,False,False,False,False,False,False,False,False,True,False
3,"**Type: **Magic
**Aspect: **Water
**Rank: **★
","This spell, easily mastered via defeat of a kraken, fires a concentrated burst of water at one's opponent. As the liquid itself is conjured by manipulating aether to condense moisture in the air, the technique remains effective regardless of whether or not its caster has access to a body of water. ",72203,0,0,0,1,3,True,False,False,False,False,False,False,False,False,False,False,False
4,"**Type: **Magic
**Aspect: **None
**Rank: **★★
","Favored by sirens, the Song of Torment carries in its melody a malicious enchantment. It ensnares the listener's spirit, inducing phantom pain that soon becomes physical as the body struggles to process the mind's trauma.",72204,0,0,17,9,4,True,False,False,False,False,False,False,False,False,False,False,False
5,"**Type: **Magic
**Aspect: **Lightning
**Rank: **★★★★
","An industrial form of machina-based aetherial manipulation developed and adapted by the Allagan Empire. Through the compression of ambient lightning-aspected aether, the caster (or casting machina) floods the vicinity with highly charged arcs of electricity.",72205,0,0,93,6,4,True,False,False,False,True,False,False,False,False,False,False,False
6,"**Type: **Magic
**Aspect: **None
**Rank: **★★★
","This spell manipulates wind- and earth-aspected aether to call forth the umbral, imbuing exhaled air with miasma. Attempts to replicate the morbol's Bad Breath sans its inherent horrific stench have been unsuccessful, thus it retains its title as the *foulest* of blue magicks.",72206,0,0,54,28,1,True,False,True,False,True,True,True,False,False,False,True,False
7,"**Type: **Physical
**Damage: **Blunt
**Rank: **★★★
","Replicating this technique requires magically altering one's own state of mind to mimic that of a zu. The flying strike that results surpasses normal physical limitations, but requires dispensing with caution in favor of an all-consuming rage─the sensible mage will shield herself with aether first.",72207,0,0,17,4,4,True,False,False,False,False,False,False,False,False,False,False,False
8,"**Type: **Magic
**Aspect: **Water
**Rank: **★★★★
","The most quintessential of water-aspected blue magicks. A competent mage will not only use its bubbles to smother nearby enemies, but also incorporate poisons, sealing the fates of any survivors.",72208,0,0,81,3,4,True,False,False,False,False,False,False,False,False,False,False,False
9,"**Type: **Magic
**Aspect: **Earth
**Rank: **★★
","Just like that all-too-well-known fixture in the arsenals of many earthy soulkin, this technique creates a localized quake around the caster. According to legend, the earth itself will appear to shatter under a true master of the spell.",72209,0,0,18,11,4,True,False,False,False,False,False,False,False,False,False,False,False
10,"**Type: **Magic
**Aspect: **None
**Rank: **★
","This technique pelts foes with seedlike aetherial orbs, which then explode to release the soporific within. Scholars believe that similar defense mechanisms were originally developed by treants and other species vulnerable to vilekin in order to prevent their boring of holes and leeching of sap.",72210,0,0,57,18,1,True,False,False,False,False,False,False,False,True,False,False,False
