#,Singular,Plural,UnlockLink,Pages[0],Pages[1],Pages[2],Pages[3],Pages[4],Pages[5],Pages[6],Pages[7]
0,,,0,0,0,0,0,0,0,0,0
1,,,0,0,0,0,0,0,0,0,0
2,,,0,0,0,0,0,0,0,0,0
3,Transport,Transporting,558,11,12,0,0,0,0,0,0
4,Transparent,Transparent,559,13,14,0,0,0,0,0,0
5,Escort,Escorting,560,15,16,17,18,0,0,0,0
6,Following,Following,561,19,0,0,0,0,0,0,0
7,Sneaking,Sneaking,562,20,21,22,0,0,0,0,0
8,Transformation,Transformations,563,23,24,0,0,0,0,0,0
9,Guise,Guises,564,25,26,0,0,0,0,0,0
10,Guard,Guarding,565,27,28,0,0,0,0,0,0
