#,Name,Action[0],Action[1],Action[2],Action[3],Action[4],Action[5],Action[6],Unknown3,Unknown4
0,,0,0,0,0,0,0,0,0,True
1,Rage of Halone Combo,17355,0,0,0,0,0,0,0,False
2,Royal Authority Combo,17355,0,0,0,0,0,0,0,False
3,Butcher's Block Combo,17355,0,0,0,0,0,0,0,False
4,Storm's Path Combo,17355,0,0,0,0,0,0,0,False
5,Power Slash Combo,17355,0,0,0,0,0,0,0,False
6,Souleater Combo,17355,0,0,0,0,0,0,0,False
7,Snap Punch Combo,17355,0,0,0,0,0,0,0,False
8,Demolish Combo,17355,0,0,0,0,0,0,1,False
9,Wheeling Thrust Combo,17355,0,0,0,0,0,0,0,False
10,Wheeling Thrust Combo,17355,0,0,0,0,0,0,1,False
11,Aeolian Edge Combo,17355,0,0,0,0,0,0,0,False
12,Shadow Fang Combo,17355,0,0,0,0,0,0,1,False
13,Yukikaze Combo,17355,0,0,0,0,0,0,0,False
14,Gekko Combo,17355,0,0,0,0,0,0,1,False
15,Kasha Combo,17355,0,0,0,0,0,0,2,False
16,Straight Shot Combo,17355,0,0,0,0,0,0,0,False
17,Stormbite Combo,17355,0,0,0,0,0,0,0,False
18,Heated Clean Shot Combo,17355,0,0,0,0,0,0,0,False
19,Enchanted Redoublement Combo,17355,0,0,0,0,0,0,0,False
20,Solid Barrel Combo,17355,0,0,0,0,0,0,0,False
21,Wicked Talon Combo,17355,0,0,0,0,0,0,2,False
22,Fountain Combo,17355,0,0,0,0,0,0,0,False
23,Swashbuckler Combo,16788,16269,16984,0,0,0,0,0,False
24,Greatest Eclipse Combo,16789,16985,0,0,0,0,0,1,False
25,Solid Barrel Combo,16434,16418,16435,0,0,0,0,0,False
26,Coerthan Torment Combo,18772,18773,18774,0,0,0,0,0,False
27,Prominence Combo,17355,0,0,0,0,0,0,1,False
28,Steel Cyclone Combo,17355,0,0,0,0,0,0,1,False
29,Stalwart Soul Combo,17355,0,0,0,0,0,0,1,False
30,Rockbreaker Combo,17355,0,0,0,0,0,0,1,False
31,Coerthan Torment Combo,17355,0,0,0,0,0,0,1,False
32,Hakke Mujinsatsu Combo,17355,0,0,0,0,0,0,1,False
33,Kasha Combo,17355,0,0,0,0,0,0,0,False
34,Oka Combo,17355,0,0,0,0,0,0,1,False
35,Demon Slaughter Combo,17355,0,0,0,0,0,0,1,False
36,Bladeshower Combo,17355,0,0,0,0,0,0,1,False
37,Yagetsu Combo,14840,19046,19047,0,0,0,0,0,False
38,Final Flourish Combo,20490,20491,20492,0,0,0,0,0,False
39,Verflare Combo,20529,20530,20531,20532,0,0,0,0,False
40,Foul Combo,21612,22502,22817,21613,0,0,0,0,False
41,Lord of Crowns Combo,21499,21607,0,0,0,0,0,0,False
42,The Scroll Combo,24066,21610,0,0,0,0,0,1,False
43,Scorch Combo,24917,24918,24919,24920,21496,21923,24831,1,False
44,Rage of Halone Combo,26249,26250,26251,0,0,0,0,0,False
45,Verflare Combo,27048,27049,27050,27051,27052,0,0,0,False
46,Scorch Combo,27054,27055,27056,27057,27058,27059,24898,1,False
47,Solid Barrel Combo,27427,27428,27429,0,0,0,0,0,False
48,Infernal Slice Combo,17355,0,0,0,0,0,0,0,False
49, Nightmare Scythe Combo,17355,0,0,0,0,0,0,1,False
50,Royal Authority Combo,29058,29059,29060,0,0,0,0,0,True
51,Storm's Path Combo,29074,29075,29076,0,0,0,0,0,True
52,Souleater Combo,29085,29086,29087,0,0,0,0,0,True
53,Solid Barrel Combo,29098,29099,29100,29101,0,0,0,0,True
54,Fountain Combo,29416,29417,0,0,0,0,0,0,True
55,Phantom Rush Combo,29475,29476,29477,41444,41445,41446,29478,0,True
56,Drakesbane Combo,29486,29487,29488,41449,0,0,0,0,True
57,Aeolian Edge Combo,29500,29501,29502,0,0,0,0,0,True
58,Kasha Combo,29523,29524,29525,0,0,0,0,0,True
59,Infernal Slice Combo,29538,29539,29540,0,0,0,0,0,True
60,Rage of the Gentleman Combo,31393,31394,31395,0,0,0,0,0,True
61,Infernal Slice Combo,31786,31787,31788,0,0,0,0,0,True
62,Nightmare Scythe Combo,31789,31790,0,0,0,0,0,0,True
63,Tail of the Br'aax Combo,37120,37121,37122,0,0,0,0,0,True
64,Turali Judgment Combo,37127,37128,37126,0,0,0,0,0,True
65,Dual Fang Combo,39157,39159,39161,39158,39160,39163,0,0,True
66,,0,0,0,0,0,0,0,0,False
67,Water in Blue Combo,46756,46757,46758,0,0,0,0,0,True
68,Water II in Blue Combo,46759,46760,46761,0,0,0,0,1,True
69,,0,0,0,0,0,0,0,0,False
70,,0,0,0,0,0,0,0,0,False
