#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
0,,,0,0,0,0,0
1,Ketenramm Blaufystsyn,"In the year 1497 of the Sixth Astral Era, a Lominsan Sea Wolf explorer of not twenty summers plotted a westward course for Hingashi, embarking on a fateful voyage that would catapult him into the ranks of legend. Unbeknownst to him and his crew, a great continent lay between them and the Far East─and it was not the splendor of Kugane, but the shores of Tural that ultimately lay upon the horizon.

Having made landfall, Ketenramm roamed the interior, ultimately reaching Mamook, the vast home of the Mamool Ja. There he met then-Autarch Gulool Ja Ja, with whom he struck up a firm friendship. Together, the pair ranged the length and breadth of Tural, spurred on by the same adventurous spirit that led the old sailor to this mysterious isle.",521,70615,0,3,2
2,The Phantom Village,"Perched upon the eastern tip of the Occult Crescent, this compact settlement is deathly silent, save for the gentle sluicing of the plaza fountain. Though its stone structures are weathered and overgrown, the orderly state of the town implies a degree of active preservation by some unknown hand. In the harbor, the forlorn wrecks of outbound ships are a testament to the fearsome reputation Shades' Triangle commands.",507,70601,11606900,2,1
3,The Archive,"Although identical in form to those gruesome figures of legend, the tonberries, the Archive is unquestionably rational and possessing of a friendly─if occasionally boastful─demeanor. He pledged to join Ketenramm's expedition soon after being roused from his sarcophagus in the phantom village, though it remains to be seen whether he will prove a useful asset, as the ""wise old man"" struggles to recall most of his allegedly nigh-infinite knowledge─a result of lingering grogginess from his lengthy slumber, or some other arcane process?",522,70616,0,3,2
4,Iris,"This ethereal familiar appeared shortly after the Archive's awakening, claiming authoritatively that the man's wisdom was sealed away and can only be accessed where it concerns matters that the Warrior of Light has witnessed firsthand. When pressed about her own purpose, however, she too confessed ignorance. Compounding the mystery, the Archive senses the same aether that envelops the isle emanating from the faerie─could her master be the unseen hand presiding over the Occult Crescent?",523,70617,0,3,2
5,The Expedition Base Camp,"Nestled within the ruins of an old fortification, the encampment is an ideal location from which to stage forays into the South Horn of the island, while the surrounding walls offer sufficient protection from nearby fiends. The focal point of the camp is a device indistinguishable from an aetheryte that ought to facilitate swift travel on the island. Intriguingly, these ruins exhibit a different architectural style to that of the phantom village, though when and by whom they were first built is yet to be determined.",508,70602,11606902,2,1
6,Phantom Jobs,"During the course of the expedition, the Archive uncovered crystalline objects containing the distilled knowledge of ancient martial methods. Known as ""soul shards,"" these fragments allow the bearer to wield an array of long-forgotten techniques. According to the scholar-turned-tonberry, the crystals will cease to function upon leaving the Occult Crescent, thus limiting their efficacy to the isle. Nonetheless, they should prove a boon when dealing with its more combative fauna.",536,70630,0,5,4
7,The Lost Citadel,"This rough-hewn stone fortress looks to have stood for centuries past its abandonment by the original occupants─though its vaulted corridors now echo with the restless prowling of more monstrous denizens. Architecturally, the rhomboid motifs and cavernous central dome bear a striking similarity to the Amdapori ruins discovered in the Twelveswood. The presence of multiple stone guardians also implies some relation to ancient Amdapor.",509,70603,11606904,2,1
8,Trade Tortoise,"This hulking reptilian possesses a modicum of intelligence, not to mention a rudimentary grasp of the common tongue, and will attempt to sell its wares to anyone foolish enough to draw near. Those who would engage in business with the craven beast should note that these trinkets are invariably cursed. This predilection for curses hints at some connection with the city of Skalla, which once prospered in Gyr Abania─though why anyone would summon such a troublesome familiar remains a mystery.",530,70624,0,4,3
9,The Vanishing Slope,"Stretching from the southern tip of the island, this stony beach overlooks the bay formed by the crescent, and on clear days, a bifurcated tower can be seen shimmering, mirage-like, in the distance. The weathered ruins clustered on the shore bear similarities with the phantom village─namely, the inverse conical style favored in Nym, an ancient city-state that flourished upon present-day Vylbrand. The rounded central plaza and overarching layout of the ruins suggest this was a location of religious or spiritual significance.",510,70604,11606906,2,1
10,Nymian Petalodus,"Nymian legend speaks of the petalodus, a shark from which sprouts two ambulatory limbs. Naturalists long decried the idea as laughable, asserting that the myth is based on a real species of shark that uses its fins to traverse the seabed, as if walking. This notion itself was eventually disputed when credible reports of the limbed shark began to flood in.

As if its very existence was not strange enough, a curious rumor surrounds the creature: allegedly, the petalodus will resist the temptation to devour any fleshy morsel it identifies as a friend. Individual attempts to verify said rumor have thus far ended predictably.",529,70623,0,4,3
