#,Name,Description,Score,IsVisible
0,,,0,False
1,"Too Fast, Too Furious",Completed performance faster than the ideal time.,15000,True
2,Slow and Steady,Completed performance faster than the standard time.,5000,True
3,10 Ways to Die,Used between two and ten unique spell types.,3000,True
4,4 Ways to Die,"Used two, three, or four unique spell types.",10000,True
5,Can't Touch This,Took zero damage.,20000,True
6,Ain't Got Time to Bleed,Restored zero HP.,15000,True
7,Modus Interruptus,Interrupted a target's casting.,1000,True
8,A Walk in the Park,Refrained from using Sprint.,3000,True
9,Mastery of Fire,Used one or more fire-aspected spells. Spells aspected to other elements were not used.,10000,True
10,Mastery of Water,Used one or more water-aspected spells. Spells aspected to other elements were not used.,10000,True
11,Mastery of Earth,Used one or more earth-aspected spells. Spells aspected to other elements were not used.,10000,True
12,Mastery of Wind,Used one or more wind-aspected spells. Spells aspected to other elements were not used.,10000,True
13,Mastery of Ice,Used one or more ice-aspected spells. Spells aspected to other elements were not used.,10000,True
14,Mastery of Lightning,Used one or more lightning-aspected spells. Spells aspected to other elements were not used.,10000,True
15,Elemental Mastery,Cast spells aspected to all six elements.,15000,True
16,Total Mastery,"Used actions aspected to all six elements and three damage types (blunt, piercing, slashing).",20000,True
17,Enfeeble Me Tender,Applied six or more unique enfeeblements.,5000,True
18,Enfeeble Me Tenderer,Applied nine or more unique enfeeblements.,12000,True
19,Let's Get Physical,Used only physical-type actions.,15000,True
20,Advanced Spellcasting,Cast only rank 4 or 5 spells.,15000,True
21,Beginner Spellcasting,Cast only rank 1 or 2 spells.,15000,True
22,Four-faced,Used four or more unique actions that are fired from the face.,10000,True
23,Amajina Special,,20000,False
24,One-trick Pony,,-30000,False
25,The Primals,,20000,False
26,Giant Slayer,,50000,False
27,Trouble with Tentacles,,50000,False
28,Perfect Blue,,80000,False
29,Eight-faced,Used eight or more unique actions that are fired from the face.,20000,True
30,Hooked on a Healing,"Use Pom Cure, Exuviation, and White Wind.",10000,True
31,Alexander Aficionado,,25000,False
32,The Celestium's Finest,,80000,False
33,Pure Azure,,80000,False
34,Going for Gold,,80000,False
