#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
0,None,196001,196251,1,0,0,0,0,0,0,0,0,0
1,Black Gradient,196002,196252,1,0,0,0,3,1,0,0,0,1
2,Blue Gradient,196003,196253,1,0,0,0,1,1,0,0,0,1
3,Purple Gradient,196004,196254,1,0,0,0,2,1,0,0,0,1
4,Carved Ivory,196005,196255,1,0,0,0,5,2,0,0,0,1
5,Spear,196006,196256,1,0,0,0,9,1,0,0,0,1
6,Classic Display,196007,196257,1,0,0,0,10,1,0,0,0,1
7,Wood Planks,196008,196258,1,0,0,0,7,2,0,0,0,1
8,Semi-transparent Blue,196009,196259,1,0,0,0,4,1,0,0,0,1
9,Wood Grain,196010,196260,1,0,0,0,6,1,0,0,0,1
10,Scroll,196011,196261,1,0,0,0,8,1,0,0,0,1
11,Unending Coil of Bahamut,196101,0,319,0,0,0,2500,1,0,0,0,4
12,Weapon's Refrain,196102,0,320,0,0,0,2501,1,0,0,0,4
13,Epic of Alexander,196103,0,321,0,0,0,2502,1,0,0,0,4
14,Dragonsong's Reprise,196104,0,322,0,0,0,2503,1,0,0,0,4
15,Last Dregs,196216,196466,344,0,0,0,2315,1,0,0,0,3
16,Music,196012,196262,347,0,0,0,22,1,0,0,0,7
17,Far Eastern,196013,196263,1,0,0,0,23,1,0,0,0,1
18,Lominsan Tape,196014,196264,346,0,0,0,1000,1,0,0,0,9
19,Gridanian Tape,196015,196265,346,0,0,0,1001,1,0,0,0,9
20,Ul'dahn Tape,196016,196266,346,0,0,0,1002,1,0,0,0,9
21,Dreamspinners,196212,196462,429,0,0,0,2311,1,0,0,0,3
22,Stewards,196213,196463,430,0,0,0,2312,1,0,0,0,3
23,Watts's Anvil,196214,196464,431,0,0,0,2313,1,0,0,0,3
24,Hippo Riders,196215,196465,432,0,0,0,2314,1,0,0,0,3
25,Dreaming Ways,196217,196467,433,0,0,0,2316,1,0,0,0,3
26,Omega Protocol,196105,0,434,0,0,0,2504,1,0,0,0,4
27,Divine Circle,196210,196460,524,0,0,0,2308,1,0,0,0,3
28,Velodyna Gatekeepers,196209,196459,525,0,0,0,2309,2,0,0,0,3
29,Seven Hundred Seventy-Seven,196211,196461,526,0,0,0,2310,1,0,0,0,3
30,Ten Year Anniversary,196106,0,523,0,0,0,3950,1,0,0,0,7
31,Adventurous Angling,196107,0,529,0,0,0,2346,1,0,0,0,8
32,Big Fish,196108,0,530,0,0,0,2347,1,0,0,0,8
33,Mahjong Mastery,196109,196351,531,0,0,0,2350,1,0,0,0,8
34,Gundu,196206,196456,567,0,0,0,2305,1,0,0,0,3
35,Vath,196207,196457,568,0,0,0,2306,1,0,0,0,3
36,Mogmenders,196208,196458,569,0,0,0,2307,1,0,0,0,3
37,Twelvefold Blessings,196113,0,572,0,0,0,2252,1,0,0,0,3
38,Tataru's Bespoke,196112,0,573,0,0,0,2250,1,0,0,0,3
39,Wondrous Whimsy,196110,0,570,0,0,0,2351,2,0,0,0,8
40,Fantastic Faux,196111,0,571,0,0,0,2352,1,0,0,0,8
41,Blunderful,196114,0,575,0,0,0,3951,1,0,0,0,7
42,Blunderous,196115,0,576,0,0,0,3952,1,0,0,0,7
43,Blunder-villed,196116,0,577,0,0,0,3953,1,0,0,0,7
44,Yo-kai Watch,196117,0,607,0,0,0,3954,1,0,0,0,7
45,789th Order,196204,196454,694,0,0,0,2302,1,0,0,0,3
46,Little Solace,196202,196452,695,0,0,0,2301,1,0,0,0,3
47,Brotherhood of Ash,196201,196451,696,0,0,0,2300,1,0,0,0,3
48,Novv's Clutch,196205,196455,697,0,0,0,2303,2,0,0,0,3
49,Ehcatl Nine,196203,196453,698,0,0,0,2304,1,0,0,0,3
