#,Stages[0].Unknown0,Stages[0].Item,Stages[0].Name,Stages[1].Unknown0,Stages[1].Item,Stages[1].Name,Stages[2].Unknown0,Stages[2].Item,Stages[2].Name,Stages[3].Unknown0,Stages[3].Item,Stages[3].Name,Stages[4].Unknown0,Stages[4].Item,Stages[4].Name,Stages[5].Unknown0,Stages[5].Item,Stages[5].Name,Stages[6].Unknown0,Stages[6].Item,Stages[6].Name,Stages[7].Unknown0,Stages[7].Item,Stages[7].Name,Stages[8].Unknown0,Stages[8].Item,Stages[8].Name,Stages[9].Unknown0,Stages[9].Item,Stages[9].Name,Stages[10].Unknown0,Stages[10].Item,Stages[10].Name,Stages[11].Unknown0,Stages[11].Item,Stages[11].Name,Stages[12].Unknown0,Stages[12].Item,Stages[12].Name,Stages[13].Unknown0,Stages[13].Item,Stages[13].Name,Stages[14].Unknown0,Stages[14].Item,Stages[14].Name,Stages[15].Unknown0,Stages[15].Item,Stages[15].Name,Stages[16].Unknown0,Stages[16].Item,Stages[16].Name,Types[0].Icon,Types[0].Name,Types[0].CosmicName,Types[1].Icon,Types[1].Name,Types[1].CosmicName,Types[2].Icon,Types[2].Name,Types[2].CosmicName,Types[3].Icon,Types[3].Name,Types[3].CosmicName,Types[4].Icon,Types[4].Name,Types[4].CosmicName,Types[5].Icon,Types[5].Name,Types[5].CosmicName,Name,DataAmount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,45591,0,0,45602,2001,0,45613,2002,0,45624,2003,0,45635,2004,0,45646,2005,0,45657,2006,0,45668,2007,1168,45679,2008,0,49009,5001,0,49020,5002,0,49031,5003,0,49042,5004,1272,49053,5005,0,49126,5056,0,49137,5057,1337,49148,5058,70801,1001,4001,70812,1002,4002,70823,1003,4003,70834,1004,4004,70845,1045,4045,70856,1056,4056,3001,1
2,0,45592,0,0,45603,2009,0,45614,2010,0,45625,2011,0,45636,2012,0,45647,2013,0,45658,2014,0,45669,2015,1169,45680,2016,0,49010,5006,0,49021,5007,0,49032,5008,0,49043,5009,1273,49054,5010,0,49127,5059,0,49138,5060,1338,49149,5061,70802,1005,4005,70813,1006,4006,70824,1007,4007,70835,1008,4008,70846,1046,4046,70857,1057,4057,3002,1
3,0,45593,0,0,45604,2017,0,45615,2018,0,45626,2019,0,45637,2020,0,45648,2021,0,45659,2022,0,45670,2023,1170,45681,2024,0,49011,5011,0,49022,5012,0,49033,5013,0,49044,5014,1274,49055,5015,0,49128,5062,0,49139,5063,1339,49150,5064,70803,1009,4009,70814,1010,4010,70825,1011,4011,70836,1012,4012,70847,1047,4047,70858,1058,4058,3003,1
4,0,45594,0,0,45605,2025,0,45616,2026,0,45627,2027,0,45638,2028,0,45649,2029,0,45660,2030,0,45671,2031,1171,45682,2032,0,49012,5016,0,49023,5017,0,49034,5018,0,49045,5019,1275,49056,5020,0,49129,5065,0,49140,5066,1340,49151,5067,70804,1013,4013,70815,1014,4014,70826,1015,4015,70837,1016,4016,70848,1048,4048,70859,1059,4059,3004,1
5,0,45595,0,0,45606,2033,0,45617,2034,0,45628,2035,0,45639,2036,0,45650,2037,0,45661,2038,0,45672,2039,1172,45683,2040,0,49013,5021,0,49024,5022,0,49035,5023,0,49046,5024,1276,49057,5025,0,49130,5068,0,49141,5069,1341,49152,5070,70805,1017,4017,70816,1018,4018,70827,1019,4019,70838,1020,4020,70849,1049,4049,70860,1060,4060,3005,1
6,0,45596,0,0,45607,2041,0,45618,2042,0,45629,2043,0,45640,2044,0,45651,2045,0,45662,2046,0,45673,2047,1173,45684,2048,0,49014,5026,0,49025,5027,0,49036,5028,0,49047,5029,1277,49058,5030,0,49131,5071,0,49142,5072,1342,49153,5073,70806,1021,4021,70817,1022,4022,70828,1023,4023,70839,1024,4024,70850,1050,4050,70861,1061,4061,3006,1
7,0,45597,0,0,45608,2049,0,45619,2050,0,45630,2051,0,45641,2052,0,45652,2053,0,45663,2054,0,45674,2055,1174,45685,2056,0,49015,5031,0,49026,5032,0,49037,5033,0,49048,5034,1278,49059,5035,0,49132,5074,0,49143,5075,1343,49154,5076,70807,1025,4025,70818,1026,4026,70829,1027,4027,70840,1028,4028,70851,1051,4051,70862,1062,4062,3007,1
8,0,45598,0,0,45609,2057,0,45620,2058,0,45631,2059,0,45642,2060,0,45653,2061,0,45664,2062,0,45675,2063,1175,45686,2064,0,49016,5036,0,49027,5037,0,49038,5038,0,49049,5039,1279,49060,5040,0,49133,5077,0,49144,5078,1344,49155,5079,70808,1029,4029,70819,1030,4030,70830,1031,4031,70841,1032,4032,70852,1052,4052,70863,1063,4063,3008,1
9,0,45599,0,0,45610,2065,0,45621,2066,0,45632,2067,0,45643,2068,0,45654,2069,0,45665,2070,0,45676,2071,1176,45687,2072,0,49017,5041,0,49028,5042,0,49039,5043,0,49050,5044,1280,49061,5045,0,49134,5080,0,49145,5081,1345,49156,5082,70809,1033,4033,70820,1034,4034,70831,1035,4035,70842,1036,4036,70853,1053,4053,70864,1064,4064,3009,1
10,0,45600,0,0,45611,2073,0,45622,2074,0,45633,2075,0,45644,2076,0,45655,2077,0,45666,2078,0,45677,2079,1177,45688,2080,0,49018,5046,0,49029,5047,0,49040,5048,0,49051,5049,1281,49062,5050,0,49135,5083,0,49146,5084,1346,49157,5085,70810,1037,4037,70821,1038,4038,70832,1039,4039,70843,1040,4040,70854,1054,4054,70865,1065,4065,3010,1
11,0,45601,0,0,45612,2081,0,45623,2082,0,45634,2083,0,45645,2084,0,45656,2085,0,45667,2086,0,45678,2087,1178,45689,2088,0,49019,5051,0,49030,5052,0,49041,5053,0,49052,5054,1282,49063,5055,0,49136,5086,0,49147,5087,1347,49158,5088,70811,1041,4041,70822,1042,4042,70833,1043,4043,70844,1044,4044,70855,1055,4055,70866,1066,4066,3011,1
